,Year,DataNeeded,BloodinHand (ref. priority extraction sheet for location of sample) ,,Metal,ColorCombo,Sex,DateLastCaptured,Status,Location,Age,ColorCrest,ColorProximalLowerMmandible,BloodTaken,FeathersTaken,Mass,Tarsus,Wing,RFID,,,,,,,
,2018,,Yes,,258115481,T,M,5/18/2018,,Trial *,*,,,Yes,,*,*,,011016BD10,,,,,,,
,2018,,Yes* (Duplicate 6/25/18?),,258115483,SYB,M,5/19/2018,,Trial *,Adult,,,Yes,,19.5,21,,011016C32B,,,,,,,
,2018,,Yes,,258115482,YBR,F,5/19/2018,,Trial *,Juv,,,Yes,,17,19.5,,01103F8F6D,,,,,,,
,2018,,Have two bloods in hand with 483 *Unsure if this is same bird as 5483 above,,258115483,YBY,M,5/19/2018,,Trial *,Adult,,,Yes,,19.5,21,,011016C32B,,,,,,,
,2018,,Yes,,258115482,YRB,F,5/19/2018,,Trial *,Juv,,,Yes,,17,19.5,,01103F8F6D,,,,,,,
,2018,,Yes,,258115484,SWW,M,5/22/2018,,Trial 1,Adult (second year),,,Yes,,-,-,,011016D01B,,,,,,,
,2018,,Yes,,258115485,YGG,M,5/24/2018,,Trial 3,Adult (second year),,,Yes,,20,20,,011016AEEC,,,,,,,
,2018,,Yes,,258115486,SYY,M,5/30/2018,,Trial 11,Juv,,,Yes,,19.5,19.9,,011016F442,,,,,,,
,2018,,Yes,,258115487,YRL,M,6/5/2018,,Trial 14,Juv,,,Yes,,18.8,19.8,,01103F392D,,,,,,,
,2018,,Yes,,258115488,YWG,M,6/5/2018,,Trial 15,Juv,,,Yes,,19.3,20.3,,01103F6ECB,,,,,,,
,2018,,Yes,,258115489,YWT,M,6/6/2018,,Trial 16,Adult (second year),,,Yes,,19.3,20.4,,01103F8D5A,,,,,,,
,2018,,Yes,,258115490,SOR,F,6/7/2018,,Trial 9,Juv,,,Yes,,17,19.3,,011016ADEF,,,,,,,
,2018,,Yes,,258115493,STY,M,6/8/2018,,Trial *,Juv,,,Yes,,19.2,20.4,,011016A3DE,,,,,,,
,2018,,Yes,,258115491,YOY,F,6/8/2018,,Trial *,Juv,,,Yes,,16.1,19.5,,011016CDA2,,,,,,,
,2018,,Yes,,258115494,YBW,F,6/11/2018,,Trial 17,Juv,,,Yes,,18.1,19.6,,01103F4C6A,,,,,,,
,2018,,Yes,,258115500,YOG,M,6/11/2018,,Trial 18,Adult (second year),,,Yes,,20.2,21.5,,01103F3C6B,,,,,,,
,2018,,Yes,,258115496,STB,M,6/12/2018,,Trial 20,Juv,,,Yes,,19,20,,011016C8D8,,,,,,,
,2018,,Yes,,258115495,YOW,M,6/12/2018,,Trial 19,Juv,,,Yes,,18.4,20.5,,011016ADA8,,,,,,,
,2018,,Yes,,258115498,SWG,F,6/15/2018,,Trial 22,Juv,,,Yes,,17.3,19.2,,011016E912,,,,,,,
,2018,,Yes,,275045021,SGB,F,6/16/2018,,Trial 22,Juv,,,Yes,,16.9,19.2,,011016BE38,,,,,,,
,2018,,"Yes (originally no, but an error because have blood)",,258115497,YRO,F,6/16/2018,,Trial 23,Juv,,,Yes,,16.7,20.2,,01103F64F2,,,,,,,
,2018,,Yes,,244102001,YBT,M,6/18/2018,,Trial 24,Juv,,,Yes,,19.4,21.2,,01103F8F14,,,,,,,
,2018,,Yes,,244102003,SSW,M,6/21/2018,,Trial 28,Adult ,,,Yes,,17.8,20.1,,011016F797,,,,,,,
,2018,,Yes,,244102002,YRG,F,6/21/2018,,Trial 28,Juv,,,Yes,,16,20.2,,01103F729C,,,,,,,
,2018,,Yes,,244102006,SRS,M,6/22/2018,,Trial 31,Juv,,,Yes,,19.9,21.8,,01101702F5,,,,,,,
,2018,,Yes,,244102004,YGO,M,6/22/2018,,Trial 30,Juv,,,Yes,,19.1,20.4,,01103F6E06,,,,,,,
,2018,,Yes,,244102005,YST,M,6/22/2018,,Trial 30,Juv,,,Yes,,17.4,20.3,,011016C23F,,,,,,,
,2018,,Yes,,244102007,YGR,M,6/23/2018,,Trial 32,Juv,,,Yes,,19.5,20.3,,011016AD77,,,,,,,
,2018,,Yes,,244102008,YSB,M,6/23/2018,,Trial 33,Juv,,,Yes,,19.4,20.2,,01103F77EB,,,,,,,
,2018,,Yes,,244102009,YYR,M,6/23/2018,,Trial 33,Juv,,,Yes,,20,19.9,,011016B7A6,,,,,,,
,2018,,Have 483 (6/25/18) & 483 (5/19/18) ,,258114483,SBY,M,6/25/2018,,Trial 34,Adult,,,Yes,,20.1,21.2,,*,,,,,,,
,2018,,Yes,,244102010,YRY,M,6/25/2018,,Trial 35,Juv,,,Yes,,18.8,21.4,,01103F7404,,,,,,,
,2018,,Yes,,244102011,SGT,M,6/26/2018,,Trial 37,Juv,,,Yes,,17.6,19.5,,011016D447,,,,,,,
,2018,,Yes,,244102012,YSS,M,6/27/2018,,Trial 39,Juv,,,Yes,,18.6,20.7,,01103F39E0,,,,,,,
,2018,,Yes,,244102013,SBT,M,6/29/2018,,Trial 42,Juv,,,Yes,,20.2,20.7,,011016A710,,,,,,,
,2018,,Yes,,244102014,YGS*,M,6/29/2018,,Trial 43,Juv,,,Yes,,19.9,20.1,,011016D85E,,,,,,,
,2018,,Yes,,244102015,YGS,M,7/2/2018,,Trial 22,Juv,,,Yes,,19.4,20.8,,011016E30A,,,,,,,
,2018,,Yes,,244102017,YOR,M,7/7/2018,,Trial 47,Juv,,,Yes,,19.4,20.7,,01103F6D95,,,,,,,
,2018,,Yes,,244102016,YTW,F,7/7/2018,,Trial 47,Juv,,,Yes,,16,19,,01103F6EFB,,,,,,,
,2018,,Yes,,244102018,SYB,M,7/9/2018,,Trial 44,Adult,,,Yes,,17.8,20.4,,0110174DD9,,,,,,,
,2018,,Yes,,244102020,SWT,F,7/10/2018,,Trial 26,Juv,,,Yes,,15.9,18.9,,011016E7BA,,,,,,,
,2018,,Yes,,244102019,YRT,M,7/10/2018,,Trial 26,Adult,,,Yes,,18.7,19.5,,011016C514,,,,,,,
,2018,,Yes,,244102021 SST,YSL,F,7/11/2018,,Trial 51,Juv,,,Yes,,16,19.9,,011016DEBB,,,,,,,
,2018,,Yes,,244102022 SWT,SST,M,7/12/2018,,Trial 53,Adult,,,Yes,,17.4,20.5,,011016C3D6,,,,,,,
,2019,,Yes,,244102024,,,4/18/2019,,NB8,Nestling,,,Yes,,18.53 (w/ fecal sac),19.2,,011016ECBF,,,,,,,
,2019,,Yes,,244102023,SYR,,4/18/2019,,NB8,Nestling,,,Yes,,16.6,19.3,,011016A7D3,,,,,,,
,2019,,Yes,,244102030,YLS,,4/18/2019,,NB29,Nestling,,,Yes,,18.1,19.5,,011016CAE9,,,,,,,
,2019,,Yes,,244102025,YSG,,4/18/2019,,NB29,Nestling,,,Yes,,17.3,18.4,,01103F6CB3,,,,,,,
,2019,,Yes,,244102027,YWS,,4/18/2019,,NB29,Nestling,,,Yes,,16.7,19.4,,0110135571*,,,,,,,
,2019,,Yes,,244102028,YYT,,4/18/2019,,NB29,Nestling,,,Yes,,16,18.3,,011017397A,,,,,,,
,2019,,Yes,,244102031,YYW,,4/18/2019,,NB29,Nestling,,,Yes,,16.6,18.4,,01103F6191,,,,,,,
,2019,,Yes,,244102026,YYY,,4/18/2019,,NB29,Nestling,,,Yes,,16.6,18.7,,011016F2FA,,,,,,,
,2019,,Yes,,244102034,SOO,,4/19/2019,,NB1,Nestling,,,Yes,,18.1,18.1,,011016EF46,,,,,,,
,2019,,Yes,,244102035,SOS,,4/19/2019,,NB1,Nestling,,,Yes,,18.3,18.3,,011016AE88,,,,,,,
