,Year,Data Needed (see orange cell),Blood in Hand (ref. priority extraction sheet for location of sample) ,,Metal  # (highlighted yellow if missing data on this bird),Color Combo,Sex,Date,"Status (New,Previous year, It's Alive!!)",Location: Feeder/MistNet/NB,"Age (ASY,AHY,HY(Juv),Nestling)","Color crest (3blk,2drk grey,1light grey)","Color proximal lower mandible (3blk,2drk grey,1light grey)",Blood Taken,Feathers Taken,Mass (g),Tarsus (mm),Wing (mm),RFID #,Tarsus/wing  collected by,IA nestbox of origin,Notes,Other Notes,Recapture date,Recapture location,
,2018,,Yes,,258115481,T,M,05/18/18,,Trial *,*,,,Yes,,*,*,,011016BD10,,,*listed as tryout 1/doesn't have weight or tarsus listed,,,,
,2018,,Yes* (Duplicate 6/25/18?),,258115483,SYB,M,05/19/18,,Trial *,Adult,,,Yes,,19.5,21.0,,011016C32B,,,*Trial number not listed on data sheet,,,,
,2018,,Yes,,258115482,YBR,F,05/19/18,,Trial *,Juv,,,Yes,,17.0,19.5,,01103F8F6D,,,"*Not a trial; **due to confusing notation on data sheet, the band combo could be either MY BR or ; no GPS point",,,,
,2018,,Have two bloods in hand with 483 *Unsure if this is same bird as 5483 above,,258115483,YBY,M,05/19/18,,Trial *,Adult,,,Yes,,19.5,21.0,,011016C32B,,,"*Not a trial; **due to confusing notation on data sheet, the band combo could be either MY BY or MY YB-->MY BY is a duplicate combo of metal band # 250114483, unknown if they're the same bird or not",,,,
,2018,,Yes,,258115482,YRB,F,05/19/18,,Trial *,Juv,,,Yes,,17.0,19.5,,01103F8F6D,,,*Trial number not listed on data sheet,"Recaptured 11/23/19, 8:44, @F10 *NOTE: There are two Y RBs.",,,
,2018,,Yes,,258115484,SWW,M,05/22/18,,Trial 1,Adult (second year),,,Yes,,-,-,,011016D01B,,,Lost bird; no GPS point,,,,
,2018,,Yes,,258115485,YGG,M,05/24/18,,Trial 3,Adult (second year),,,Yes,,20.0,20.0,,011016AEEC,,,"GPS point: N 29ª40'32"", W 98°20'11""","Recaptured 11/23/19, 10:20, @F12",,,
,2018,,Yes,,258115486,SYY,M,05/30/18,,Trial 11,Juv,,,Yes,,19.5,19.9,,011016F442,,,"GPS point: N 29ª41'0"", W 98°20'49""; tail worn and ugly; bleeding was difficult, eventually sample taken from left wing",,,,
,2018,,Yes,,258115487,YRL,M,06/05/18,,Trial 14,Juv,,,Yes,,18.8,19.8,,01103F392D,,,"GPS point: N 29°40'54"", W 98°21'9""",,,,
,2018,,Yes,,258115488,YWG,M,06/05/18,,Trial 15,Juv,,,Yes,,19.3,20.3,,01103F6ECB,,,"GPS point: N 29°40'54"", W 98°21'9""; identified as second year juv rather than second year adult because of blue mandibles ",,,,
,2018,,Yes,,258115489,YWT,M,06/06/18,,Trial 16,Adult (second year),,,Yes,,19.3,20.4,,01103F8D5A,,,"*Duplicate band. GPS point: N 29°40'41"", W 98°21'31""; nicknamed Zeus. ",,,,
,2018,,Yes,,258115490,SOR,F,06/07/18,,Trial 9,Juv,,,Yes,,17.0,19.3,,011016ADEF,,,"GPS point: N 29°40'58"", W 98°20'53""",,,,
,2018,,Yes,,258115493,STY,M,06/08/18,,Trial *,Juv,,,Yes,,19.2,20.4,,011016A3DE,,,"*Not a trial, catching at the pond; GPS point: N 29°38'27"", W 98°18'10""; nicknamed Hydra",,,,
,2018,,Yes,,258115491,YOY,F,06/08/18,,Trial *,Juv,,,Yes,,16.1,19.5,,011016CDA2,,,"*Not a trial, catching at the pond; GPS point: N 29°38'27"", W 98°18'10""; nicknamed Perseus",,,,
,2018,,Yes,,258115494,YBW,F,06/11/18,,Trial 17,Juv,,,Yes,,18.1,19.6,,01103F4C6A,,,"GPS point: N 29°34'9"", W 98°22'36""",,,,
,2018,,Yes,,258115500,YOG,M,06/11/18,,Trial 18,Adult (second year),,,Yes,,20.2,21.5,,01103F3C6B,,,"GPS point: N 29°34'9"", W 98°22'36""; *same GPS point as last trial, so possib;y not accurate",,,,
,2018,,Yes,,258115496,STB,M,06/12/18,,Trial 20,Juv,,,Yes,,19.0,20.0,,011016C8D8,,,"GPS point: N 29°40.322', W 098°21.945'",,,,
,2018,,Yes,,258115495,YOW,M,06/12/18,,Trial 19,Juv,,,Yes,,18.4,20.5,,011016ADA8,,,Right wing: molting 1st and 2nd primary; left wing: molting 1st and second primary; no GPS point,,,,
,2018,,Yes,,258115498,SWG,F,06/15/18,,Trial 22,Juv,,,Yes,,17.3,19.2,,011016E912,,,"GPS point: N 29°40.521', W 098°20.592'",,,,
,2018,,Yes,,275045021,SGB,F,06/16/18,,Trial 22,Juv,,,Yes,,16.9,19.2,,011016BE38,,,"GPS point: N 29°40'52', W 098°20'59""",,,,
