"tag","feeder","DateTime","Color_Combo","Sex","Age","time_diff","new_event","Event_ID"
"3B00181EC1","A",2025-09-27 09:02:48,"RRY",NA,"HY",NA,1,1
"3B00181EC1","A",2025-09-27 09:02:49,"RRY",NA,"HY",1,0,1
"3B0018F001","A",2025-09-27 09:03:02,"SDO","M","HY",13,0,1
"3B0018F001","A",2025-09-27 09:03:03,"SDO","M","HY",1,0,1
"3B001923F9","A",2025-09-27 09:03:10,"RRR",NA,"HY",7,0,1
"3B001923F9","A",2025-09-27 09:03:11,"RRR",NA,"HY",1,0,1
"3B00181EC1","A",2025-09-27 09:03:30,"RRY",NA,"HY",19,0,1
"3B00181EC1","A",2025-09-27 09:03:31,"RRY",NA,"HY",1,0,1
"3B00181EC1","A",2025-09-27 09:03:32,"RRY",NA,"HY",1,0,1
"3B001923F9","A",2025-09-27 09:04:05,"RRR",NA,"HY",33,0,1
"3B001923F9","A",2025-09-27 09:04:06,"RRR",NA,"HY",1,0,1
"3B001923F9","A",2025-09-27 09:04:55,"RRR",NA,"HY",49,0,1
"3B001923F9","A",2025-09-27 09:04:56,"RRR",NA,"HY",1,0,1
"3B001923F9","A",2025-09-27 09:04:57,"RRR",NA,"HY",1,0,1
"3B001923F9","A",2025-09-27 09:07:16,"RRR",NA,"HY",139,1,2
"3B001923F9","A",2025-09-27 09:07:17,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:07:18,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:44,"RRR",NA,"HY",86,0,2
"3B001923F9","A",2025-09-27 09:08:45,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:46,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:47,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:48,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:49,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:50,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:51,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:52,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:53,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:54,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:55,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:56,"RRR",NA,"HY",1,0,2
"3B001923F9","A",2025-09-27 09:08:57,"RRR",NA,"HY",1,0,2
"3B00199599","A",2025-09-27 09:09:32,"RRD","F","AHY",35,0,2
"3B0018F001","A",2025-09-27 09:09:40,"SDO","M","HY",8,0,2
"3B0018F001","A",2025-09-27 09:09:41,"SDO","M","HY",1,0,2
"3B0018F001","A",2025-09-27 09:09:42,"SDO","M","HY",1,0,2
"3B00181EC1","A",2025-09-27 09:11:31,"RRY",NA,"HY",109,0,2
"3B00181EC1","A",2025-09-27 09:11:32,"RRY",NA,"HY",1,0,2
"3B00199599","A",2025-09-27 09:12:07,"RRD","F","AHY",35,0,2
"3B001923F9","A",2025-09-27 12:14:54,"RRR",NA,"HY",10967,1,3
"3B001923F9","A",2025-09-27 12:16:10,"RRR",NA,"HY",76,0,3
"3B001923F9","A",2025-09-27 12:16:11,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:16:12,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:16:13,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:16:14,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:16:15,"RRR",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:16:20,"RRY",NA,"HY",5,0,3
"3B00181EC1","A",2025-09-27 12:16:21,"RRY",NA,"HY",1,0,3
