"Bird","Sex","Date_Captured","Location_Captured","Nest_2023_Nestbox","Nest_2023_Round","Nest_2023_BirdNumber","Nest_2024_Nestbox","Nest_2024_Round","Nest_2024_BirdNumber","Nest_2025_Nestbox","Nest_2025_Round","Nest_2025_BirdNumber","Nest_2026_Nestbox","Nest_2026_Round","Nest_2026_BirdNumber","RFID_09-10_2025_Age","RFID_09-10_2025_Feeders","RFID_09-10_2025_Season","RFID_04-05_2026_Age","RFID_04-05_2026_Feeders","RFID_04-05_2026_Season","RFID_06-07_2026_Age","RFID_06-07_2026_Feeders","RFID_06-07_2026_Season","Fall_2025_Community","Spring_2026_Community","Summer_2026_Community","StandardizedCommunity","Matches"
"CBW","M","07/04/23","FF","7","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGN",NA,"05/15/22","NB45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASY","A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S","09-10 2025","ASY","A, B, D, E, F, H, I","04-05 2026","ASY","A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, S","06-07 2026","Fall C1","Spring C1","Summer C2",1,3
"COR",NA,"05/15/22","NB49","21","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRT",NA,"06/06/24","FG","22","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRY","M","05/28/24","NB18",NA,NA,NA,NA,NA,NA,"18","SecondRound","Bird1",NA,NA,NA,"ASY","R, S","09-10 2025","ASY","R, S","04-05 2026","ASY","S","06-07 2026","Fall C18","Spring C13","Summer C11",6,3
"CTS","F","07/19/23","FG","22","FirstRound","Bird2",NA,NA,NA,"22","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBB",NA,"06/07/21","NB64","30","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBG",NA,"06/22/21","NB85","96","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBO",NA,"06/22/21","NB85","71","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,"10","FirstRound","Bird2","AHY","H, I","09-10 2025","ASY","H, I","04-05 2026","ASY","H","06-07 2026","Fall C7","Spring C7","Summer C6",14,2
"GBO",NA,"06/22/21","NB85","84","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,"10","FirstRound","Bird2","AHY","H, I","09-10 2025","ASY","H, I","04-05 2026","ASY","H","06-07 2026","Fall C7","Spring C7","Summer C6",14,2
"GBR",NA,"06/07/21","NB64",NA,NA,NA,NA,NA,NA,"53","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBT",NA,"06/22/21","NB85","42","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GDD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","R, S","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C18","Spring Not detected","Summer Not detected",6,1
"GDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","FirstRound","Bird1",NA,NA,NA,"ASY","Q, R, S","04-05 2026","ASY","R, S","06-07 2026","Fall Not detected","Spring C13","Summer C11",6,2
"GDO","M","09/21/25","FO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","O, P, Q","09-10 2025","SY","O, P, Q","04-05 2026","SY","O, P, Q","06-07 2026","Fall C14","Spring C11","Summer C9",4,3
"GDW","M","10/12/25","FD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASY.","K, L, M","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C11","Spring Not detected","Summer Not detected",3,1
"GLB",NA,"06/07/21","NB97","74","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLS","M","09/17/23","FM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASY","K, L","06-07 2026","Fall Not detected","Spring Not detected","Summer C7",3,1
"GNG",NA,"06/22/21","NB23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","FirstRound","Bird1",NA,NA,NA,"AHY","B, C","04-05 2026","AHY","B, C","06-07 2026","Fall Not detected","Spring C3","Summer C2",8,2
"GNO",NA,"06/22/21","NB23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EB3","FirstRound","Bird3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GNT",NA,"06/30/21","F11",NA,NA,NA,NA,NA,NA,"16B (old: 94)","SecondRound","Bird1","16B (old: 94)","FirstRound","Bird1","ASY","P, Q, R","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C16","Spring Not detected","Summer Not detected",NA,NA
"GON",NA,"06/14/21","NB94",NA,NA,NA,"10","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOS","M","04/21/25","NB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","B, C","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C3","Spring Not detected","Summer Not detected",8,1
"GPB",".","04/29/26","NB52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","M, N","06-07 2026","Fall Not detected","Spring Not detected","Summer C8",13,1
"GPN","M","04/26/26","NB75",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GPR","M","05/18/26","NB18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","R, S","06-07 2026","Fall Not detected","Spring Not detected","Summer C11",6,1
"GPW","M","05/18/26","NB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,"Nestling","H","06-07 2026","Fall Not detected","Spring Not detected","Summer C6",NA,1
"GPY","M","06/06/26","NB42",NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRB",NA,"06/14/21","NB94","50","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRG",NA,"06/22/21","NB92","2","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRN",NA,"06/22/21","NB92","49","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRP","F","06/09/26","NB81",NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRS","F","06/30/23","FK","14","FirstRound","Bird2","14","SecondRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSD","M","04/30/26","NB52",NA,NA,NA,NA,NA,NA,NA,NA,NA,"52","FirstRound","Bird2",NA,NA,NA,"AHY","O","04-05 2026",NA,NA,NA,"Fall Not detected","Spring C11","Summer Not detected",4,1
"GSN",NA,"06/22/21","NB37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","H","06-07 2026","Fall Not detected","Spring Not detected","Summer C6",NA,1
"GTP","F","05/27/26","FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHY","D, E","06-07 2026","Fall Not detected","Spring Not detected","Summer C3",NA,1
"GTR",NA,"06/18/21","NB62",NA,NA,NA,"17","FirstRound","Bird2","17","FirstRound","Bird2",NA,NA,NA,"ASY","S","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C18","Spring Not detected","Summer Not detected",6,1
"GTR",NA,"06/18/21","NB62",NA,NA,NA,"17","FirstRound","Bird2","17","SecondRound","Bird1",NA,NA,NA,"ASY","S","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C18","Spring Not detected","Summer Not detected",6,1
"GYO",NA,"07/01/21","F18",NA,NA,NA,"15B (old: 54)","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GYW",NA,"07/10/21","MN by F7",NA,NA,NA,NA,NA,NA,"14","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juv",NA,NA,NA,"14","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
