11,"PAIRS, first round",,,"PAIRS, second round",,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"color, metal","color, metal",,"color, metal","color, metal","color, metal",2/22,2/23,2/24,2/25,2/26,2/27,2/28,3/1,3/2,3/3,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17,3/18,3/19,3/20,3/21,3/22,3/23,3/24,3/25,3/26,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12,5/13,5/14,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,5/27,5/28,5/29,5/30,5/31,6/1,6/2,6/3,6/4,6/5,6/6,6/7,6/8,6/9,6/10,6/11,6/12,6/13,6/14,6/15,6/16,6/17,6/18,6/19,6/20,6/21,6/22,6/23,6/24,6/25,6/26,6/27,6/28,6/29,6/30,7/1,7/2,7/3,7/4,7/5,7/6,7/7,7/8,7/9,7/10,7/11,7/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EB1,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EB2,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EB3,RPN+ (18Jun26),YXT& (23Jun26 cr td),GNO& (99% 23jun26),.,.,.,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EB4,RPN+,YPT+,.,.,.,.,,,,,,,,,,,,,,C,C,,,,,,(4),(6),,,,,(7),,,,,,,,,(7),,5(2),,5(2),,,,,5(2*),,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNG (*95%),PDN+,.,.,.,.,E,,,,,,,E,,,,,,,E,,,E,,,,U,,,C,,,,C,,,C,,,,(6),,,?,.,,,,,,(6),,,,,,6,(5),6,,,6,,,2 (*one dead nestling found on road in front of nest),2,,,2,,,skip,,,,OLD,,,C,,,,,,,G,,,,,OLD,,G,,,G,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SWB* (70%),RDY* (70% died in trap),.,.,.,.,E,,,,,,,E,,,,,,,W/R,,,E,,,,E,,,W/R,,,,W/R,,,G,,,,G,,,G,,,G,,,,I,,,,,,I,G,,,,U,,,,(2),,,(4),,,(6),,,,(6),,,(6),,,,,,,6,,,,,5,,5,,5,5,,,Skip,Skip,"? should've fledged, but haven't yet! didn't count because didn't want to disturb ",.,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,.,.,.,.,.,.,W/R,,,,,,,,,,,,,,W/R,,,W/R,,,,W/R,,,E,,,,E,,,W/R,,,,G,,,G,,,G,,,,G,,,,,,G,G,,,,G,,,,G,,,G,,,E,,,,W/R,,,W/O,,,,W/O,,,(6) Itsy bitsy moss,,,,,W/R,,E,,,E,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,.,.,.,.,.,.,E,,,,,,,,,,,,,,G,,,I,,,,G,,,I,,,,I,,,L,,,,I,,,G,,,G,,,,G,,,,,,G,G,,,,G,,,,I,,,W/R,,,W/R,,,,E,,,E,,,,,,,G,,,,,E,,E,,,E,,,,E,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"PLS (*90% &95% cr,17Apr26)","YPS+apr22EG,SC",.,.,.,.,E,,,,,,,E,,,,,,,I,,,U,,,,U,,,U,,,,(4),,,(6),,,,(6),,,(6),,,(6),,,,6,,,,,,6,6,,,,6,,add RFIDs to 2 nestlings,6,6,,,OLD,,,OLD,,,,G,,,G,,,,,,,G,,,,,G,,G,,,G,,,,G,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PLS+ *(99% 3jun26),YPS (*3june26),.,.,.,.,E,,,,,,,E,,,,,,,E,,,E,,,,W/R,,,W/R,,,,W/R,,,W/R,,,,W/R,,,E,,,E,,,,W/R,,,,,,W/R,G,,,,E,,,,W/R,,,W/R,,,W/R,,,,E,,,C ?,,,,(1),,,(4),,,,,? (Bird would not leave nest),.,(5),,,(5),,,,(1)4,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WOG* (90%),YBN* (90%),WSY* (90%),.,.,.,E,,,,,,,W/R,,,,W/R,,,W/R,,,W/R,,,,W/R,,,E,,,,W/R,,,E,,,,I,,,G,,,G,,,,E,,,,,,G,G,,,,G,,,,E,,,E,,,E,,,,G,,,G,,,,,,,(1),,,,,? (Bird would not leave nest),.,? (parent was incubating),? (parent on nest),.,(6),,,,?,(6),,,,,,?,,,,,,,,all nestlings gone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
