"Bird","x","y"
"CRY",21.5086216854757,34.7521943194984
"GBO (was GPT)",17.1346270220642,35.1302028499608
"GDN (was GDY)",20.343667534421,35.4108465499059
"GDO",22.9930121652675,32.3174756343314
"GNG",22.1816022508898,27.246322390295
"GPB",12.5326702982587,27.1611758973789
"GPR",20.1928696419818,33.976249144666
"GPW",18.3246765224863,34.6345206310479
"GSN",17.0870185069039,33.4138063157554
"GTP",15.314229130541,28.3461084230025
"NRO",11.6327715077261,31.2462443816605
"NSS",12.2915733397011,32.124850751585
"PDN",23.1989804985929,29.5792045511453
"PND",19.2376816797102,26.5766279228141
"RGT",18.9526953629116,24.8862559312244
"RNO",18.925839140793,27.8912913191086
"ROW",13.34862704727,28.5609620204228
"RTT",19.8064345248751,29.7616783660613
"SDO",17.9701389060251,29.452884800592
"SDR",22.7456499415217,28.4089033802692
"SDT",15.7627505205335,32.1824930065815
"SGB",21.350049685226,26.0868184530472
"SNR (was SNO)",15.5029861807101,34.4639532805667
"SOG",14.990953097876,25.1810955586252
"SPT",15.0180501970532,30.0178274263939
"SPW",13.6323377046161,25.8794295825775
"SSS",21.5854550296828,29.1360568978568
"STT",20.264454185233,25.2785209062826
"SWB",17.9968261675901,31.4858124454033
"SYO",20.7548145434669,27.7999978982746
"WDD",22.2323126372985,33.6398029844384
"WDY",18.786225690273,35.9310860237253
"WNP",11.8539784467596,28.5520935038137
"WNS",14.7339574843614,35.4822089277582
"WOG",14.1281075302929,33.3980344717712
"WPB",14.3298647692144,27.1002431805104
"WPD",13.5375516315766,31.5587428896083
"WPG",16.5124250048496,30.5690495319595
"WPS",23.3097132526334,31.0661895977755
"WSY",12.7692853288183,33.513010244517
"WYD",19.9837009737299,31.1343560964109
"YBN",13.3298689170028,34.5568685728601
"YDT",13.1016009176279,30.4827577171523
"YDW",15.7337470120316,36.0055662229477
"YGD",17.4440784517326,36.4163055292308
"YGY",21.6992348248354,30.9558693819428
"YOD",15.6265728032805,26.540380479955
"YPS",16.9131758616284,28.07506430749
"YRP",19.2411538424691,32.8403238004767
"YSR",16.3393577160462,24.7758682580015
"YWS",12.0252277357143,30.2946905071956
"YYN (was YNO)",21.0918884634856,32.7752399832784
"SWT",17.4676122725309,26.3446495416238
"RDO",17.6524949090431,24.6111733946036
