"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"CRY","GBO (was GPT)",1,2,FALSE,"Fall 2025 Pre-Nesting_Communities"
"CRY","GDO",1,3,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","GDO",2,3,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)","GDO",1,3,FALSE,"Fall 2025 Pre-Nesting_Communities"
"CRY","GNT",1,4,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","GNT",2,4,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDO","GNT",3,4,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)","GNT",1,4,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)","GNT",8,4,FALSE,"Fall 2025 Pre-Nesting_Communities"
"CRY","GOS",1,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","GOS",2,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDO","GOS",3,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GNT","GOS",4,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)","GOS",1,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)","GOS",8,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"CRY","PBP (was PBB)",1,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","PBP (was PBB)",2,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDO","PBP (was PBB)",3,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GNT","PBP (was PBB)",4,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GOS","PBP (was PBB)",5,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)","PBP (was PBB)",1,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)","PBP (was PBB)",8,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"CRY","PBS",1,3,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","PBS",2,3,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDO","PBS",3,3,TRUE,"Fall 2025 Pre-Nesting_Communities"
"GNT","PBS",4,3,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GOS","PBS",5,3,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBP (was PBB)","PBS",6,3,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)","PBS",1,3,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)","PBS",8,3,FALSE,"Fall 2025 Pre-Nesting_Communities"
"CRY","PBWorPWB",1,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","PBWorPWB",2,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDO","PBWorPWB",3,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GNT","PBWorPWB",4,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GOS","PBWorPWB",5,5,TRUE,"Fall 2025 Pre-Nesting_Communities"
"PBP (was PBB)","PBWorPWB",6,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBS","PBWorPWB",3,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)","PBWorPWB",1,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)","PBWorPWB",8,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"CRY","PLS",1,7,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","PLS",2,7,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDO","PLS",3,7,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GNT","PLS",4,7,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GOS","PLS",5,7,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBP (was PBB)","PLS",6,7,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBS","PLS",3,7,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBWorPWB","PLS",5,7,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)","PLS",1,7,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)","PLS",8,7,FALSE,"Fall 2025 Pre-Nesting_Communities"
"CRY","PND",1,8,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","PND",2,8,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDO","PND",3,8,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GNT","PND",4,8,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GOS","PND",5,8,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBP (was PBB)","PND",6,8,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBS","PND",3,8,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBWorPWB","PND",5,8,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PLS","PND",7,8,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)","PND",1,8,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)","PND",8,8,TRUE,"Fall 2025 Pre-Nesting_Communities"
"CRY","PNL",1,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","PNL",2,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDO","PNL",3,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GNT","PNL",4,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GOS","PNL",5,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBP (was PBB)","PNL",6,6,TRUE,"Fall 2025 Pre-Nesting_Communities"
"PBS","PNL",3,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBWorPWB","PNL",5,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PLS","PNL",7,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PND","PNL",8,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)","PNL",1,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)","PNL",8,6,FALSE,"Fall 2025 Pre-Nesting_Communities"
"CRY","PNW",1,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","PNW",2,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDO","PNW",3,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GNT","PNW",4,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GOS","PNW",5,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBP (was PBB)","PNW",6,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBS","PNW",3,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBWorPWB","PNW",5,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PLS","PNW",7,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PND","PNW",8,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PNL","PNW",6,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)","PNW",1,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)","PNW",8,9,FALSE,"Fall 2025 Pre-Nesting_Communities"
"CRY","RBP",1,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","RBP",2,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDO","RBP",3,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GNT","RBP",4,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GOS","RBP",5,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBP (was PBB)","RBP",6,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBS","RBP",3,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBWorPWB","RBP",5,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PLS","RBP",7,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PND","RBP",8,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PNL","RBP",6,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PNW","RBP",9,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)","RBP",1,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)","RBP",8,10,FALSE,"Fall 2025 Pre-Nesting_Communities"
"CRY","RBT",1,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)","RBT",2,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GDO","RBT",3,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GNT","RBT",4,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"GOS","RBT",5,5,TRUE,"Fall 2025 Pre-Nesting_Communities"
"PBP (was PBB)","RBT",6,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBS","RBT",3,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PBWorPWB","RBT",5,5,TRUE,"Fall 2025 Pre-Nesting_Communities"
"PLS","RBT",7,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PND","RBT",8,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
"PNL","RBT",6,5,FALSE,"Fall 2025 Pre-Nesting_Communities"
