"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard","Source","Target"
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",1,"CRY, YYN (was YNO)","GDD (was GDR)","GDN (was GDY)",2,4,0.5,"Fall 2025 Pre-Nesting_Communities

Community 1 (3 birds)

CRY
GDD (was GDR)
YYN (was YNO)","Spring 2026 Nesting Period_Communities

Community 1 (3 birds)

CRY
GDN (was GDY)
YYN (was YNO)"
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",2,"GBO (was GPT), YGD","","WNS, YDW",2,4,0.5,"Fall 2025 Pre-Nesting_Communities

Community 2 (2 birds)

GBO (was GPT)
YGD","Spring 2026 Nesting Period_Communities

Community 2 (4 birds)

GBO (was GPT)
WNS
YDW
YGD"
"Fall 2025 Pre-Nesting_Communities",3,"Spring 2026 Nesting Period_Communities",3,"GDO","PBS, YGY, YND","WDB",1,5,0.2,"Fall 2025 Pre-Nesting_Communities

Community 3 (4 birds)

GDO
PBS
YGY
YND","Spring 2026 Nesting Period_Communities

Community 3 (2 birds)

GDO
WDB"
"Fall 2025 Pre-Nesting_Communities",5,"Spring 2026 Nesting Period_Communities",4,"SYO","GOS, PBWorPWB, RBT, SWB, SYR","GNG, PDN",1,8,0.125,"Fall 2025 Pre-Nesting_Communities

Community 5 (6 birds)

GOS
PBWorPWB
RBT
SWB
SYO
SYR","Spring 2026 Nesting Period_Communities

Community 4 (3 birds)

GNG
PDN
SYO"
"Fall 2025 Pre-Nesting_Communities",6,"Spring 2026 Nesting Period_Communities",5,"PBP (was PBB)","PNL","RPP",1,3,0.333,"Fall 2025 Pre-Nesting_Communities

Community 6 (2 birds)

PBP (was PBB)
PNL","Spring 2026 Nesting Period_Communities

Community 5 (2 birds)

PBP (was PBB)
RPP"
"Fall 2025 Pre-Nesting_Communities",7,"Spring 2026 Nesting Period_Communities",6,"PLS, YPS","RTP","",2,3,0.667,"Fall 2025 Pre-Nesting_Communities

Community 7 (3 birds)

PLS
RTP
YPS","Spring 2026 Nesting Period_Communities

Community 6 (2 birds)

PLS
YPS"
"Fall 2025 Pre-Nesting_Communities",10,"Spring 2026 Nesting Period_Communities",7,"RBP","RSD, SYT","SWB, YPN",1,5,0.2,"Fall 2025 Pre-Nesting_Communities

Community 10 (3 birds)

RBP
RSD
SYT","Spring 2026 Nesting Period_Communities

Community 7 (3 birds)

RBP
SWB
YPN"
"Fall 2025 Pre-Nesting_Communities",11,"Spring 2026 Nesting Period_Communities",8,"RGT, SGB, STT","YPW","",3,4,0.75,"Fall 2025 Pre-Nesting_Communities

Community 11 (4 birds)

RGT
SGB
STT
YPW","Spring 2026 Nesting Period_Communities

Community 8 (3 birds)

RGT
SGB
STT"
"Fall 2025 Pre-Nesting_Communities",13,"Spring 2026 Nesting Period_Communities",11,"SDO, SWT","RRD, RRR, RRY","",2,5,0.4,"Fall 2025 Pre-Nesting_Communities

Community 13 (5 birds)

RRD
RRR
RRY
SDO
SWT","Spring 2026 Nesting Period_Communities

Community 11 (2 birds)

SDO
SWT"
"Fall 2025 Pre-Nesting_Communities",15,"Spring 2026 Nesting Period_Communities",12,"WOG, WSY, YBN","","WPG",3,4,0.75,"Fall 2025 Pre-Nesting_Communities

Community 15 (3 birds)

WOG
WSY
YBN","Spring 2026 Nesting Period_Communities

Community 12 (4 birds)

WOG
WPG
WSY
YBN"
"Fall 2025 Pre-Nesting_Communities",16,"Spring 2026 Nesting Period_Communities",2,"YDW","WWB","GBO (was GPT), WNS, YGD",1,5,0.2,"Fall 2025 Pre-Nesting_Communities

Community 16 (2 birds)

WWB
YDW","Spring 2026 Nesting Period_Communities

Community 2 (4 birds)

GBO (was GPT)
WNS
YDW
YGD"
