"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",1,"CRY, YYN (was YNO)","GDD (was GDR)","GDN (was GDY)",2,4,0.5
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",2,"GBO (was GPT), YGD","","WNS, YDW",2,4,0.5
"Fall 2025 Pre-Nesting_Communities",3,"Spring 2026 Nesting Period_Communities",3,"GDO","PBS, YGY, YND","WDB",1,5,0.2
"Fall 2025 Pre-Nesting_Communities",5,"Spring 2026 Nesting Period_Communities",4,"SYO","GOS, PBWorPWB, RBT, SWB, SYR","GNG, PDN",1,8,0.125
"Fall 2025 Pre-Nesting_Communities",6,"Spring 2026 Nesting Period_Communities",5,"PBP (was PBB)","PNL","RPP",1,3,0.333
"Fall 2025 Pre-Nesting_Communities",7,"Spring 2026 Nesting Period_Communities",6,"PLS, YPS","RTP","",2,3,0.667
"Fall 2025 Pre-Nesting_Communities",10,"Spring 2026 Nesting Period_Communities",7,"RBP","RSD, SYT","SWB, YPN",1,5,0.2
"Fall 2025 Pre-Nesting_Communities",11,"Spring 2026 Nesting Period_Communities",8,"RGT, SGB, STT","YPW","",3,4,0.75
"Fall 2025 Pre-Nesting_Communities",13,"Spring 2026 Nesting Period_Communities",11,"SDO, SWT","RRD, RRR, RRY","",2,5,0.4
"Fall 2025 Pre-Nesting_Communities",15,"Spring 2026 Nesting Period_Communities",12,"WOG, WSY, YBN","","WPG",3,4,0.75
"Fall 2025 Pre-Nesting_Communities",16,"Spring 2026 Nesting Period_Communities",2,"YDW","WWB","GBO (was GPT), WNS, YGD",1,5,0.2
