"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",1,"CRY, YYN (was YNO)","GDD (was GDR)","GDN (was GDY)",2,4,0.5
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",2,"","CRY, YYN (was YNO), GDD (was GDR)","GBO (was GPT), WNS, YDW, YGD",0,7,0
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",3,"","CRY, YYN (was YNO), GDD (was GDR)","GDO, WDB",0,5,0
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",4,"","CRY, YYN (was YNO), GDD (was GDR)","GNG, PDN, SYO",0,6,0
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",5,"","CRY, YYN (was YNO), GDD (was GDR)","PBP (was PBB), RPP",0,5,0
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",6,"","CRY, YYN (was YNO), GDD (was GDR)","PLS, YPS",0,5,0
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",7,"","CRY, YYN (was YNO), GDD (was GDR)","RBP, SWB, YPN",0,6,0
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",8,"","CRY, YYN (was YNO), GDD (was GDR)","RGT, SGB, STT",0,6,0
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",9,"","CRY, YYN (was YNO), GDD (was GDR)","ROO, YOD",0,5,0
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",10,"","CRY, YYN (was YNO), GDD (was GDR)","RTT, WYD",0,5,0
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",11,"","CRY, YYN (was YNO), GDD (was GDR)","SDO, SWT",0,5,0
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",12,"","CRY, YYN (was YNO), GDD (was GDR)","WOG, WPG, WSY, YBN",0,7,0
"Fall 2025 Pre-Nesting_Communities",1,"Spring 2026 Nesting Period_Communities",13,"","CRY, YYN (was YNO), GDD (was GDR)","YGP, YSR",0,5,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",1,"","GBO (was GPT), YGD","CRY, GDN (was GDY), YYN (was YNO)",0,5,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",2,"GBO (was GPT), YGD","","WNS, YDW",2,4,0.5
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",3,"","GBO (was GPT), YGD","GDO, WDB",0,4,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",4,"","GBO (was GPT), YGD","GNG, PDN, SYO",0,5,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",5,"","GBO (was GPT), YGD","PBP (was PBB), RPP",0,4,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",6,"","GBO (was GPT), YGD","PLS, YPS",0,4,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",7,"","GBO (was GPT), YGD","RBP, SWB, YPN",0,5,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",8,"","GBO (was GPT), YGD","RGT, SGB, STT",0,5,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",9,"","GBO (was GPT), YGD","ROO, YOD",0,4,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",10,"","GBO (was GPT), YGD","RTT, WYD",0,4,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",11,"","GBO (was GPT), YGD","SDO, SWT",0,4,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",12,"","GBO (was GPT), YGD","WOG, WPG, WSY, YBN",0,6,0
"Fall 2025 Pre-Nesting_Communities",2,"Spring 2026 Nesting Period_Communities",13,"","GBO (was GPT), YGD","YGP, YSR",0,4,0
"Fall 2025 Pre-Nesting_Communities",3,"Spring 2026 Nesting Period_Communities",1,"","GDO, PBS, YGY, YND","CRY, GDN (was GDY), YYN (was YNO)",0,7,0
"Fall 2025 Pre-Nesting_Communities",3,"Spring 2026 Nesting Period_Communities",2,"","GDO, PBS, YGY, YND","GBO (was GPT), WNS, YDW, YGD",0,8,0
