"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard","Source","Target"
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",1,"CRY, YYN (was YNO)","GDD (was GDR)","GDN (was GDY), GPR, WDD, YRP",2,7,0.286,"Fall 2025 Pre-Nesting_Communities

Community 1 (3 birds)

CRY
GDD (was GDR)
YYN (was YNO)","Summer 2026 Post-Fledging_Communities

Community 1 (6 birds)

CRY
GDN (was GDY)
GPR
WDD
YRP
YYN (was YNO)"
"Fall 2025 Pre-Nesting_Communities",2,"Summer 2026 Post-Fledging_Communities",2,"GBO (was GPT), YGD","","GPW, GSN, WDY",2,5,0.4,"Fall 2025 Pre-Nesting_Communities

Community 2 (2 birds)

GBO (was GPT)
YGD","Summer 2026 Post-Fledging_Communities

Community 2 (5 birds)

GBO (was GPT)
GPW
GSN
WDY
YGD"
"Fall 2025 Pre-Nesting_Communities",3,"Summer 2026 Post-Fledging_Communities",3,"GDO, YGY","PBS, YND","WPS",2,5,0.4,"Fall 2025 Pre-Nesting_Communities

Community 3 (4 birds)

GDO
PBS
YGY
YND","Summer 2026 Post-Fledging_Communities

Community 3 (3 birds)

GDO
WPS
YGY"
"Fall 2025 Pre-Nesting_Communities",5,"Summer 2026 Post-Fledging_Communities",4,"SWB, SYO","GOS, PBWorPWB, RBT, SYR","GNG, PDN, SDR, SDT, SSS",2,11,0.182,"Fall 2025 Pre-Nesting_Communities

Community 5 (6 birds)

GOS
PBWorPWB
RBT
SWB
SYO
SYR","Summer 2026 Post-Fledging_Communities

Community 4 (7 birds)

GNG
PDN
SDR
SDT
SSS
SWB
SYO"
"Fall 2025 Pre-Nesting_Communities",7,"Summer 2026 Post-Fledging_Communities",6,"YPS","PLS, RTP","GTP, SOG, SPT, WPG",1,7,0.143,"Fall 2025 Pre-Nesting_Communities

Community 7 (3 birds)

PLS
RTP
YPS","Summer 2026 Post-Fledging_Communities

Community 6 (5 birds)

GTP
SOG
SPT
WPG
YPS"
"Fall 2025 Pre-Nesting_Communities",8,"Summer 2026 Post-Fledging_Communities",8,"PND","GDW (wasGYW)","RNO",1,3,0.333,"Fall 2025 Pre-Nesting_Communities

Community 8 (2 birds)

GDW (wasGYW)
PND","Summer 2026 Post-Fledging_Communities

Community 8 (2 birds)

PND
RNO"
"Fall 2025 Pre-Nesting_Communities",9,"Summer 2026 Post-Fledging_Communities",6,"SOG","PNW, SOT, YDP","GTP, SPT, WPG, YPS",1,8,0.125,"Fall 2025 Pre-Nesting_Communities

Community 9 (4 birds)

PNW
SOG
SOT
YDP","Summer 2026 Post-Fledging_Communities

Community 6 (5 birds)

GTP
SOG
SPT
WPG
YPS"
"Fall 2025 Pre-Nesting_Communities",11,"Summer 2026 Post-Fledging_Communities",9,"RGT, SGB, STT","YPW","",3,4,0.75,"Fall 2025 Pre-Nesting_Communities

Community 11 (4 birds)

RGT
SGB
STT
YPW","Summer 2026 Post-Fledging_Communities

Community 9 (3 birds)

RGT
SGB
STT"
"Fall 2025 Pre-Nesting_Communities",13,"Summer 2026 Post-Fledging_Communities",11,"SDO, SWT","RRD, RRR, RRY","",2,5,0.4,"Fall 2025 Pre-Nesting_Communities

Community 13 (5 birds)

RRD
RRR
RRY
SDO
SWT","Summer 2026 Post-Fledging_Communities

Community 11 (2 birds)

SDO
SWT"
"Fall 2025 Pre-Nesting_Communities",15,"Summer 2026 Post-Fledging_Communities",13,"WOG, WSY, YBN","","",3,3,1,"Fall 2025 Pre-Nesting_Communities

Community 15 (3 birds)

WOG
WSY
YBN","Summer 2026 Post-Fledging_Communities

Community 13 (3 birds)

WOG
WSY
YBN"
"Fall 2025 Pre-Nesting_Communities",16,"Summer 2026 Post-Fledging_Communities",12,"YDW","WWB","SNR (was SNO), WNS",1,4,0.25,"Fall 2025 Pre-Nesting_Communities

Community 16 (2 birds)

WWB
YDW","Summer 2026 Post-Fledging_Communities

Community 12 (3 birds)

SNR (was SNO)
WNS
YDW"
"Fall 2025 Pre-Nesting_Communities",17,"Summer 2026 Post-Fledging_Communities",7,"YDT, YWS","","NRO, NSS, WPD",2,5,0.4,"Fall 2025 Pre-Nesting_Communities

Community 17 (2 birds)

YDT
YWS","Summer 2026 Post-Fledging_Communities

Community 7 (5 birds)

NRO
NSS
WPD
YDT
YWS"
