"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",1,"CRY, YYN (was YNO)","GDD (was GDR)","GDN (was GDY), GPR, WDD, YRP",2,7,0.286
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",2,"","CRY, YYN (was YNO), GDD (was GDR)","GBO (was GPT), GPW, GSN, WDY, YGD",0,8,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",3,"","CRY, YYN (was YNO), GDD (was GDR)","GDO, WPS, YGY",0,6,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",4,"","CRY, YYN (was YNO), GDD (was GDR)","GNG, PDN, SDR, SDT, SSS, SWB, SYO",0,10,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",5,"","CRY, YYN (was YNO), GDD (was GDR)","GPB, ROW, SPW, WNP, WPB, YOD",0,9,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",6,"","CRY, YYN (was YNO), GDD (was GDR)","GTP, SOG, SPT, WPG, YPS",0,8,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",7,"","CRY, YYN (was YNO), GDD (was GDR)","NRO, NSS, WPD, YDT, YWS",0,8,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",8,"","CRY, YYN (was YNO), GDD (was GDR)","PND, RNO",0,5,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",9,"","CRY, YYN (was YNO), GDD (was GDR)","RGT, SGB, STT",0,6,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",10,"","CRY, YYN (was YNO), GDD (was GDR)","RTT, WYD",0,5,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",11,"","CRY, YYN (was YNO), GDD (was GDR)","SDO, SWT",0,5,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",12,"","CRY, YYN (was YNO), GDD (was GDR)","SNR (was SNO), WNS, YDW",0,6,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",13,"","CRY, YYN (was YNO), GDD (was GDR)","WOG, WSY, YBN",0,6,0
"Fall 2025 Pre-Nesting_Communities",1,"Summer 2026 Post-Fledging_Communities",14,"","CRY, YYN (was YNO), GDD (was GDR)","YSR, RDO",0,5,0
"Fall 2025 Pre-Nesting_Communities",2,"Summer 2026 Post-Fledging_Communities",1,"","GBO (was GPT), YGD","CRY, GDN (was GDY), GPR, WDD, YRP, YYN (was YNO)",0,8,0
"Fall 2025 Pre-Nesting_Communities",2,"Summer 2026 Post-Fledging_Communities",2,"GBO (was GPT), YGD","","GPW, GSN, WDY",2,5,0.4
"Fall 2025 Pre-Nesting_Communities",2,"Summer 2026 Post-Fledging_Communities",3,"","GBO (was GPT), YGD","GDO, WPS, YGY",0,5,0
"Fall 2025 Pre-Nesting_Communities",2,"Summer 2026 Post-Fledging_Communities",4,"","GBO (was GPT), YGD","GNG, PDN, SDR, SDT, SSS, SWB, SYO",0,9,0
"Fall 2025 Pre-Nesting_Communities",2,"Summer 2026 Post-Fledging_Communities",5,"","GBO (was GPT), YGD","GPB, ROW, SPW, WNP, WPB, YOD",0,8,0
"Fall 2025 Pre-Nesting_Communities",2,"Summer 2026 Post-Fledging_Communities",6,"","GBO (was GPT), YGD","GTP, SOG, SPT, WPG, YPS",0,7,0
"Fall 2025 Pre-Nesting_Communities",2,"Summer 2026 Post-Fledging_Communities",7,"","GBO (was GPT), YGD","NRO, NSS, WPD, YDT, YWS",0,7,0
"Fall 2025 Pre-Nesting_Communities",2,"Summer 2026 Post-Fledging_Communities",8,"","GBO (was GPT), YGD","PND, RNO",0,4,0
"Fall 2025 Pre-Nesting_Communities",2,"Summer 2026 Post-Fledging_Communities",9,"","GBO (was GPT), YGD","RGT, SGB, STT",0,5,0
