"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"CRY","GBO (was GPT)",1,2,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","GDN (was GDY)",1,1,TRUE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","GDN (was GDY)",2,1,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","GDO",1,3,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","GDO",2,3,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","GDO",1,3,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","GNG",1,4,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","GNG",2,4,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","GNG",1,4,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","GNG",3,4,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","PBP (was PBB)",1,5,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","PBP (was PBB)",2,5,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","PBP (was PBB)",1,5,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","PBP (was PBB)",3,5,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","PBP (was PBB)",4,5,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","PDN",1,4,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","PDN",2,4,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","PDN",1,4,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","PDN",3,4,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","PDN",4,4,TRUE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","PDN",5,4,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","PLS",1,6,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","PLS",2,6,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","PLS",1,6,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","PLS",3,6,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","PLS",4,6,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","PLS",5,6,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","PLS",4,6,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","RBP",1,7,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","RBP",2,7,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","RBP",1,7,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","RBP",3,7,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","RBP",4,7,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","RBP",5,7,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","RBP",4,7,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","RBP",6,7,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","RGT",1,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","RGT",2,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","RGT",1,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","RGT",3,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","RGT",4,8,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","RGT",5,8,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","RGT",4,8,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","RGT",6,8,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","RGT",7,8,FALSE,"Spring 2026 Nesting Period_Communities"
