"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",1,"CRY, GDN (was GDY), YYN (was YNO)","","GPR, WDD, YRP",3,6,0.5
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",2,"","CRY, GDN (was GDY), YYN (was YNO)","GBO (was GPT), GPW, GSN, WDY, YGD",0,8,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",3,"","CRY, GDN (was GDY), YYN (was YNO)","GDO, WPS, YGY",0,6,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",4,"","CRY, GDN (was GDY), YYN (was YNO)","GNG, PDN, SDR, SDT, SSS, SWB, SYO",0,10,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",5,"","CRY, GDN (was GDY), YYN (was YNO)","GPB, ROW, SPW, WNP, WPB, YOD",0,9,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",6,"","CRY, GDN (was GDY), YYN (was YNO)","GTP, SOG, SPT, WPG, YPS",0,8,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",7,"","CRY, GDN (was GDY), YYN (was YNO)","NRO, NSS, WPD, YDT, YWS",0,8,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",8,"","CRY, GDN (was GDY), YYN (was YNO)","PND, RNO",0,5,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",9,"","CRY, GDN (was GDY), YYN (was YNO)","RGT, SGB, STT",0,6,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",10,"","CRY, GDN (was GDY), YYN (was YNO)","RTT, WYD",0,5,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",11,"","CRY, GDN (was GDY), YYN (was YNO)","SDO, SWT",0,5,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",12,"","CRY, GDN (was GDY), YYN (was YNO)","SNR (was SNO), WNS, YDW",0,6,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",13,"","CRY, GDN (was GDY), YYN (was YNO)","WOG, WSY, YBN",0,6,0
"Spring 2026 Nesting Period_Communities",1,"Summer 2026 Post-Fledging_Communities",14,"","CRY, GDN (was GDY), YYN (was YNO)","YSR, RDO",0,5,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",1,"","GBO (was GPT), WNS, YDW, YGD","CRY, GDN (was GDY), GPR, WDD, YRP, YYN (was YNO)",0,10,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",2,"GBO (was GPT), YGD","WNS, YDW","GPW, GSN, WDY",2,7,0.286
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",3,"","GBO (was GPT), WNS, YDW, YGD","GDO, WPS, YGY",0,7,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",4,"","GBO (was GPT), WNS, YDW, YGD","GNG, PDN, SDR, SDT, SSS, SWB, SYO",0,11,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",5,"","GBO (was GPT), WNS, YDW, YGD","GPB, ROW, SPW, WNP, WPB, YOD",0,10,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",6,"","GBO (was GPT), WNS, YDW, YGD","GTP, SOG, SPT, WPG, YPS",0,9,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",7,"","GBO (was GPT), WNS, YDW, YGD","NRO, NSS, WPD, YDT, YWS",0,9,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",8,"","GBO (was GPT), WNS, YDW, YGD","PND, RNO",0,6,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",9,"","GBO (was GPT), WNS, YDW, YGD","RGT, SGB, STT",0,7,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",10,"","GBO (was GPT), WNS, YDW, YGD","RTT, WYD",0,6,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",11,"","GBO (was GPT), WNS, YDW, YGD","SDO, SWT",0,6,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",12,"WNS, YDW","GBO (was GPT), YGD","SNR (was SNO)",2,5,0.4
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",13,"","GBO (was GPT), WNS, YDW, YGD","WOG, WSY, YBN",0,7,0
"Spring 2026 Nesting Period_Communities",2,"Summer 2026 Post-Fledging_Communities",14,"","GBO (was GPT), WNS, YDW, YGD","YSR, RDO",0,6,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",1,"","GDO, WDB","CRY, GDN (was GDY), GPR, WDD, YRP, YYN (was YNO)",0,8,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",2,"","GDO, WDB","GBO (was GPT), GPW, GSN, WDY, YGD",0,7,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",3,"GDO","WDB","WPS, YGY",1,4,0.25
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",4,"","GDO, WDB","GNG, PDN, SDR, SDT, SSS, SWB, SYO",0,9,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",5,"","GDO, WDB","GPB, ROW, SPW, WNP, WPB, YOD",0,8,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",6,"","GDO, WDB","GTP, SOG, SPT, WPG, YPS",0,7,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",7,"","GDO, WDB","NRO, NSS, WPD, YDT, YWS",0,7,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",8,"","GDO, WDB","PND, RNO",0,4,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",9,"","GDO, WDB","RGT, SGB, STT",0,5,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",10,"","GDO, WDB","RTT, WYD",0,4,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",11,"","GDO, WDB","SDO, SWT",0,4,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",12,"","GDO, WDB","SNR (was SNO), WNS, YDW",0,5,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",13,"","GDO, WDB","WOG, WSY, YBN",0,5,0
"Spring 2026 Nesting Period_Communities",3,"Summer 2026 Post-Fledging_Communities",14,"","GDO, WDB","YSR, RDO",0,4,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",1,"","GNG, PDN, SYO","CRY, GDN (was GDY), GPR, WDD, YRP, YYN (was YNO)",0,9,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",2,"","GNG, PDN, SYO","GBO (was GPT), GPW, GSN, WDY, YGD",0,8,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",3,"","GNG, PDN, SYO","GDO, WPS, YGY",0,6,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",4,"GNG, PDN, SYO","","SDR, SDT, SSS, SWB",3,7,0.429
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",5,"","GNG, PDN, SYO","GPB, ROW, SPW, WNP, WPB, YOD",0,9,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",6,"","GNG, PDN, SYO","GTP, SOG, SPT, WPG, YPS",0,8,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",7,"","GNG, PDN, SYO","NRO, NSS, WPD, YDT, YWS",0,8,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",8,"","GNG, PDN, SYO","PND, RNO",0,5,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",9,"","GNG, PDN, SYO","RGT, SGB, STT",0,6,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",10,"","GNG, PDN, SYO","RTT, WYD",0,5,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",11,"","GNG, PDN, SYO","SDO, SWT",0,5,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",12,"","GNG, PDN, SYO","SNR (was SNO), WNS, YDW",0,6,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",13,"","GNG, PDN, SYO","WOG, WSY, YBN",0,6,0
"Spring 2026 Nesting Period_Communities",4,"Summer 2026 Post-Fledging_Communities",14,"","GNG, PDN, SYO","YSR, RDO",0,5,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",1,"","PBP (was PBB), RPP","CRY, GDN (was GDY), GPR, WDD, YRP, YYN (was YNO)",0,8,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",2,"","PBP (was PBB), RPP","GBO (was GPT), GPW, GSN, WDY, YGD",0,7,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",3,"","PBP (was PBB), RPP","GDO, WPS, YGY",0,5,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",4,"","PBP (was PBB), RPP","GNG, PDN, SDR, SDT, SSS, SWB, SYO",0,9,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",5,"","PBP (was PBB), RPP","GPB, ROW, SPW, WNP, WPB, YOD",0,8,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",6,"","PBP (was PBB), RPP","GTP, SOG, SPT, WPG, YPS",0,7,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",7,"","PBP (was PBB), RPP","NRO, NSS, WPD, YDT, YWS",0,7,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",8,"","PBP (was PBB), RPP","PND, RNO",0,4,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",9,"","PBP (was PBB), RPP","RGT, SGB, STT",0,5,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",10,"","PBP (was PBB), RPP","RTT, WYD",0,4,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",11,"","PBP (was PBB), RPP","SDO, SWT",0,4,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",12,"","PBP (was PBB), RPP","SNR (was SNO), WNS, YDW",0,5,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",13,"","PBP (was PBB), RPP","WOG, WSY, YBN",0,5,0
"Spring 2026 Nesting Period_Communities",5,"Summer 2026 Post-Fledging_Communities",14,"","PBP (was PBB), RPP","YSR, RDO",0,4,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",1,"","PLS, YPS","CRY, GDN (was GDY), GPR, WDD, YRP, YYN (was YNO)",0,8,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",2,"","PLS, YPS","GBO (was GPT), GPW, GSN, WDY, YGD",0,7,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",3,"","PLS, YPS","GDO, WPS, YGY",0,5,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",4,"","PLS, YPS","GNG, PDN, SDR, SDT, SSS, SWB, SYO",0,9,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",5,"","PLS, YPS","GPB, ROW, SPW, WNP, WPB, YOD",0,8,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",6,"YPS","PLS","GTP, SOG, SPT, WPG",1,6,0.167
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",7,"","PLS, YPS","NRO, NSS, WPD, YDT, YWS",0,7,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",8,"","PLS, YPS","PND, RNO",0,4,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",9,"","PLS, YPS","RGT, SGB, STT",0,5,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",10,"","PLS, YPS","RTT, WYD",0,4,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",11,"","PLS, YPS","SDO, SWT",0,4,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",12,"","PLS, YPS","SNR (was SNO), WNS, YDW",0,5,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",13,"","PLS, YPS","WOG, WSY, YBN",0,5,0
"Spring 2026 Nesting Period_Communities",6,"Summer 2026 Post-Fledging_Communities",14,"","PLS, YPS","YSR, RDO",0,4,0
"Spring 2026 Nesting Period_Communities",7,"Summer 2026 Post-Fledging_Communities",1,"","RBP, SWB, YPN","CRY, GDN (was GDY), GPR, WDD, YRP, YYN (was YNO)",0,9,0
"Spring 2026 Nesting Period_Communities",7,"Summer 2026 Post-Fledging_Communities",2,"","RBP, SWB, YPN","GBO (was GPT), GPW, GSN, WDY, YGD",0,8,0
"Spring 2026 Nesting Period_Communities",7,"Summer 2026 Post-Fledging_Communities",3,"","RBP, SWB, YPN","GDO, WPS, YGY",0,6,0
"Spring 2026 Nesting Period_Communities",7,"Summer 2026 Post-Fledging_Communities",4,"SWB","RBP, YPN","GNG, PDN, SDR, SDT, SSS, SYO",1,9,0.111
"Spring 2026 Nesting Period_Communities",7,"Summer 2026 Post-Fledging_Communities",5,"","RBP, SWB, YPN","GPB, ROW, SPW, WNP, WPB, YOD",0,9,0
"Spring 2026 Nesting Period_Communities",7,"Summer 2026 Post-Fledging_Communities",6,"","RBP, SWB, YPN","GTP, SOG, SPT, WPG, YPS",0,8,0
"Spring 2026 Nesting Period_Communities",7,"Summer 2026 Post-Fledging_Communities",7,"","RBP, SWB, YPN","NRO, NSS, WPD, YDT, YWS",0,8,0
"Spring 2026 Nesting Period_Communities",7,"Summer 2026 Post-Fledging_Communities",8,"","RBP, SWB, YPN","PND, RNO",0,5,0
