"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"CRY","GBO (was GPT)",1,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","GDN (was GDY)",1,1,TRUE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","GDN (was GDY)",2,1,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","GDO",1,3,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","GDO",2,3,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","GDO",1,3,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","GNG",1,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","GNG",2,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","GNG",1,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDO","GNG",3,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","GPB",1,5,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","GPB",2,5,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","GPB",1,5,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDO","GPB",3,5,FALSE,"Summer 2026 Post-Fledging_Communities"
"GNG","GPB",4,5,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","GPR",1,1,TRUE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","GPR",2,1,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","GPR",1,1,TRUE,"Summer 2026 Post-Fledging_Communities"
"GDO","GPR",3,1,FALSE,"Summer 2026 Post-Fledging_Communities"
"GNG","GPR",4,1,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPB","GPR",5,1,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","GPW",1,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","GPW",2,2,TRUE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","GPW",1,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDO","GPW",3,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"GNG","GPW",4,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPB","GPW",5,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPR","GPW",1,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","GSN",1,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","GSN",2,2,TRUE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","GSN",1,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDO","GSN",3,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"GNG","GSN",4,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPB","GSN",5,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPR","GSN",1,2,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPW","GSN",2,2,TRUE,"Summer 2026 Post-Fledging_Communities"
"CRY","GTP",1,6,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","GTP",2,6,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","GTP",1,6,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDO","GTP",3,6,FALSE,"Summer 2026 Post-Fledging_Communities"
"GNG","GTP",4,6,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPB","GTP",5,6,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPR","GTP",1,6,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPW","GTP",2,6,FALSE,"Summer 2026 Post-Fledging_Communities"
"GSN","GTP",2,6,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","NRO",1,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","NRO",2,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","NRO",1,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDO","NRO",3,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GNG","NRO",4,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPB","NRO",5,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPR","NRO",1,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPW","NRO",2,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GSN","NRO",2,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GTP","NRO",6,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","NSS",1,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","NSS",2,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","NSS",1,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDO","NSS",3,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GNG","NSS",4,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPB","NSS",5,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPR","NSS",1,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPW","NSS",2,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GSN","NSS",2,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"GTP","NSS",6,7,FALSE,"Summer 2026 Post-Fledging_Communities"
"NRO","NSS",7,7,TRUE,"Summer 2026 Post-Fledging_Communities"
"CRY","PDN",1,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","PDN",2,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","PDN",1,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDO","PDN",3,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"GNG","PDN",4,4,TRUE,"Summer 2026 Post-Fledging_Communities"
"GPB","PDN",5,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPR","PDN",1,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPW","PDN",2,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"GSN","PDN",2,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"GTP","PDN",6,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"NRO","PDN",7,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"NSS","PDN",7,4,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","PND",1,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","PND",2,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","PND",1,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDO","PND",3,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"GNG","PND",4,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPB","PND",5,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPR","PND",1,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPW","PND",2,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"GSN","PND",2,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"GTP","PND",6,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"NRO","PND",7,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"NSS","PND",7,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"PDN","PND",4,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","RGT",1,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","RGT",2,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDN (was GDY)","RGT",1,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"GDO","RGT",3,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"GNG","RGT",4,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPB","RGT",5,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPR","RGT",1,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"GPW","RGT",2,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"GSN","RGT",2,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"GTP","RGT",6,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"NRO","RGT",7,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"NSS","RGT",7,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"PDN","RGT",4,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"PND","RGT",8,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"RDO","RGT",14,9,FALSE,"Summer 2026 Post-Fledging_Communities"
"CRY","RNO",1,8,FALSE,"Summer 2026 Post-Fledging_Communities"
"GBO (was GPT)","RNO",2,8,FALSE,"Summer 2026 Post-Fledging_Communities"
