"ColorCombo","Community","Sex","Age","Status","Location"
"CRY",1,"M","AHY","P","NB18"
"GBO (was GPT)",2,"M","AHY","N","FH"
"GDO",3,"M","Nestling","N","NB15B"
"GNT",4,"M","Nestling","N","NB62"
"GOS",5,"M","Nestling","N","NB1"
"PBP (was PBB)",6,"M","AHY","P","NB16A"
"PBS",3,NA,"AHY","N","NB52"
"PBWorPWB",5,"F","HY","N","FG"
"PLS",7,"M","HY","P","FE"
"PND",8,"M","Nestling","N","NB14"
"PNL",6,"F","HY","N","FP"
"PNW",9,NA,"HY","N","FE"
"RBP",10,"M","AHY","N","FC"
"RBT",5,"M","AHY","N","FC"
"RGT",11,"M","HY","N","FR"
"ROR",12,"M","Nestling","N","NB15a"
"ROY",12,"M","Nestling","N","NB15a"
"RRD",13,"F","AHY","N","NB01"
"RRR",13,"M","HY","N","FA"
"RRY",13,"F","HY","N","FA"
"RSD",10,"M","HY","N","FC"
"RTP",7,"M","Nestling","N","NB5"
"SDO",13,"M","HY","N","FA"
"SGB",11,"F","HY","N","FR"
"SOG",9,"M","Nestling","N","NBEB1"
"SOT",9,"M","Nestling","N","NBEB1"
"SRP",4,"F","AHY","N","FQ"
"STT",11,"M","HY","N","FR"
"SWB",5,"M","Nestling","N","NB04"
"SWS",12,"F","HY","N","FN"
"SYO",5,"M","HY","N","FA"
"SYR",5,"F","AHY","N","FB"
"SYT",10,"F","HY","N","FD"
"WBO",12,"M","AHY","N","NB15a"
"WBT",14,"M","AHY","N","NB03"
"WDN",4,"M","Nestling","N","NB16B"
"WDW",4,"M","Nestling","N","NB16B"
"WOG",15,"M","HY","N","MN-FF"
"WSY",15,"F","AHY","N","NB8"
"WWB",16,"F","Nestling","N","NB50"
"WWD",4,"M","Nestling","N","NB16B"
"YBN",15,"M","Nestling","N","NB21"
"YDP",9,NA,"AHY","N","FD"
"YDT",17,"M","Nestling","N","NB22"
"YDW",16,"M","HY","N","FH"
"YGD",2,"M","AHY","N","FH"
"YGY",3,"M","Nestling","N","NB53"
"YPS",7,"F","HY","N","FE"
"YPW",11,"F","HY","N","FR"
"YWD",14,"F","AHY","N","NB3"
"YWS",17,"M","Nestling","N","NB22"
"YYN (was YNO)",1,"M","Nestling","N","NB18"
"GDD (was GDR)",1,"M","HY","N","FS"
"GDW (wasGYW)",8,"M","ASY.","P","FL"
"SWT",13,"F","HY","N","FA"
"YND",3,"M","AHY","N","FO"
