"ColorCombo","Community","Sex","Age","Status","Location"
"CRY",1,"M","ASY","P","NB18"
"GBO (was GPT)",2,"M","AHY","N","FH"
"GDO",3,"M","Nestling","N","NB15B"
"GNT",4,"M","ASY","N","NB62"
"GOS",5,"M","Nestling","N","NB1"
"PBP (was PBB)",6,"M","ASY","P","NB16A"
"PBS",3,NA,"ASY","N","NB52"
"PBWorPWB",5,"F","ASY","N","FG"
"PLS",7,"M","ASY","P","FE"
"PND",8,"M","Nestling","N","NB14"
"PNL",6,"F","ASY","N","FP"
"PNW",9,NA,"ASY","N","FE"
"RBP",10,"M","AHY","N","FC"
"RBT",5,"M","ASY","N","FC"
"RGT",11,"M","HY","N","FR"
"ROR",12,"M","Nestling","N","NB15a"
"ROY",12,"M","Nestling","N","NB15a"
"RRD",13,"F","AHY","N","NB01"
"RRR",13,"M","ASY","N","FA"
"RRY",13,"F","ASY","N","FA"
"RSD",10,"M","HY","N","FC"
"RTP",7,"M","Nestling","N","NB5"
"SDO",13,"M","HY","N","FA"
"SGB",11,"F","HY","N","FR"
"SOG",9,"M","Nestling","N","NBEB1"
"SOT",9,"M","Nestling","N","NBEB1"
"SRP",4,"F","ASY","N","FQ"
"STT",11,"M","SY","N","FR"
"SWB",5,"M","SY","N","NB04"
"SWS",12,"F","SY","N","FN"
"SYO",5,"M","SY","N","FA"
"SYR",5,"F","ASY","N","FB"
"SYT",10,"F","SY","N","FD"
"WBO",12,"M","AHY","N","NB15a"
"WBT",14,"M","AHY","N","NB03"
"WDN",4,"M","Nestling","N","NB16B"
"WDW",4,"M","Nestling","N","NB16B"
"WOG",15,"M","HY","N","MN-FF"
"WSY",15,"F","AHY","N","NB8"
"WWB",16,"F","ASY","N","NB50"
"WWD",4,"M","Nestling","N","NB16B"
"YBN",15,"M","SY","N","NB21"
"YDP",9,NA,"AHY","N","FD"
"YDT",17,"M","Nestling","N","NB22"
"YDW",16,"M","HY","N","FH"
"YGD",2,"M","AHY","N","FH"
"YGY",3,"M","SY","N","NB53"
"YPS",7,"F","HY","N","FE"
"YPW",11,"F","HY","N","FR"
"YWD",14,"F","AHY","N","NB3"
"YWS",17,"M","SY","N","NB22"
"YYN (was YNO)",1,"M","Nestling","N","NB18"
"GDD (was GDR)",1,"M","HY","N","FS"
"GDW (wasGYW)",8,"M","ASY.","P","FL"
"SWT",13,"F","SY","N","FA"
"YND",3,"M","AHY","N","FO"
