"ColorCombo","Fall 2025 Pre-Nesting_Communities","Spring 2026 Nesting Period_Communities","Summer 2026 Post-Fledging_Communities"
"CGN","Fall C1","Spring C2","Summer C1"
"SDO","Fall C2","Spring C1","Summer C2"
"SWT","Fall C2","Spring C1","Summer C2"
"SYO","Fall C3","Spring C2","Summer C3"
"SWB","Fall C3","Spring C2","Summer C3"
"RBP","Fall C3","Spring C2","Summer C3"
"PLS","Fall C5","Spring C3","Summer C5"
"YPS","Fall C5","Spring C3","Summer C5"
"SOG","Fall C1","Spring C3","Summer C1"
"YBN","Fall C6","Spring C4","Summer C6"
"WOG","Fall C6","Spring C4","Summer C6"
"YWS","Fall C7","Spring C5","Summer C7"
"YDT","Fall C7","Spring C5","Summer C7"
"WSY","Fall C6","Spring C4","Summer C6"
"YGD","Fall C6","Spring C6","Summer C6"
"YDW","Fall C6","Spring C6","Summer C6"
"GBO (was GPT)","Fall C6","Spring C6","Summer C6"
"YSR","Fall C9","Spring C6","Summer C9"
"PND","Fall C10","Spring C7","Summer C10"
"PNG","Fall C10","Spring C7","Summer C10"
"YBT","Fall C13","Spring C9","Summer C13"
"YBY","Fall C13","Spring C9","Summer C13"
"YGY","Fall C13","Spring C9","Summer C13"
"YND","Fall C13","Spring C8","Summer C13"
"GDO","Fall C13","Spring C9","Summer C13"
"PNL","Fall C14","Spring C9","Summer C13"
"PBP (was PBB)","Fall C14","Spring C9","Summer C13"
"STT","Fall C16","Spring C9","Summer C16"
"SGB","Fall C16","Spring C9","Summer C16"
"RGT","Fall C16","Spring C9","Summer C16"
"RTT","Fall C17","Spring C11","Summer C17"
"WYD","Fall C17","Spring C11","Summer C17"
"CRY","Fall C17","Spring C11","Summer C17"
"YYN (was YNO)","Fall C17","Spring C11","Summer C17"
"WDG","Fall C17","Spring C11","Summer C17"
