"ColorCombo","Fall 2025 Pre-Nesting_Communities","Spring 2026 Nesting Period_Communities","Summer 2026 Post-Fledging_Communities"
"CGN","Fall C1","Spring C2","Summer C1"
"RRY","Fall C2","Spring Not detected","Summer C2"
"SDO","Fall C2","Spring C1","Summer C2"
"RRR","Fall C2","Spring Not detected","Summer C2"
"RRD","Fall C2","Spring Not detected","Summer C2"
"SWT","Fall C2","Spring C1","Summer C2"
"SYO","Fall C3","Spring C2","Summer C3"
"GOS","Fall C3","Spring Not detected","Summer C3"
"RSD","Fall C3","Spring Not detected","Summer C3"
"SYT","Fall C3","Spring Not detected","Summer C3"
"PBWorPWB","Fall C3","Spring Not detected","Summer C3"
"SWB","Fall C3","Spring C2","Summer C3"
"RBT","Fall C3","Spring Not detected","Summer C3"
"SYR","Fall C3","Spring Not detected","Summer C3"
"RBP","Fall C3","Spring C2","Summer C3"
"YWD","Fall C4","Spring Not detected","Summer C4"
"WBT","Fall C4","Spring Not detected","Summer C4"
"PNW","Fall C1","Spring Not detected","Summer C1"
"YDP","Fall C1","Spring Not detected","Summer C1"
"SOT","Fall C1","Spring Not detected","Summer C1"
"PLS","Fall C5","Spring C3","Summer C5"
"YPS","Fall C5","Spring C3","Summer C5"
"RTP","Fall C5","Spring Not detected","Summer C5"
"SOG","Fall C1","Spring C3","Summer C1"
"YBN","Fall C6","Spring C4","Summer C6"
"WOG","Fall C6","Spring C4","Summer C6"
"YWS","Fall C7","Spring C5","Summer C7"
"YDT","Fall C7","Spring C5","Summer C7"
"WSY","Fall C6","Spring C4","Summer C6"
"YDD","Fall C8","Spring Not detected","Summer C8"
"WWB","Fall C6","Spring Not detected","Summer C6"
"YGD","Fall C6","Spring C6","Summer C6"
"YDW","Fall C6","Spring C6","Summer C6"
"GBO (was GPT)","Fall C6","Spring C6","Summer C6"
"YSR","Fall C9","Spring C6","Summer C9"
"GDW (wasGYW)","Fall C10","Spring Not detected","Summer C10"
"PND","Fall C10","Spring C7","Summer C10"
"PNG","Fall C10","Spring C7","Summer C10"
"PNP","Fall C10","Spring Not detected","Summer C10"
"YOP","Fall C11","Spring Not detected","Summer C11"
"ROO","Fall C11","Spring Not detected","Summer C11"
"RLB","Fall C12","Spring Not detected","Summer C12"
"YBT","Fall C13","Spring C9","Summer C13"
"ROY","Fall C13","Spring Not detected","Summer C14"
"WBO","Fall C13","Spring Not detected","Summer C14"
"ROR","Fall C13","Spring Not detected","Summer C14"
"YBY","Fall C13","Spring C9","Summer C13"
"SWS","Fall C13","Spring Not detected","Summer C14"
"YGY","Fall C13","Spring C9","Summer C13"
"YND","Fall C13","Spring C8","Summer C13"
"GDO","Fall C13","Spring C9","Summer C13"
"PBS","Fall C13","Spring Not detected","Summer C13"
"PNL","Fall C14","Spring C9","Summer C13"
"PBP (was PBB)","Fall C14","Spring C9","Summer C13"
"WWD","Fall C15","Spring Not detected","Summer C15"
"SRP","Fall C15","Spring Not detected","Summer C15"
"GNT","Fall C15","Spring Not detected","Summer C15"
"WDN","Fall C15","Spring Not detected","Summer C15"
"WDW","Fall C15","Spring Not detected","Summer C15"
"STT","Fall C16","Spring C9","Summer C16"
"SGB","Fall C16","Spring C9","Summer C16"
"RGT","Fall C16","Spring C9","Summer C16"
"YPW","Fall C16","Spring Not detected","Summer C16"
"RTT","Fall C17","Spring C11","Summer C17"
"WYD","Fall C17","Spring C11","Summer C17"
"CRY","Fall C17","Spring C11","Summer C17"
"YYN (was YNO)","Fall C17","Spring C11","Summer C17"
"GDD (was GDR)","Fall C17","Spring Not detected","Summer C17"
"WDG","Fall C17","Spring C11","Summer C17"
"GTR","Fall C17","Spring Not detected","Summer C17"
"WPW","Fall Not detected","Spring C1","Summer Not detected"
"GNG","Fall Not detected","Spring C2","Summer Not detected"
"SDR","Fall Not detected","Spring C2","Summer Not detected"
"SSS","Fall Not detected","Spring C2","Summer Not detected"
"PDN","Fall Not detected","Spring C2","Summer Not detected"
"SDT","Fall Not detected","Spring C2","Summer Not detected"
"GTP","Fall Not detected","Spring C3","Summer Not detected"
"SPT","Fall Not detected","Spring C3","Summer Not detected"
"NOD","Fall Not detected","Spring C3","Summer Not detected"
"WPD","Fall Not detected","Spring C5","Summer Not detected"
"WPG","Fall Not detected","Spring C3","Summer Not detected"
"NRO","Fall Not detected","Spring C5","Summer Not detected"
"NSS","Fall Not detected","Spring C5","Summer Not detected"
"WNS","Fall Not detected","Spring C6","Summer Not detected"
"SNR (was SNO)","Fall Not detected","Spring C6","Summer Not detected"
"GPW","Fall Not detected","Spring C6","Summer Not detected"
"WDY","Fall Not detected","Spring C6","Summer Not detected"
"GSN","Fall Not detected","Spring C6","Summer Not detected"
"RDO","Fall Not detected","Spring C6","Summer Not detected"
"RNO","Fall Not detected","Spring C7","Summer Not detected"
"GLS","Fall Not detected","Spring C7","Summer Not detected"
"WPB","Fall Not detected","Spring C8","Summer Not detected"
"WNP","Fall Not detected","Spring C8","Summer Not detected"
"SPW","Fall Not detected","Spring C8","Summer Not detected"
"ROW","Fall Not detected","Spring C8","Summer Not detected"
"YOD","Fall Not detected","Spring C8","Summer Not detected"
"GPB","Fall Not detected","Spring C8","Summer Not detected"
"WPS","Fall Not detected","Spring C9","Summer Not detected"
"WDB","Fall Not detected","Spring C10","Summer Not detected"
"WTW","Fall Not detected","Spring C9","Summer Not detected"
"WDT","Fall Not detected","Spring C9","Summer Not detected"
"GDN (was GDY)","Fall Not detected","Spring C11","Summer Not detected"
"GPR","Fall Not detected","Spring C11","Summer Not detected"
"WDD","Fall Not detected","Spring C11","Summer Not detected"
"YRP","Fall Not detected","Spring C11","Summer Not detected"
