"ColorCombo","Community","Season"
"CGN",1,"Fall 2025 Pre-Nesting_Communities"
"RRY",2,"Fall 2025 Pre-Nesting_Communities"
"SDO",2,"Fall 2025 Pre-Nesting_Communities"
"RRR",2,"Fall 2025 Pre-Nesting_Communities"
"RRD",2,"Fall 2025 Pre-Nesting_Communities"
"SWT",2,"Fall 2025 Pre-Nesting_Communities"
"SYO",3,"Fall 2025 Pre-Nesting_Communities"
"GOS",3,"Fall 2025 Pre-Nesting_Communities"
"RSD",3,"Fall 2025 Pre-Nesting_Communities"
"SYT",3,"Fall 2025 Pre-Nesting_Communities"
"PBWorPWB",3,"Fall 2025 Pre-Nesting_Communities"
"SWB",3,"Fall 2025 Pre-Nesting_Communities"
"RBT",3,"Fall 2025 Pre-Nesting_Communities"
"SYR",3,"Fall 2025 Pre-Nesting_Communities"
"RBP",3,"Fall 2025 Pre-Nesting_Communities"
"YWD",4,"Fall 2025 Pre-Nesting_Communities"
"WBT",4,"Fall 2025 Pre-Nesting_Communities"
"PNW",1,"Fall 2025 Pre-Nesting_Communities"
"YDP",1,"Fall 2025 Pre-Nesting_Communities"
"SOT",1,"Fall 2025 Pre-Nesting_Communities"
"PLS",5,"Fall 2025 Pre-Nesting_Communities"
"YPS",5,"Fall 2025 Pre-Nesting_Communities"
"RTP",5,"Fall 2025 Pre-Nesting_Communities"
"SOG",1,"Fall 2025 Pre-Nesting_Communities"
"YBN",6,"Fall 2025 Pre-Nesting_Communities"
"WOG",6,"Fall 2025 Pre-Nesting_Communities"
"YWS",7,"Fall 2025 Pre-Nesting_Communities"
"YDT",7,"Fall 2025 Pre-Nesting_Communities"
"WSY",6,"Fall 2025 Pre-Nesting_Communities"
"YDD",8,"Fall 2025 Pre-Nesting_Communities"
"WWB",6,"Fall 2025 Pre-Nesting_Communities"
"YGD",6,"Fall 2025 Pre-Nesting_Communities"
"YDW",6,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)",6,"Fall 2025 Pre-Nesting_Communities"
"YSR",9,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)",10,"Fall 2025 Pre-Nesting_Communities"
"PND",10,"Fall 2025 Pre-Nesting_Communities"
"PNG",10,"Fall 2025 Pre-Nesting_Communities"
"PNP",10,"Fall 2025 Pre-Nesting_Communities"
"YOP",11,"Fall 2025 Pre-Nesting_Communities"
"ROO",11,"Fall 2025 Pre-Nesting_Communities"
"RLB",12,"Fall 2025 Pre-Nesting_Communities"
"YBT",13,"Fall 2025 Pre-Nesting_Communities"
"ROY",13,"Fall 2025 Pre-Nesting_Communities"
"WBO",13,"Fall 2025 Pre-Nesting_Communities"
"ROR",13,"Fall 2025 Pre-Nesting_Communities"
"YBY",13,"Fall 2025 Pre-Nesting_Communities"
"SWS",13,"Fall 2025 Pre-Nesting_Communities"
"YGY",13,"Fall 2025 Pre-Nesting_Communities"
"YND",13,"Fall 2025 Pre-Nesting_Communities"
"GDO",13,"Fall 2025 Pre-Nesting_Communities"
"PBS",13,"Fall 2025 Pre-Nesting_Communities"
"PNL",14,"Fall 2025 Pre-Nesting_Communities"
"PBP (was PBB)",14,"Fall 2025 Pre-Nesting_Communities"
"WWD",15,"Fall 2025 Pre-Nesting_Communities"
"SRP",15,"Fall 2025 Pre-Nesting_Communities"
"GNT",15,"Fall 2025 Pre-Nesting_Communities"
"WDN",15,"Fall 2025 Pre-Nesting_Communities"
"WDW",15,"Fall 2025 Pre-Nesting_Communities"
"STT",16,"Fall 2025 Pre-Nesting_Communities"
"SGB",16,"Fall 2025 Pre-Nesting_Communities"
"RGT",16,"Fall 2025 Pre-Nesting_Communities"
"YPW",16,"Fall 2025 Pre-Nesting_Communities"
"RTT",17,"Fall 2025 Pre-Nesting_Communities"
"WYD",17,"Fall 2025 Pre-Nesting_Communities"
"CRY",17,"Fall 2025 Pre-Nesting_Communities"
"YYN (was YNO)",17,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)",17,"Fall 2025 Pre-Nesting_Communities"
"WDG",17,"Fall 2025 Pre-Nesting_Communities"
"GTR",17,"Fall 2025 Pre-Nesting_Communities"
"SWT",1,"Spring 2026 Nesting Period_Communities"
"SDO",1,"Spring 2026 Nesting Period_Communities"
"CGN",2,"Spring 2026 Nesting Period_Communities"
"WPW",1,"Spring 2026 Nesting Period_Communities"
"GNG",2,"Spring 2026 Nesting Period_Communities"
"SDR",2,"Spring 2026 Nesting Period_Communities"
"SSS",2,"Spring 2026 Nesting Period_Communities"
"SYO",2,"Spring 2026 Nesting Period_Communities"
"PDN",2,"Spring 2026 Nesting Period_Communities"
"RBP",2,"Spring 2026 Nesting Period_Communities"
"SWB",2,"Spring 2026 Nesting Period_Communities"
"SDT",2,"Spring 2026 Nesting Period_Communities"
"SOG",3,"Spring 2026 Nesting Period_Communities"
"GTP",3,"Spring 2026 Nesting Period_Communities"
"YPS",3,"Spring 2026 Nesting Period_Communities"
"SPT",3,"Spring 2026 Nesting Period_Communities"
"PLS",3,"Spring 2026 Nesting Period_Communities"
"NOD",3,"Spring 2026 Nesting Period_Communities"
"WSY",4,"Spring 2026 Nesting Period_Communities"
"YBN",4,"Spring 2026 Nesting Period_Communities"
"WOG",4,"Spring 2026 Nesting Period_Communities"
"YWS",5,"Spring 2026 Nesting Period_Communities"
"WPD",5,"Spring 2026 Nesting Period_Communities"
"YDT",5,"Spring 2026 Nesting Period_Communities"
"WPG",3,"Spring 2026 Nesting Period_Communities"
"NRO",5,"Spring 2026 Nesting Period_Communities"
"NSS",5,"Spring 2026 Nesting Period_Communities"
"YDW",6,"Spring 2026 Nesting Period_Communities"
"WNS",6,"Spring 2026 Nesting Period_Communities"
"SNR (was SNO)",6,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)",6,"Spring 2026 Nesting Period_Communities"
"YGD",6,"Spring 2026 Nesting Period_Communities"
"GPW",6,"Spring 2026 Nesting Period_Communities"
"WDY",6,"Spring 2026 Nesting Period_Communities"
"GSN",6,"Spring 2026 Nesting Period_Communities"
"YSR",6,"Spring 2026 Nesting Period_Communities"
"RDO",6,"Spring 2026 Nesting Period_Communities"
"PND",7,"Spring 2026 Nesting Period_Communities"
"RNO",7,"Spring 2026 Nesting Period_Communities"
"PNG",7,"Spring 2026 Nesting Period_Communities"
"GLS",7,"Spring 2026 Nesting Period_Communities"
"WPB",8,"Spring 2026 Nesting Period_Communities"
"WNP",8,"Spring 2026 Nesting Period_Communities"
"SPW",8,"Spring 2026 Nesting Period_Communities"
"ROW",8,"Spring 2026 Nesting Period_Communities"
"YND",8,"Spring 2026 Nesting Period_Communities"
"YOD",8,"Spring 2026 Nesting Period_Communities"
"GPB",8,"Spring 2026 Nesting Period_Communities"
"YBY",9,"Spring 2026 Nesting Period_Communities"
"YGY",9,"Spring 2026 Nesting Period_Communities"
"YBT",9,"Spring 2026 Nesting Period_Communities"
"GDO",9,"Spring 2026 Nesting Period_Communities"
"WPS",9,"Spring 2026 Nesting Period_Communities"
"WDB",10,"Spring 2026 Nesting Period_Communities"
"WTW",9,"Spring 2026 Nesting Period_Communities"
"SGB",9,"Spring 2026 Nesting Period_Communities"
"PNL",9,"Spring 2026 Nesting Period_Communities"
"WDT",9,"Spring 2026 Nesting Period_Communities"
"RGT",9,"Spring 2026 Nesting Period_Communities"
"RTT",11,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)",9,"Spring 2026 Nesting Period_Communities"
"STT",9,"Spring 2026 Nesting Period_Communities"
"YYN (was YNO)",11,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)",11,"Spring 2026 Nesting Period_Communities"
"GPR",11,"Spring 2026 Nesting Period_Communities"
"WDD",11,"Spring 2026 Nesting Period_Communities"
