"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"SDO","SWT",1,1,TRUE,"04-05 2026_Communities"
"CGN","SWT",2,1,FALSE,"04-05 2026_Communities"
"GNG","SWT",2,1,FALSE,"04-05 2026_Communities"
"SDR","SWT",2,1,FALSE,"04-05 2026_Communities"
"SSS","SWT",2,1,FALSE,"04-05 2026_Communities"
"PDN","SWT",2,1,FALSE,"04-05 2026_Communities"
"RBP","SWT",2,1,FALSE,"04-05 2026_Communities"
"SWB","SWT",2,1,FALSE,"04-05 2026_Communities"
"SDT","SWT",2,1,FALSE,"04-05 2026_Communities"
"SOG","SWT",3,1,FALSE,"04-05 2026_Communities"
"GTP","SWT",3,1,FALSE,"04-05 2026_Communities"
"SPT","SWT",3,1,FALSE,"04-05 2026_Communities"
"PLS","SWT",3,1,FALSE,"04-05 2026_Communities"
"NOD","SWT",3,1,FALSE,"04-05 2026_Communities"
"NRO","SWT",5,1,FALSE,"04-05 2026_Communities"
"NSS","SWT",5,1,FALSE,"04-05 2026_Communities"
"SNR (was SNO)","SWT",6,1,FALSE,"04-05 2026_Communities"
"GBO (was GPT)","SWT",6,1,FALSE,"04-05 2026_Communities"
"GPW","SWT",6,1,FALSE,"04-05 2026_Communities"
"GSN","SWT",6,1,FALSE,"04-05 2026_Communities"
"RDO","SWT",6,1,FALSE,"04-05 2026_Communities"
"PND","SWT",7,1,FALSE,"04-05 2026_Communities"
"RNO","SWT",7,1,FALSE,"04-05 2026_Communities"
"PNG","SWT",7,1,FALSE,"04-05 2026_Communities"
"GLS","SWT",7,1,FALSE,"04-05 2026_Communities"
"SPW","SWT",8,1,FALSE,"04-05 2026_Communities"
"ROW","SWT",8,1,FALSE,"04-05 2026_Communities"
"GPB","SWT",8,1,FALSE,"04-05 2026_Communities"
"GDO","SWT",9,1,FALSE,"04-05 2026_Communities"
"SGB","SWT",9,1,FALSE,"04-05 2026_Communities"
"PNL","SWT",9,1,FALSE,"04-05 2026_Communities"
"RGT","SWT",9,1,FALSE,"04-05 2026_Communities"
"RTT","SWT",11,1,FALSE,"04-05 2026_Communities"
"PBP (was PBB)","SWT",9,1,FALSE,"04-05 2026_Communities"
"STT","SWT",9,1,FALSE,"04-05 2026_Communities"
"GDN (was GDY)","SWT",11,1,FALSE,"04-05 2026_Communities"
"GPR","SWT",11,1,FALSE,"04-05 2026_Communities"
"CRY","SWT",11,1,FALSE,"04-05 2026_Communities"
"CGN","SDO",2,1,FALSE,"04-05 2026_Communities"
"GNG","SDO",2,1,FALSE,"04-05 2026_Communities"
"PDN","SDO",2,1,FALSE,"04-05 2026_Communities"
"RBP","SDO",2,1,FALSE,"04-05 2026_Communities"
"GTP","SDO",3,1,FALSE,"04-05 2026_Communities"
"PLS","SDO",3,1,FALSE,"04-05 2026_Communities"
"NOD","SDO",3,1,FALSE,"04-05 2026_Communities"
"NRO","SDO",5,1,FALSE,"04-05 2026_Communities"
"NSS","SDO",5,1,FALSE,"04-05 2026_Communities"
"GBO (was GPT)","SDO",6,1,FALSE,"04-05 2026_Communities"
"GPW","SDO",6,1,FALSE,"04-05 2026_Communities"
"GSN","SDO",6,1,FALSE,"04-05 2026_Communities"
"RDO","SDO",6,1,FALSE,"04-05 2026_Communities"
"PND","SDO",7,1,FALSE,"04-05 2026_Communities"
"RNO","SDO",7,1,FALSE,"04-05 2026_Communities"
"PNG","SDO",7,1,FALSE,"04-05 2026_Communities"
"GLS","SDO",7,1,FALSE,"04-05 2026_Communities"
"ROW","SDO",8,1,FALSE,"04-05 2026_Communities"
"GPB","SDO",8,1,FALSE,"04-05 2026_Communities"
"GDO","SDO",9,1,FALSE,"04-05 2026_Communities"
"PNL","SDO",9,1,FALSE,"04-05 2026_Communities"
"RGT","SDO",9,1,FALSE,"04-05 2026_Communities"
"RTT","SDO",11,1,FALSE,"04-05 2026_Communities"
"PBP (was PBB)","SDO",9,1,FALSE,"04-05 2026_Communities"
"GDN (was GDY)","SDO",11,1,FALSE,"04-05 2026_Communities"
"GPR","SDO",11,1,FALSE,"04-05 2026_Communities"
"CRY","SDO",11,1,FALSE,"04-05 2026_Communities"
"SWT","WPW",1,1,TRUE,"04-05 2026_Communities"
"SDO","WPW",1,1,TRUE,"04-05 2026_Communities"
"CGN","WPW",2,1,FALSE,"04-05 2026_Communities"
"GNG","WPW",2,1,FALSE,"04-05 2026_Communities"
"SDR","WPW",2,1,FALSE,"04-05 2026_Communities"
"SSS","WPW",2,1,FALSE,"04-05 2026_Communities"
"SYO","WPW",2,1,FALSE,"04-05 2026_Communities"
"PDN","WPW",2,1,FALSE,"04-05 2026_Communities"
"RBP","WPW",2,1,FALSE,"04-05 2026_Communities"
"SWB","WPW",2,1,FALSE,"04-05 2026_Communities"
"SDT","WPW",2,1,FALSE,"04-05 2026_Communities"
"SOG","WPW",3,1,FALSE,"04-05 2026_Communities"
"GTP","WPW",3,1,FALSE,"04-05 2026_Communities"
"SPT","WPW",3,1,FALSE,"04-05 2026_Communities"
"PLS","WPW",3,1,FALSE,"04-05 2026_Communities"
"NOD","WPW",3,1,FALSE,"04-05 2026_Communities"
"WOG","WPW",4,1,FALSE,"04-05 2026_Communities"
"WPD","WPW",5,1,FALSE,"04-05 2026_Communities"
"WPG","WPW",3,1,FALSE,"04-05 2026_Communities"
"NRO","WPW",5,1,FALSE,"04-05 2026_Communities"
"NSS","WPW",5,1,FALSE,"04-05 2026_Communities"
"WNS","WPW",6,1,FALSE,"04-05 2026_Communities"
"SNR (was SNO)","WPW",6,1,FALSE,"04-05 2026_Communities"
"GBO (was GPT)","WPW",6,1,FALSE,"04-05 2026_Communities"
"GPW","WPW",6,1,FALSE,"04-05 2026_Communities"
"WDY","WPW",6,1,FALSE,"04-05 2026_Communities"
"GSN","WPW",6,1,FALSE,"04-05 2026_Communities"
"RDO","WPW",6,1,FALSE,"04-05 2026_Communities"
"PND","WPW",7,1,FALSE,"04-05 2026_Communities"
"RNO","WPW",7,1,FALSE,"04-05 2026_Communities"
"PNG","WPW",7,1,FALSE,"04-05 2026_Communities"
"GLS","WPW",7,1,FALSE,"04-05 2026_Communities"
"WPB","WPW",8,1,FALSE,"04-05 2026_Communities"
"WNP","WPW",8,1,FALSE,"04-05 2026_Communities"
"SPW","WPW",8,1,FALSE,"04-05 2026_Communities"
"ROW","WPW",8,1,FALSE,"04-05 2026_Communities"
"GPB","WPW",8,1,FALSE,"04-05 2026_Communities"
"GDO","WPW",9,1,FALSE,"04-05 2026_Communities"
"WPS","WPW",9,1,FALSE,"04-05 2026_Communities"
"WDB","WPW",10,1,FALSE,"04-05 2026_Communities"
"SGB","WPW",9,1,FALSE,"04-05 2026_Communities"
"PNL","WPW",9,1,FALSE,"04-05 2026_Communities"
"WDT","WPW",9,1,FALSE,"04-05 2026_Communities"
"RGT","WPW",9,1,FALSE,"04-05 2026_Communities"
"RTT","WPW",11,1,FALSE,"04-05 2026_Communities"
"PBP (was PBB)","WPW",9,1,FALSE,"04-05 2026_Communities"
"STT","WPW",9,1,FALSE,"04-05 2026_Communities"
"GDN (was GDY)","WPW",11,1,FALSE,"04-05 2026_Communities"
"GPR","WPW",11,1,FALSE,"04-05 2026_Communities"
"WDD","WPW",11,1,FALSE,"04-05 2026_Communities"
"CRY","WPW",11,1,FALSE,"04-05 2026_Communities"
"WDG","WPW",11,1,FALSE,"04-05 2026_Communities"
"CGN","GNG",2,2,TRUE,"04-05 2026_Communities"
"GBO (was GPT)","GNG",6,2,FALSE,"04-05 2026_Communities"
"GLS","GNG",7,2,FALSE,"04-05 2026_Communities"
"GDO","GNG",9,2,FALSE,"04-05 2026_Communities"
"GDN (was GDY)","GNG",11,2,FALSE,"04-05 2026_Communities"
"CRY","GNG",11,2,FALSE,"04-05 2026_Communities"
"SDO","SDR",1,2,FALSE,"04-05 2026_Communities"
"CGN","SDR",2,2,TRUE,"04-05 2026_Communities"
"GNG","SDR",2,2,TRUE,"04-05 2026_Communities"
"PDN","SDR",2,2,TRUE,"04-05 2026_Communities"
"RBP","SDR",2,2,TRUE,"04-05 2026_Communities"
"GTP","SDR",3,2,FALSE,"04-05 2026_Communities"
"PLS","SDR",3,2,FALSE,"04-05 2026_Communities"
"NOD","SDR",3,2,FALSE,"04-05 2026_Communities"
"NRO","SDR",5,2,FALSE,"04-05 2026_Communities"
"NSS","SDR",5,2,FALSE,"04-05 2026_Communities"
"GBO (was GPT)","SDR",6,2,FALSE,"04-05 2026_Communities"
"GPW","SDR",6,2,FALSE,"04-05 2026_Communities"
"GSN","SDR",6,2,FALSE,"04-05 2026_Communities"
"RDO","SDR",6,2,FALSE,"04-05 2026_Communities"
"PND","SDR",7,2,FALSE,"04-05 2026_Communities"
"RNO","SDR",7,2,FALSE,"04-05 2026_Communities"
"PNG","SDR",7,2,FALSE,"04-05 2026_Communities"
"GLS","SDR",7,2,FALSE,"04-05 2026_Communities"
"ROW","SDR",8,2,FALSE,"04-05 2026_Communities"
"GPB","SDR",8,2,FALSE,"04-05 2026_Communities"
"GDO","SDR",9,2,FALSE,"04-05 2026_Communities"
"PNL","SDR",9,2,FALSE,"04-05 2026_Communities"
"RGT","SDR",9,2,FALSE,"04-05 2026_Communities"
"RTT","SDR",11,2,FALSE,"04-05 2026_Communities"
"PBP (was PBB)","SDR",9,2,FALSE,"04-05 2026_Communities"
"GDN (was GDY)","SDR",11,2,FALSE,"04-05 2026_Communities"
"GPR","SDR",11,2,FALSE,"04-05 2026_Communities"
"CRY","SDR",11,2,FALSE,"04-05 2026_Communities"
"SDO","SSS",1,2,FALSE,"04-05 2026_Communities"
"CGN","SSS",2,2,TRUE,"04-05 2026_Communities"
"GNG","SSS",2,2,TRUE,"04-05 2026_Communities"
"SDR","SSS",2,2,TRUE,"04-05 2026_Communities"
"PDN","SSS",2,2,TRUE,"04-05 2026_Communities"
"RBP","SSS",2,2,TRUE,"04-05 2026_Communities"
"SDT","SSS",2,2,TRUE,"04-05 2026_Communities"
"SOG","SSS",3,2,FALSE,"04-05 2026_Communities"
"GTP","SSS",3,2,FALSE,"04-05 2026_Communities"
"SPT","SSS",3,2,FALSE,"04-05 2026_Communities"
"PLS","SSS",3,2,FALSE,"04-05 2026_Communities"
"NOD","SSS",3,2,FALSE,"04-05 2026_Communities"
"NRO","SSS",5,2,FALSE,"04-05 2026_Communities"
"NSS","SSS",5,2,FALSE,"04-05 2026_Communities"
"SNR (was SNO)","SSS",6,2,FALSE,"04-05 2026_Communities"
"GBO (was GPT)","SSS",6,2,FALSE,"04-05 2026_Communities"
"GPW","SSS",6,2,FALSE,"04-05 2026_Communities"
"GSN","SSS",6,2,FALSE,"04-05 2026_Communities"
"RDO","SSS",6,2,FALSE,"04-05 2026_Communities"
"PND","SSS",7,2,FALSE,"04-05 2026_Communities"
"RNO","SSS",7,2,FALSE,"04-05 2026_Communities"
"PNG","SSS",7,2,FALSE,"04-05 2026_Communities"
"GLS","SSS",7,2,FALSE,"04-05 2026_Communities"
"SPW","SSS",8,2,FALSE,"04-05 2026_Communities"
"ROW","SSS",8,2,FALSE,"04-05 2026_Communities"
"GPB","SSS",8,2,FALSE,"04-05 2026_Communities"
"GDO","SSS",9,2,FALSE,"04-05 2026_Communities"
"SGB","SSS",9,2,FALSE,"04-05 2026_Communities"
"PNL","SSS",9,2,FALSE,"04-05 2026_Communities"
"RGT","SSS",9,2,FALSE,"04-05 2026_Communities"
"RTT","SSS",11,2,FALSE,"04-05 2026_Communities"
"PBP (was PBB)","SSS",9,2,FALSE,"04-05 2026_Communities"
"GDN (was GDY)","SSS",11,2,FALSE,"04-05 2026_Communities"
"GPR","SSS",11,2,FALSE,"04-05 2026_Communities"
"CRY","SSS",11,2,FALSE,"04-05 2026_Communities"
"SWT","SYO",1,2,FALSE,"04-05 2026_Communities"
"SDO","SYO",1,2,FALSE,"04-05 2026_Communities"
"CGN","SYO",2,2,TRUE,"04-05 2026_Communities"
"GNG","SYO",2,2,TRUE,"04-05 2026_Communities"
"SDR","SYO",2,2,TRUE,"04-05 2026_Communities"
"SSS","SYO",2,2,TRUE,"04-05 2026_Communities"
"PDN","SYO",2,2,TRUE,"04-05 2026_Communities"
"RBP","SYO",2,2,TRUE,"04-05 2026_Communities"
"SWB","SYO",2,2,TRUE,"04-05 2026_Communities"
