"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"04-05 2026_Communities",1,"Summer 2026_Communities",2,"SWT, SDO","WPW","RRY, RRR, RRD",2,6,0.333
"04-05 2026_Communities",2,"Summer 2026_Communities",3,"SYO, RBP, SWB","CGN, GNG, SDR, SSS, PDN, SDT","GOS, RSD, SYT, PBWorPWB, RBT, SYR",3,15,0.2
"04-05 2026_Communities",3,"Summer 2026_Communities",5,"YPS, PLS","SOG, GTP, SPT, NOD, WPG","RTP",2,8,0.25
"04-05 2026_Communities",4,"Summer 2026_Communities",6,"WSY, YBN, WOG","","WWB, YGD, YDW, GBO (was GPT)",3,7,0.429
"04-05 2026_Communities",5,"Summer 2026_Communities",7,"YWS, YDT","WPD, NRO, NSS","",2,5,0.4
"04-05 2026_Communities",6,"Summer 2026_Communities",6,"YDW, GBO (was GPT), YGD","WNS, SNR (was SNO), GPW, WDY, GSN, YSR, RDO","YBN, WOG, WSY, WWB",3,14,0.214
"04-05 2026_Communities",7,"Summer 2026_Communities",10,"PND, PNG","RNO, GLS","GDW (wasGYW), PNP",2,6,0.333
"04-05 2026_Communities",8,"Summer 2026_Communities",13,"YND","WPB, WNP, SPW, ROW, YOD, GPB","YBT, YBY, YGY, GDO, PBS, PNL, PBP (was PBB)",1,14,0.071
"04-05 2026_Communities",9,"Summer 2026_Communities",13,"YBY, YGY, YBT, GDO, PNL, PBP (was PBB)","WPS, WTW, SGB, WDT, RGT, STT","YND, PBS",6,14,0.429
"04-05 2026_Communities",11,"Summer 2026_Communities",17,"RTT, YYN (was YNO), CRY, WDG, WYD","GDN (was GDY), GPR, WDD, YRP","GDD (was GDR), GTR",5,11,0.455
