"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"04-05 2026_Communities",1,"Summer 2026_Communities",1,"","SWT, SDO, WPW","CGN, PNW, YDP, SOT, SOG",0,8,0
"04-05 2026_Communities",1,"Summer 2026_Communities",2,"SWT, SDO","WPW","RRY, RRR, RRD",2,6,0.333
"04-05 2026_Communities",1,"Summer 2026_Communities",3,"","SWT, SDO, WPW","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP",0,12,0
"04-05 2026_Communities",1,"Summer 2026_Communities",4,"","SWT, SDO, WPW","YWD, WBT",0,5,0
"04-05 2026_Communities",1,"Summer 2026_Communities",5,"","SWT, SDO, WPW","PLS, YPS, RTP",0,6,0
"04-05 2026_Communities",1,"Summer 2026_Communities",6,"","SWT, SDO, WPW","YBN, WOG, WSY, WWB, YGD, YDW, GBO (was GPT)",0,10,0
"04-05 2026_Communities",1,"Summer 2026_Communities",7,"","SWT, SDO, WPW","YWS, YDT",0,5,0
"04-05 2026_Communities",1,"Summer 2026_Communities",8,"","SWT, SDO, WPW","YDD",0,4,0
"04-05 2026_Communities",1,"Summer 2026_Communities",9,"","SWT, SDO, WPW","YSR",0,4,0
"04-05 2026_Communities",1,"Summer 2026_Communities",10,"","SWT, SDO, WPW","GDW (wasGYW), PND, PNG, PNP",0,7,0
"04-05 2026_Communities",1,"Summer 2026_Communities",11,"","SWT, SDO, WPW","YOP, ROO",0,5,0
"04-05 2026_Communities",1,"Summer 2026_Communities",12,"","SWT, SDO, WPW","RLB",0,4,0
"04-05 2026_Communities",1,"Summer 2026_Communities",13,"","SWT, SDO, WPW","YBT, YBY, YGY, YND, GDO, PBS, PNL, PBP (was PBB)",0,11,0
"04-05 2026_Communities",1,"Summer 2026_Communities",14,"","SWT, SDO, WPW","ROY, WBO, ROR, SWS",0,7,0
"04-05 2026_Communities",1,"Summer 2026_Communities",15,"","SWT, SDO, WPW","WWD, SRP, GNT, WDN, WDW",0,8,0
"04-05 2026_Communities",1,"Summer 2026_Communities",16,"","SWT, SDO, WPW","STT, SGB, RGT, YPW",0,7,0
"04-05 2026_Communities",1,"Summer 2026_Communities",17,"","SWT, SDO, WPW","RTT, WYD, CRY, YYN (was YNO), GDD (was GDR), WDG, GTR",0,10,0
"04-05 2026_Communities",2,"Summer 2026_Communities",1,"CGN","GNG, SDR, SSS, SYO, PDN, RBP, SWB, SDT","PNW, YDP, SOT, SOG",1,13,0.077
"04-05 2026_Communities",2,"Summer 2026_Communities",2,"","CGN, GNG, SDR, SSS, SYO, PDN, RBP, SWB, SDT","RRY, SDO, RRR, RRD, SWT",0,14,0
"04-05 2026_Communities",2,"Summer 2026_Communities",3,"SYO, RBP, SWB","CGN, GNG, SDR, SSS, PDN, SDT","GOS, RSD, SYT, PBWorPWB, RBT, SYR",3,15,0.2
"04-05 2026_Communities",2,"Summer 2026_Communities",4,"","CGN, GNG, SDR, SSS, SYO, PDN, RBP, SWB, SDT","YWD, WBT",0,11,0
"04-05 2026_Communities",2,"Summer 2026_Communities",5,"","CGN, GNG, SDR, SSS, SYO, PDN, RBP, SWB, SDT","PLS, YPS, RTP",0,12,0
