"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard","Source","Target"
"Pre Nesting 09-10 2025_Communities",1,"04-05 2026_Communities",3,"SOG","CGN, PNW, YDP, SOT","GTP, YPS, SPT, PLS, NOD, WPG",1,11,0.091,"Community 1
n = 5 birds
CGN
PNW
SOG
SOT
YDP","Community 3
n = 7 birds
GTP
NOD
PLS
SOG
SPT
WPG
YPS"
"Pre Nesting 09-10 2025_Communities",2,"04-05 2026_Communities",1,"SDO, SWT","RRY, RRR, RRD","WPW",2,6,0.333,"Community 2
n = 5 birds
RRD
RRR
RRY
SDO
SWT","Community 1
n = 3 birds
SDO
SWT
WPW"
"Pre Nesting 09-10 2025_Communities",3,"04-05 2026_Communities",2,"SYO, SWB, RBP","GOS, RSD, SYT, PBWorPWB, RBT, SYR","CGN, GNG, SDR, SSS, PDN, SDT",3,15,0.2,"Community 3
n = 9 birds
GOS
PBWorPWB
RBP
RBT
RSD
SWB
SYO
SYR
SYT","Community 2
n = 9 birds
CGN
GNG
PDN
RBP
SDR
SDT
SSS
SWB
SYO"
"Pre Nesting 09-10 2025_Communities",5,"04-05 2026_Communities",3,"PLS, YPS","RTP","SOG, GTP, SPT, NOD, WPG",2,8,0.25,"Community 5
n = 3 birds
PLS
RTP
YPS","Community 3
n = 7 birds
GTP
NOD
PLS
SOG
SPT
WPG
YPS"
"Pre Nesting 09-10 2025_Communities",6,"04-05 2026_Communities",4,"YBN, WOG, WSY","WWB, YGD, YDW, GBO (was GPT)","",3,7,0.429,"Community 6
n = 7 birds
GBO (was GPT)
WOG
WSY
WWB
YBN
YDW
YGD","Community 4
n = 3 birds
WOG
WSY
YBN"
"Pre Nesting 09-10 2025_Communities",7,"04-05 2026_Communities",5,"YWS, YDT","","WPD, NRO, NSS",2,5,0.4,"Community 7
n = 2 birds
YDT
YWS","Community 5
n = 5 birds
NRO
NSS
WPD
YDT
YWS"
"Pre Nesting 09-10 2025_Communities",9,"04-05 2026_Communities",6,"YSR","","YDW, WNS, SNR (was SNO), GBO (was GPT), YGD, GPW, WDY, GSN, RDO",1,10,0.1,"Community 9
n = 1 birds
YSR","Community 6
n = 10 birds
GBO (was GPT)
GPW
GSN
RDO
SNR (was SNO)
WDY
WNS
YDW
YGD
YSR"
"Pre Nesting 09-10 2025_Communities",10,"04-05 2026_Communities",7,"PND, PNG","GDW (wasGYW), PNP","RNO, GLS",2,6,0.333,"Community 10
n = 4 birds
GDW (wasGYW)
PND
PNG
PNP","Community 7
n = 4 birds
GLS
PND
PNG
RNO"
"Pre Nesting 09-10 2025_Communities",13,"04-05 2026_Communities",9,"YBT, YBY, YGY, GDO","ROY, WBO, ROR, SWS, YND, PBS","WPS, WTW, SGB, PNL, WDT, RGT, PBP (was PBB), STT",4,18,0.222,"Community 13
n = 10 birds
GDO
PBS
ROR
ROY
SWS
WBO
YBT
YBY
YGY
YND","Community 9
n = 12 birds
GDO
PBP (was PBB)
PNL
RGT
SGB
STT
WDT
WPS
WTW
YBT
YBY
YGY"
"Pre Nesting 09-10 2025_Communities",14,"04-05 2026_Communities",9,"PNL, PBP (was PBB)","","YBY, YGY, YBT, GDO, WPS, WTW, SGB, WDT, RGT, STT",2,12,0.167,"Community 14
n = 2 birds
PBP (was PBB)
PNL","Community 9
n = 12 birds
GDO
PBP (was PBB)
PNL
RGT
SGB
STT
WDT
WPS
WTW
YBT
YBY
YGY"
"Pre Nesting 09-10 2025_Communities",16,"04-05 2026_Communities",9,"STT, SGB, RGT","YPW","YBY, YGY, YBT, GDO, WPS, WTW, PNL, WDT, PBP (was PBB)",3,13,0.231,"Community 16
n = 4 birds
RGT
SGB
STT
YPW","Community 9
n = 12 birds
GDO
PBP (was PBB)
PNL
RGT
SGB
STT
WDT
WPS
WTW
YBT
YBY
YGY"
"Pre Nesting 09-10 2025_Communities",17,"04-05 2026_Communities",11,"RTT, WYD, CRY, YYN (was YNO), WDG","GDD (was GDR), GTR","GDN (was GDY), GPR, WDD, YRP",5,11,0.455,"Community 17
n = 7 birds
CRY
GDD (was GDR)
GTR
RTT
WDG
WYD
YYN (was YNO)","Community 11
n = 9 birds
CRY
GDN (was GDY)
GPR
RTT
WDD
WDG
WYD
YRP
YYN (was YNO)"
