"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",1,"CGN, PNW, YDP, SOT, SOG","","",5,5,1
"Pre Nesting 09-10 2025_Communities",2,"Summer 2026_Communities",2,"RRY, SDO, RRR, RRD, SWT","","",5,5,1
"Pre Nesting 09-10 2025_Communities",3,"Summer 2026_Communities",3,"SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","","",9,9,1
"Pre Nesting 09-10 2025_Communities",4,"Summer 2026_Communities",4,"YWD, WBT","","",2,2,1
"Pre Nesting 09-10 2025_Communities",5,"Summer 2026_Communities",5,"PLS, YPS, RTP","","",3,3,1
"Pre Nesting 09-10 2025_Communities",6,"Summer 2026_Communities",6,"YBN, WOG, WSY, WWB, YGD, YDW, GBO (was GPT)","","",7,7,1
"Pre Nesting 09-10 2025_Communities",7,"Summer 2026_Communities",7,"YWS, YDT","","",2,2,1
"Pre Nesting 09-10 2025_Communities",8,"Summer 2026_Communities",8,"YDD","","",1,1,1
"Pre Nesting 09-10 2025_Communities",9,"Summer 2026_Communities",9,"YSR","","",1,1,1
"Pre Nesting 09-10 2025_Communities",10,"Summer 2026_Communities",10,"GDW (wasGYW), PND, PNG, PNP","","",4,4,1
"Pre Nesting 09-10 2025_Communities",11,"Summer 2026_Communities",11,"YOP, ROO","","",2,2,1
"Pre Nesting 09-10 2025_Communities",12,"Summer 2026_Communities",12,"RLB","","",1,1,1
"Pre Nesting 09-10 2025_Communities",13,"Summer 2026_Communities",13,"YBT, YBY, YGY, YND, GDO, PBS","ROY, WBO, ROR, SWS","PNL, PBP (was PBB)",6,12,0.5
"Pre Nesting 09-10 2025_Communities",14,"Summer 2026_Communities",13,"PNL, PBP (was PBB)","","YBT, YBY, YGY, YND, GDO, PBS",2,8,0.25
"Pre Nesting 09-10 2025_Communities",15,"Summer 2026_Communities",15,"WWD, SRP, GNT, WDN, WDW","","",5,5,1
"Pre Nesting 09-10 2025_Communities",16,"Summer 2026_Communities",16,"STT, SGB, RGT, YPW","","",4,4,1
"Pre Nesting 09-10 2025_Communities",17,"Summer 2026_Communities",17,"RTT, WYD, CRY, YYN (was YNO), GDD (was GDR), WDG, GTR","","",7,7,1
