"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",1,"CGN, PNW, YDP, SOT, SOG","","",5,5,1
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",2,"","CGN, PNW, YDP, SOT, SOG","RRY, SDO, RRR, RRD, SWT",0,10,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",3,"","CGN, PNW, YDP, SOT, SOG","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP",0,14,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",4,"","CGN, PNW, YDP, SOT, SOG","YWD, WBT",0,7,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",5,"","CGN, PNW, YDP, SOT, SOG","PLS, YPS, RTP",0,8,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",6,"","CGN, PNW, YDP, SOT, SOG","YBN, WOG, WSY, WWB, YGD, YDW, GBO (was GPT)",0,12,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",7,"","CGN, PNW, YDP, SOT, SOG","YWS, YDT",0,7,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",8,"","CGN, PNW, YDP, SOT, SOG","YDD",0,6,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",9,"","CGN, PNW, YDP, SOT, SOG","YSR",0,6,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",10,"","CGN, PNW, YDP, SOT, SOG","GDW (wasGYW), PND, PNG, PNP",0,9,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",11,"","CGN, PNW, YDP, SOT, SOG","YOP, ROO",0,7,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",12,"","CGN, PNW, YDP, SOT, SOG","RLB",0,6,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",13,"","CGN, PNW, YDP, SOT, SOG","YBT, YBY, YGY, YND, GDO, PBS, PNL, PBP (was PBB)",0,13,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",14,"","CGN, PNW, YDP, SOT, SOG","ROY, WBO, ROR, SWS",0,9,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",15,"","CGN, PNW, YDP, SOT, SOG","WWD, SRP, GNT, WDN, WDW",0,10,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",16,"","CGN, PNW, YDP, SOT, SOG","STT, SGB, RGT, YPW",0,9,0
"Pre Nesting 09-10 2025_Communities",1,"Summer 2026_Communities",17,"","CGN, PNW, YDP, SOT, SOG","RTT, WYD, CRY, YYN (was YNO), GDD (was GDR), WDG, GTR",0,12,0
"Pre Nesting 09-10 2025_Communities",2,"Summer 2026_Communities",1,"","RRY, SDO, RRR, RRD, SWT","CGN, PNW, YDP, SOT, SOG",0,10,0
"Pre Nesting 09-10 2025_Communities",2,"Summer 2026_Communities",2,"RRY, SDO, RRR, RRD, SWT","","",5,5,1
"Pre Nesting 09-10 2025_Communities",2,"Summer 2026_Communities",3,"","RRY, SDO, RRR, RRD, SWT","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP",0,14,0
"Pre Nesting 09-10 2025_Communities",2,"Summer 2026_Communities",4,"","RRY, SDO, RRR, RRD, SWT","YWD, WBT",0,7,0
"Pre Nesting 09-10 2025_Communities",2,"Summer 2026_Communities",5,"","RRY, SDO, RRR, RRD, SWT","PLS, YPS, RTP",0,8,0
"Pre Nesting 09-10 2025_Communities",2,"Summer 2026_Communities",6,"","RRY, SDO, RRR, RRD, SWT","YBN, WOG, WSY, WWB, YGD, YDW, GBO (was GPT)",0,12,0
"Pre Nesting 09-10 2025_Communities",2,"Summer 2026_Communities",7,"","RRY, SDO, RRR, RRD, SWT","YWS, YDT",0,7,0
"Pre Nesting 09-10 2025_Communities",2,"Summer 2026_Communities",8,"","RRY, SDO, RRR, RRD, SWT","YDD",0,6,0
