"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"CGN","RRY",1,2,FALSE,"Summer 2026_Communities"
"RRR","RRY",2,2,TRUE,"Summer 2026_Communities"
"RRD","RRY",2,2,TRUE,"Summer 2026_Communities"
"GOS","RRY",3,2,FALSE,"Summer 2026_Communities"
"PBWorPWB","RRY",3,2,FALSE,"Summer 2026_Communities"
"RBT","RRY",3,2,FALSE,"Summer 2026_Communities"
"RBP","RRY",3,2,FALSE,"Summer 2026_Communities"
"PNW","RRY",1,2,FALSE,"Summer 2026_Communities"
"PLS","RRY",5,2,FALSE,"Summer 2026_Communities"
"GBO (was GPT)","RRY",6,2,FALSE,"Summer 2026_Communities"
"GDW (wasGYW)","RRY",10,2,FALSE,"Summer 2026_Communities"
"PND","RRY",10,2,FALSE,"Summer 2026_Communities"
"PNG","RRY",10,2,FALSE,"Summer 2026_Communities"
"PNP","RRY",10,2,FALSE,"Summer 2026_Communities"
"ROO","RRY",11,2,FALSE,"Summer 2026_Communities"
"RLB","RRY",12,2,FALSE,"Summer 2026_Communities"
"ROY","RRY",14,2,FALSE,"Summer 2026_Communities"
"ROR","RRY",14,2,FALSE,"Summer 2026_Communities"
"GDO","RRY",13,2,FALSE,"Summer 2026_Communities"
"PBS","RRY",13,2,FALSE,"Summer 2026_Communities"
"PNL","RRY",13,2,FALSE,"Summer 2026_Communities"
"PBP (was PBB)","RRY",13,2,FALSE,"Summer 2026_Communities"
"GNT","RRY",15,2,FALSE,"Summer 2026_Communities"
"RGT","RRY",16,2,FALSE,"Summer 2026_Communities"
"CRY","RRY",17,2,FALSE,"Summer 2026_Communities"
"GDD (was GDR)","RRY",17,2,FALSE,"Summer 2026_Communities"
"GTR","RRY",17,2,FALSE,"Summer 2026_Communities"
"CGN","SDO",1,2,FALSE,"Summer 2026_Communities"
"RRY","SDO",2,2,TRUE,"Summer 2026_Communities"
"RRR","SDO",2,2,TRUE,"Summer 2026_Communities"
"RRD","SDO",2,2,TRUE,"Summer 2026_Communities"
"GOS","SDO",3,2,FALSE,"Summer 2026_Communities"
"RSD","SDO",3,2,FALSE,"Summer 2026_Communities"
"PBWorPWB","SDO",3,2,FALSE,"Summer 2026_Communities"
"RBT","SDO",3,2,FALSE,"Summer 2026_Communities"
"RBP","SDO",3,2,FALSE,"Summer 2026_Communities"
"PNW","SDO",1,2,FALSE,"Summer 2026_Communities"
"PLS","SDO",5,2,FALSE,"Summer 2026_Communities"
"RTP","SDO",5,2,FALSE,"Summer 2026_Communities"
"GBO (was GPT)","SDO",6,2,FALSE,"Summer 2026_Communities"
"GDW (wasGYW)","SDO",10,2,FALSE,"Summer 2026_Communities"
"PND","SDO",10,2,FALSE,"Summer 2026_Communities"
"PNG","SDO",10,2,FALSE,"Summer 2026_Communities"
"PNP","SDO",10,2,FALSE,"Summer 2026_Communities"
"ROO","SDO",11,2,FALSE,"Summer 2026_Communities"
"RLB","SDO",12,2,FALSE,"Summer 2026_Communities"
"ROY","SDO",14,2,FALSE,"Summer 2026_Communities"
"ROR","SDO",14,2,FALSE,"Summer 2026_Communities"
"GDO","SDO",13,2,FALSE,"Summer 2026_Communities"
"PBS","SDO",13,2,FALSE,"Summer 2026_Communities"
"PNL","SDO",13,2,FALSE,"Summer 2026_Communities"
"PBP (was PBB)","SDO",13,2,FALSE,"Summer 2026_Communities"
"GNT","SDO",15,2,FALSE,"Summer 2026_Communities"
"RGT","SDO",16,2,FALSE,"Summer 2026_Communities"
"RTT","SDO",17,2,FALSE,"Summer 2026_Communities"
"CRY","SDO",17,2,FALSE,"Summer 2026_Communities"
"GDD (was GDR)","SDO",17,2,FALSE,"Summer 2026_Communities"
"GTR","SDO",17,2,FALSE,"Summer 2026_Communities"
"CGN","RRR",1,2,FALSE,"Summer 2026_Communities"
"RRD","RRR",2,2,TRUE,"Summer 2026_Communities"
"GOS","RRR",3,2,FALSE,"Summer 2026_Communities"
"PBWorPWB","RRR",3,2,FALSE,"Summer 2026_Communities"
"RBT","RRR",3,2,FALSE,"Summer 2026_Communities"
"RBP","RRR",3,2,FALSE,"Summer 2026_Communities"
"PNW","RRR",1,2,FALSE,"Summer 2026_Communities"
"PLS","RRR",5,2,FALSE,"Summer 2026_Communities"
"GBO (was GPT)","RRR",6,2,FALSE,"Summer 2026_Communities"
"GDW (wasGYW)","RRR",10,2,FALSE,"Summer 2026_Communities"
"PND","RRR",10,2,FALSE,"Summer 2026_Communities"
"PNG","RRR",10,2,FALSE,"Summer 2026_Communities"
"PNP","RRR",10,2,FALSE,"Summer 2026_Communities"
"ROO","RRR",11,2,FALSE,"Summer 2026_Communities"
"RLB","RRR",12,2,FALSE,"Summer 2026_Communities"
"ROY","RRR",14,2,FALSE,"Summer 2026_Communities"
"ROR","RRR",14,2,FALSE,"Summer 2026_Communities"
"GDO","RRR",13,2,FALSE,"Summer 2026_Communities"
"PBS","RRR",13,2,FALSE,"Summer 2026_Communities"
"PNL","RRR",13,2,FALSE,"Summer 2026_Communities"
"PBP (was PBB)","RRR",13,2,FALSE,"Summer 2026_Communities"
"GNT","RRR",15,2,FALSE,"Summer 2026_Communities"
"RGT","RRR",16,2,FALSE,"Summer 2026_Communities"
"CRY","RRR",17,2,FALSE,"Summer 2026_Communities"
"GDD (was GDR)","RRR",17,2,FALSE,"Summer 2026_Communities"
"GTR","RRR",17,2,FALSE,"Summer 2026_Communities"
"CGN","RRD",1,2,FALSE,"Summer 2026_Communities"
"GOS","RRD",3,2,FALSE,"Summer 2026_Communities"
"PBWorPWB","RRD",3,2,FALSE,"Summer 2026_Communities"
"RBT","RRD",3,2,FALSE,"Summer 2026_Communities"
"RBP","RRD",3,2,FALSE,"Summer 2026_Communities"
"PNW","RRD",1,2,FALSE,"Summer 2026_Communities"
"PLS","RRD",5,2,FALSE,"Summer 2026_Communities"
"GBO (was GPT)","RRD",6,2,FALSE,"Summer 2026_Communities"
"GDW (wasGYW)","RRD",10,2,FALSE,"Summer 2026_Communities"
"PND","RRD",10,2,FALSE,"Summer 2026_Communities"
"PNG","RRD",10,2,FALSE,"Summer 2026_Communities"
"PNP","RRD",10,2,FALSE,"Summer 2026_Communities"
"ROO","RRD",11,2,FALSE,"Summer 2026_Communities"
"RLB","RRD",12,2,FALSE,"Summer 2026_Communities"
"ROY","RRD",14,2,FALSE,"Summer 2026_Communities"
"ROR","RRD",14,2,FALSE,"Summer 2026_Communities"
"GDO","RRD",13,2,FALSE,"Summer 2026_Communities"
"PBS","RRD",13,2,FALSE,"Summer 2026_Communities"
"PNL","RRD",13,2,FALSE,"Summer 2026_Communities"
"PBP (was PBB)","RRD",13,2,FALSE,"Summer 2026_Communities"
"GNT","RRD",15,2,FALSE,"Summer 2026_Communities"
"RGT","RRD",16,2,FALSE,"Summer 2026_Communities"
"CRY","RRD",17,2,FALSE,"Summer 2026_Communities"
"GDD (was GDR)","RRD",17,2,FALSE,"Summer 2026_Communities"
"GTR","RRD",17,2,FALSE,"Summer 2026_Communities"
"CGN","SWT",1,2,FALSE,"Summer 2026_Communities"
"RRY","SWT",2,2,TRUE,"Summer 2026_Communities"
"SDO","SWT",2,2,TRUE,"Summer 2026_Communities"
"RRR","SWT",2,2,TRUE,"Summer 2026_Communities"
"RRD","SWT",2,2,TRUE,"Summer 2026_Communities"
"GOS","SWT",3,2,FALSE,"Summer 2026_Communities"
"RSD","SWT",3,2,FALSE,"Summer 2026_Communities"
"PBWorPWB","SWT",3,2,FALSE,"Summer 2026_Communities"
"SWB","SWT",3,2,FALSE,"Summer 2026_Communities"
"RBT","SWT",3,2,FALSE,"Summer 2026_Communities"
"RBP","SWT",3,2,FALSE,"Summer 2026_Communities"
"PNW","SWT",1,2,FALSE,"Summer 2026_Communities"
"SOT","SWT",1,2,FALSE,"Summer 2026_Communities"
"PLS","SWT",5,2,FALSE,"Summer 2026_Communities"
"RTP","SWT",5,2,FALSE,"Summer 2026_Communities"
"SOG","SWT",1,2,FALSE,"Summer 2026_Communities"
"GBO (was GPT)","SWT",6,2,FALSE,"Summer 2026_Communities"
"GDW (wasGYW)","SWT",10,2,FALSE,"Summer 2026_Communities"
"PND","SWT",10,2,FALSE,"Summer 2026_Communities"
"PNG","SWT",10,2,FALSE,"Summer 2026_Communities"
"PNP","SWT",10,2,FALSE,"Summer 2026_Communities"
"ROO","SWT",11,2,FALSE,"Summer 2026_Communities"
"RLB","SWT",12,2,FALSE,"Summer 2026_Communities"
"ROY","SWT",14,2,FALSE,"Summer 2026_Communities"
"ROR","SWT",14,2,FALSE,"Summer 2026_Communities"
"SWS","SWT",14,2,FALSE,"Summer 2026_Communities"
"GDO","SWT",13,2,FALSE,"Summer 2026_Communities"
"PBS","SWT",13,2,FALSE,"Summer 2026_Communities"
"PNL","SWT",13,2,FALSE,"Summer 2026_Communities"
"PBP (was PBB)","SWT",13,2,FALSE,"Summer 2026_Communities"
"SRP","SWT",15,2,FALSE,"Summer 2026_Communities"
"GNT","SWT",15,2,FALSE,"Summer 2026_Communities"
"STT","SWT",16,2,FALSE,"Summer 2026_Communities"
"SGB","SWT",16,2,FALSE,"Summer 2026_Communities"
"RGT","SWT",16,2,FALSE,"Summer 2026_Communities"
"RTT","SWT",17,2,FALSE,"Summer 2026_Communities"
"CRY","SWT",17,2,FALSE,"Summer 2026_Communities"
"GDD (was GDR)","SWT",17,2,FALSE,"Summer 2026_Communities"
"GTR","SWT",17,2,FALSE,"Summer 2026_Communities"
"CGN","SYO",1,3,FALSE,"Summer 2026_Communities"
"RRY","SYO",2,3,FALSE,"Summer 2026_Communities"
"SDO","SYO",2,3,FALSE,"Summer 2026_Communities"
"RRR","SYO",2,3,FALSE,"Summer 2026_Communities"
"RRD","SYO",2,3,FALSE,"Summer 2026_Communities"
"SWT","SYO",2,3,FALSE,"Summer 2026_Communities"
"GOS","SYO",3,3,TRUE,"Summer 2026_Communities"
"RSD","SYO",3,3,TRUE,"Summer 2026_Communities"
"PBWorPWB","SYO",3,3,TRUE,"Summer 2026_Communities"
"SWB","SYO",3,3,TRUE,"Summer 2026_Communities"
"RBT","SYO",3,3,TRUE,"Summer 2026_Communities"
"RBP","SYO",3,3,TRUE,"Summer 2026_Communities"
"PNW","SYO",1,3,FALSE,"Summer 2026_Communities"
"SOT","SYO",1,3,FALSE,"Summer 2026_Communities"
"PLS","SYO",5,3,FALSE,"Summer 2026_Communities"
"RTP","SYO",5,3,FALSE,"Summer 2026_Communities"
"SOG","SYO",1,3,FALSE,"Summer 2026_Communities"
"GBO (was GPT)","SYO",6,3,FALSE,"Summer 2026_Communities"
"GDW (wasGYW)","SYO",10,3,FALSE,"Summer 2026_Communities"
"PND","SYO",10,3,FALSE,"Summer 2026_Communities"
"PNG","SYO",10,3,FALSE,"Summer 2026_Communities"
"PNP","SYO",10,3,FALSE,"Summer 2026_Communities"
"ROO","SYO",11,3,FALSE,"Summer 2026_Communities"
"RLB","SYO",12,3,FALSE,"Summer 2026_Communities"
"ROY","SYO",14,3,FALSE,"Summer 2026_Communities"
"ROR","SYO",14,3,FALSE,"Summer 2026_Communities"
"SWS","SYO",14,3,FALSE,"Summer 2026_Communities"
"GDO","SYO",13,3,FALSE,"Summer 2026_Communities"
"PBS","SYO",13,3,FALSE,"Summer 2026_Communities"
"PNL","SYO",13,3,FALSE,"Summer 2026_Communities"
"PBP (was PBB)","SYO",13,3,FALSE,"Summer 2026_Communities"
"SRP","SYO",15,3,FALSE,"Summer 2026_Communities"
"GNT","SYO",15,3,FALSE,"Summer 2026_Communities"
"STT","SYO",16,3,FALSE,"Summer 2026_Communities"
"SGB","SYO",16,3,FALSE,"Summer 2026_Communities"
"RGT","SYO",16,3,FALSE,"Summer 2026_Communities"
"RTT","SYO",17,3,FALSE,"Summer 2026_Communities"
"CRY","SYO",17,3,FALSE,"Summer 2026_Communities"
"GDD (was GDR)","SYO",17,3,FALSE,"Summer 2026_Communities"
"GTR","SYO",17,3,FALSE,"Summer 2026_Communities"
"CGN","GOS",1,3,FALSE,"Summer 2026_Communities"
"GBO (was GPT)","GOS",6,3,FALSE,"Summer 2026_Communities"
"GDW (wasGYW)","GOS",10,3,FALSE,"Summer 2026_Communities"
"GDO","GOS",13,3,FALSE,"Summer 2026_Communities"
"GNT","GOS",15,3,FALSE,"Summer 2026_Communities"
"CRY","GOS",17,3,FALSE,"Summer 2026_Communities"
"GDD (was GDR)","GOS",17,3,FALSE,"Summer 2026_Communities"
"CGN","RSD",1,3,FALSE,"Summer 2026_Communities"
"RRY","RSD",2,3,FALSE,"Summer 2026_Communities"
"RRR","RSD",2,3,FALSE,"Summer 2026_Communities"
"RRD","RSD",2,3,FALSE,"Summer 2026_Communities"
"GOS","RSD",3,3,TRUE,"Summer 2026_Communities"
"PBWorPWB","RSD",3,3,TRUE,"Summer 2026_Communities"
"RBT","RSD",3,3,TRUE,"Summer 2026_Communities"
"RBP","RSD",3,3,TRUE,"Summer 2026_Communities"
"PNW","RSD",1,3,FALSE,"Summer 2026_Communities"
"PLS","RSD",5,3,FALSE,"Summer 2026_Communities"
"GBO (was GPT)","RSD",6,3,FALSE,"Summer 2026_Communities"
"GDW (wasGYW)","RSD",10,3,FALSE,"Summer 2026_Communities"
"PND","RSD",10,3,FALSE,"Summer 2026_Communities"
"PNG","RSD",10,3,FALSE,"Summer 2026_Communities"
"PNP","RSD",10,3,FALSE,"Summer 2026_Communities"
"ROO","RSD",11,3,FALSE,"Summer 2026_Communities"
"RLB","RSD",12,3,FALSE,"Summer 2026_Communities"
"ROY","RSD",14,3,FALSE,"Summer 2026_Communities"
"ROR","RSD",14,3,FALSE,"Summer 2026_Communities"
"GDO","RSD",13,3,FALSE,"Summer 2026_Communities"
"PBS","RSD",13,3,FALSE,"Summer 2026_Communities"
"PNL","RSD",13,3,FALSE,"Summer 2026_Communities"
"PBP (was PBB)","RSD",13,3,FALSE,"Summer 2026_Communities"
"GNT","RSD",15,3,FALSE,"Summer 2026_Communities"
"RGT","RSD",16,3,FALSE,"Summer 2026_Communities"
"CRY","RSD",17,3,FALSE,"Summer 2026_Communities"
"GDD (was GDR)","RSD",17,3,FALSE,"Summer 2026_Communities"
"GTR","RSD",17,3,FALSE,"Summer 2026_Communities"
"CGN","SYT",1,3,FALSE,"Summer 2026_Communities"
