"ColorCombo","Fall 2025 Pre-Nesting_Communities","Spring 2026 Nesting Period_Communities","Summer 2026 Post-Fledging_Communities"
"CGN","Fall C1","Spring C1","Summer C2"
"SDO","Fall C2","Spring C2","Summer C1"
"SWT","Fall C2","Spring C2","Summer C1"
"SYO","Fall C3","Spring C3","Summer C2"
"SWB","Fall C3","Spring C3","Summer C2"
"RBP","Fall C3","Spring C3","Summer C2"
"PLS","Fall C6","Spring C1","Summer C3"
"YPS","Fall C6","Spring C1","Summer C3"
"SOG","Fall C5","Spring C1","Summer C3"
"YBN","Fall C7","Spring C4","Summer C4"
"WOG","Fall C7","Spring C4","Summer C4"
"YWS","Fall C8","Spring C5","Summer C5"
"YDT","Fall C8","Spring C6","Summer C5"
"WSY","Fall C7","Spring C4","Summer C4"
"YGD","Fall C7","Spring C7","Summer C6"
"YDW","Fall C7","Spring C7","Summer C6"
"GBO (was GPT)","Fall C7","Spring C7","Summer C6"
"YSR","Fall C10","Spring C8","Summer C6"
"PND","Fall C11","Spring C8","Summer C7"
"PNG","Fall C11","Spring C8","Summer C7"
"YBT","Fall C14","Spring C11","Summer C9"
"YBY","Fall C14","Spring C11","Summer C9"
"YGY","Fall C14","Spring C11","Summer C9"
"YND","Fall C14","Spring C9","Summer C8"
"GDO","Fall C14","Spring C11","Summer C9"
"PBP (was PBB)","Fall C14","Spring C11","Summer C9"
"STT","Fall C17","Spring C12","Summer C9"
"SGB","Fall C17","Spring C12","Summer C9"
"RGT","Fall C17","Spring C12","Summer C9"
"RTT","Fall C18","Spring C13","Summer C11"
"WYD","Fall C18","Spring C13","Summer C11"
"CRY","Fall C18","Spring C13","Summer C11"
"YYN (was YNO)","Fall C18","Spring C13","Summer C11"
