"ColorCombo","Fall 2025 Pre-Nesting_Communities","Spring 2026 Nesting Period_Communities","Summer 2026 Post-Fledging_Communities"
"CGN","Fall C1","Spring C1","Summer C2"
"RRY","Fall C2","Spring Not detected","Summer Not detected"
"SDO","Fall C2","Spring C2","Summer C1"
"RRR","Fall C2","Spring Not detected","Summer Not detected"
"RRD","Fall C2","Spring Not detected","Summer Not detected"
"SWT","Fall C2","Spring C2","Summer C1"
"SYO","Fall C3","Spring C3","Summer C2"
"GOS","Fall C3","Spring Not detected","Summer Not detected"
"RSD","Fall C3","Spring Not detected","Summer Not detected"
"SYT","Fall C3","Spring Not detected","Summer Not detected"
"PBWorPWB","Fall C3","Spring Not detected","Summer Not detected"
"SWB","Fall C3","Spring C3","Summer C2"
"RBT","Fall C3","Spring Not detected","Summer Not detected"
"SYR","Fall C3","Spring Not detected","Summer Not detected"
"RBP","Fall C3","Spring C3","Summer C2"
"YWD","Fall C4","Spring Not detected","Summer Not detected"
"WBT","Fall C4","Spring Not detected","Summer Not detected"
"PNW","Fall C5","Spring Not detected","Summer Not detected"
"YDP","Fall C5","Spring Not detected","Summer Not detected"
"SOT","Fall C5","Spring Not detected","Summer Not detected"
"PLS","Fall C6","Spring C1","Summer C3"
"YPS","Fall C6","Spring C1","Summer C3"
"RTP","Fall C6","Spring Not detected","Summer Not detected"
"SOG","Fall C5","Spring C1","Summer C3"
"YBN","Fall C7","Spring C4","Summer C4"
"WOG","Fall C7","Spring C4","Summer C4"
"YWS","Fall C8","Spring C5","Summer C5"
"YDT","Fall C8","Spring C6","Summer C5"
"WSY","Fall C7","Spring C4","Summer C4"
"YDD","Fall C9","Spring Not detected","Summer Not detected"
"WWB","Fall C7","Spring Not detected","Summer Not detected"
"YGD","Fall C7","Spring C7","Summer C6"
"YDW","Fall C7","Spring C7","Summer C6"
"GBO (was GPT)","Fall C7","Spring C7","Summer C6"
"YSR","Fall C10","Spring C8","Summer C6"
"GDW (wasGYW)","Fall C11","Spring Not detected","Summer Not detected"
"PND","Fall C11","Spring C8","Summer C7"
"PNG","Fall C11","Spring C8","Summer C7"
"PNP","Fall C11","Spring Not detected","Summer Not detected"
"YOP","Fall C12","Spring Not detected","Summer Not detected"
"ROO","Fall C12","Spring C9","Summer Not detected"
"RLB","Fall C13","Spring C10","Summer Not detected"
"YBT","Fall C14","Spring C11","Summer C9"
"ROY","Fall C15","Spring Not detected","Summer Not detected"
"WBO","Fall C15","Spring Not detected","Summer Not detected"
"ROR","Fall C15","Spring Not detected","Summer Not detected"
"YBY","Fall C14","Spring C11","Summer C9"
"SWS","Fall C15","Spring Not detected","Summer Not detected"
"YGY","Fall C14","Spring C11","Summer C9"
"YND","Fall C14","Spring C9","Summer C8"
"GDO","Fall C14","Spring C11","Summer C9"
"PBS","Fall C14","Spring Not detected","Summer Not detected"
"PNL","Fall C14","Spring Not detected","Summer C9"
"PBP (was PBB)","Fall C14","Spring C11","Summer C9"
"WWD","Fall C16","Spring Not detected","Summer Not detected"
"SRP","Fall C16","Spring Not detected","Summer Not detected"
"GNT","Fall C16","Spring Not detected","Summer Not detected"
"WDN","Fall C16","Spring Not detected","Summer Not detected"
"WDW","Fall C16","Spring Not detected","Summer Not detected"
"STT","Fall C17","Spring C12","Summer C9"
"SGB","Fall C17","Spring C12","Summer C9"
"RGT","Fall C17","Spring C12","Summer C9"
"YPW","Fall C17","Spring Not detected","Summer Not detected"
"RTT","Fall C18","Spring C13","Summer C11"
"WYD","Fall C18","Spring C13","Summer C11"
"CRY","Fall C18","Spring C13","Summer C11"
"YYN (was YNO)","Fall C18","Spring C13","Summer C11"
"GDD (was GDR)","Fall C18","Spring Not detected","Summer Not detected"
"WDG","Fall C18","Spring Not detected","Summer C11"
"GTR","Fall C18","Spring Not detected","Summer Not detected"
"GNG","Fall Not detected","Spring C3","Summer C2"
"PDN","Fall Not detected","Spring C3","Summer C2"
"YPN","Fall Not detected","Spring C3","Summer Not detected"
"RNG","Fall Not detected","Spring C1","Summer Not detected"
"WPG","Fall Not detected","Spring C4","Summer C3"
"WNS","Fall Not detected","Spring C7","Summer C6"
"YGP","Fall Not detected","Spring C8","Summer Not detected"
"ROW","Fall Not detected","Spring C9","Summer C8"
"YOD","Fall Not detected","Spring C9","Summer C8"
"WDB","Fall Not detected","Spring C11","Summer C10"
"GSD","Fall Not detected","Spring C11","Summer Not detected"
"RPP","Fall Not detected","Spring C11","Summer Not detected"
"GDN (was GDY)","Fall Not detected","Spring C13","Summer C11"
"YSG","Fall Not detected","Spring C13","Summer Not detected"
"WPW","Fall Not detected","Spring Not detected","Summer C1"
"SDR","Fall Not detected","Spring Not detected","Summer C2"
"SSS","Fall Not detected","Spring Not detected","Summer C2"
"SDT","Fall Not detected","Spring Not detected","Summer C2"
"GTP","Fall Not detected","Spring Not detected","Summer C3"
"SPT","Fall Not detected","Spring Not detected","Summer C3"
"NOD","Fall Not detected","Spring Not detected","Summer C3"
"WPD","Fall Not detected","Spring Not detected","Summer C5"
"NRO","Fall Not detected","Spring Not detected","Summer C5"
"NSS","Fall Not detected","Spring Not detected","Summer C5"
"SNR (was SNO)","Fall Not detected","Spring Not detected","Summer C6"
"GPW","Fall Not detected","Spring Not detected","Summer C6"
"WDY","Fall Not detected","Spring Not detected","Summer C6"
"GSN","Fall Not detected","Spring Not detected","Summer C6"
"RDO","Fall Not detected","Spring Not detected","Summer C6"
"RNO","Fall Not detected","Spring Not detected","Summer C7"
"GLS","Fall Not detected","Spring Not detected","Summer C7"
"WPB","Fall Not detected","Spring Not detected","Summer C8"
"WNP","Fall Not detected","Spring Not detected","Summer C8"
"SPW","Fall Not detected","Spring Not detected","Summer C8"
