"ColorCombo","Community","Season"
"CGN",1,"Fall 2025 Pre-Nesting_Communities"
"RRY",2,"Fall 2025 Pre-Nesting_Communities"
"SDO",2,"Fall 2025 Pre-Nesting_Communities"
"RRR",2,"Fall 2025 Pre-Nesting_Communities"
"RRD",2,"Fall 2025 Pre-Nesting_Communities"
"SWT",2,"Fall 2025 Pre-Nesting_Communities"
"SYO",3,"Fall 2025 Pre-Nesting_Communities"
"GOS",3,"Fall 2025 Pre-Nesting_Communities"
"RSD",3,"Fall 2025 Pre-Nesting_Communities"
"SYT",3,"Fall 2025 Pre-Nesting_Communities"
"PBWorPWB",3,"Fall 2025 Pre-Nesting_Communities"
"SWB",3,"Fall 2025 Pre-Nesting_Communities"
"RBT",3,"Fall 2025 Pre-Nesting_Communities"
"SYR",3,"Fall 2025 Pre-Nesting_Communities"
"RBP",3,"Fall 2025 Pre-Nesting_Communities"
"YWD",4,"Fall 2025 Pre-Nesting_Communities"
"WBT",4,"Fall 2025 Pre-Nesting_Communities"
"PNW",5,"Fall 2025 Pre-Nesting_Communities"
"YDP",5,"Fall 2025 Pre-Nesting_Communities"
"SOT",5,"Fall 2025 Pre-Nesting_Communities"
"PLS",6,"Fall 2025 Pre-Nesting_Communities"
"YPS",6,"Fall 2025 Pre-Nesting_Communities"
"RTP",6,"Fall 2025 Pre-Nesting_Communities"
"SOG",5,"Fall 2025 Pre-Nesting_Communities"
"YBN",7,"Fall 2025 Pre-Nesting_Communities"
"WOG",7,"Fall 2025 Pre-Nesting_Communities"
"YWS",8,"Fall 2025 Pre-Nesting_Communities"
"YDT",8,"Fall 2025 Pre-Nesting_Communities"
"WSY",7,"Fall 2025 Pre-Nesting_Communities"
"YDD",9,"Fall 2025 Pre-Nesting_Communities"
"WWB",7,"Fall 2025 Pre-Nesting_Communities"
"YGD",7,"Fall 2025 Pre-Nesting_Communities"
"YDW",7,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)",7,"Fall 2025 Pre-Nesting_Communities"
"YSR",10,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)",11,"Fall 2025 Pre-Nesting_Communities"
"PND",11,"Fall 2025 Pre-Nesting_Communities"
"PNG",11,"Fall 2025 Pre-Nesting_Communities"
"PNP",11,"Fall 2025 Pre-Nesting_Communities"
"YOP",12,"Fall 2025 Pre-Nesting_Communities"
"ROO",12,"Fall 2025 Pre-Nesting_Communities"
"RLB",13,"Fall 2025 Pre-Nesting_Communities"
"YBT",14,"Fall 2025 Pre-Nesting_Communities"
"ROY",15,"Fall 2025 Pre-Nesting_Communities"
"WBO",15,"Fall 2025 Pre-Nesting_Communities"
"ROR",15,"Fall 2025 Pre-Nesting_Communities"
"YBY",14,"Fall 2025 Pre-Nesting_Communities"
"SWS",15,"Fall 2025 Pre-Nesting_Communities"
"YGY",14,"Fall 2025 Pre-Nesting_Communities"
"YND",14,"Fall 2025 Pre-Nesting_Communities"
"GDO",14,"Fall 2025 Pre-Nesting_Communities"
"PBS",14,"Fall 2025 Pre-Nesting_Communities"
"PNL",14,"Fall 2025 Pre-Nesting_Communities"
"PBP (was PBB)",14,"Fall 2025 Pre-Nesting_Communities"
"WWD",16,"Fall 2025 Pre-Nesting_Communities"
"SRP",16,"Fall 2025 Pre-Nesting_Communities"
"GNT",16,"Fall 2025 Pre-Nesting_Communities"
"WDN",16,"Fall 2025 Pre-Nesting_Communities"
"WDW",16,"Fall 2025 Pre-Nesting_Communities"
"STT",17,"Fall 2025 Pre-Nesting_Communities"
"SGB",17,"Fall 2025 Pre-Nesting_Communities"
"RGT",17,"Fall 2025 Pre-Nesting_Communities"
"YPW",17,"Fall 2025 Pre-Nesting_Communities"
"RTT",18,"Fall 2025 Pre-Nesting_Communities"
"WYD",18,"Fall 2025 Pre-Nesting_Communities"
"CRY",18,"Fall 2025 Pre-Nesting_Communities"
"YYN (was YNO)",18,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)",18,"Fall 2025 Pre-Nesting_Communities"
"WDG",18,"Fall 2025 Pre-Nesting_Communities"
"GTR",18,"Fall 2025 Pre-Nesting_Communities"
"CGN",1,"Spring 2026 Nesting Period_Communities"
"SWT",2,"Spring 2026 Nesting Period_Communities"
"SDO",2,"Spring 2026 Nesting Period_Communities"
"GNG",3,"Spring 2026 Nesting Period_Communities"
"PDN",3,"Spring 2026 Nesting Period_Communities"
"SYO",3,"Spring 2026 Nesting Period_Communities"
"SWB",3,"Spring 2026 Nesting Period_Communities"
"RBP",3,"Spring 2026 Nesting Period_Communities"
"YPN",3,"Spring 2026 Nesting Period_Communities"
"RNG",1,"Spring 2026 Nesting Period_Communities"
"SOG",1,"Spring 2026 Nesting Period_Communities"
"PLS",1,"Spring 2026 Nesting Period_Communities"
"YPS",1,"Spring 2026 Nesting Period_Communities"
"WSY",4,"Spring 2026 Nesting Period_Communities"
"WPG",4,"Spring 2026 Nesting Period_Communities"
"YBN",4,"Spring 2026 Nesting Period_Communities"
"WOG",4,"Spring 2026 Nesting Period_Communities"
"YWS",5,"Spring 2026 Nesting Period_Communities"
"YDT",6,"Spring 2026 Nesting Period_Communities"
"YGD",7,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)",7,"Spring 2026 Nesting Period_Communities"
"YDW",7,"Spring 2026 Nesting Period_Communities"
"WNS",7,"Spring 2026 Nesting Period_Communities"
"YGP",8,"Spring 2026 Nesting Period_Communities"
"YSR",8,"Spring 2026 Nesting Period_Communities"
"PND",8,"Spring 2026 Nesting Period_Communities"
"PNG",8,"Spring 2026 Nesting Period_Communities"
"ROW",9,"Spring 2026 Nesting Period_Communities"
"ROO",9,"Spring 2026 Nesting Period_Communities"
"YOD",9,"Spring 2026 Nesting Period_Communities"
"YND",9,"Spring 2026 Nesting Period_Communities"
"RLB",10,"Spring 2026 Nesting Period_Communities"
"WDB",11,"Spring 2026 Nesting Period_Communities"
"YGY",11,"Spring 2026 Nesting Period_Communities"
"GSD",11,"Spring 2026 Nesting Period_Communities"
"YBY",11,"Spring 2026 Nesting Period_Communities"
"GDO",11,"Spring 2026 Nesting Period_Communities"
"YBT",11,"Spring 2026 Nesting Period_Communities"
"RPP",11,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)",11,"Spring 2026 Nesting Period_Communities"
"STT",12,"Spring 2026 Nesting Period_Communities"
"SGB",12,"Spring 2026 Nesting Period_Communities"
"RGT",12,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)",13,"Spring 2026 Nesting Period_Communities"
"YYN (was YNO)",13,"Spring 2026 Nesting Period_Communities"
"RTT",13,"Spring 2026 Nesting Period_Communities"
"WYD",13,"Spring 2026 Nesting Period_Communities"
"YSG",13,"Spring 2026 Nesting Period_Communities"
"CRY",13,"Spring 2026 Nesting Period_Communities"
"SWT",1,"Summer 2026 Post-Fledging_Communities"
"SDO",1,"Summer 2026 Post-Fledging_Communities"
"CGN",2,"Summer 2026 Post-Fledging_Communities"
"WPW",1,"Summer 2026 Post-Fledging_Communities"
"GNG",2,"Summer 2026 Post-Fledging_Communities"
"SDR",2,"Summer 2026 Post-Fledging_Communities"
"SSS",2,"Summer 2026 Post-Fledging_Communities"
"SYO",2,"Summer 2026 Post-Fledging_Communities"
"PDN",2,"Summer 2026 Post-Fledging_Communities"
"RBP",2,"Summer 2026 Post-Fledging_Communities"
"SWB",2,"Summer 2026 Post-Fledging_Communities"
"SDT",2,"Summer 2026 Post-Fledging_Communities"
"SOG",3,"Summer 2026 Post-Fledging_Communities"
"GTP",3,"Summer 2026 Post-Fledging_Communities"
"YPS",3,"Summer 2026 Post-Fledging_Communities"
"SPT",3,"Summer 2026 Post-Fledging_Communities"
"PLS",3,"Summer 2026 Post-Fledging_Communities"
