"ColorCombo","Community","Sex","Age","Status","Location"
"CGN",1,NA,"ASY","N","NB45"
"RRY",2,"F","ASY","N","FA"
"SDO",2,"M","HY","N","FA"
"RRR",2,"M","ASY","N","FA"
"RRD",2,"F","AHY","N","NB01"
"SWT",2,"F","SY","N","FA"
"SYO",3,"M","SY","N","FA"
"GOS",3,"M","Nestling","N","NB1"
"RSD",3,"M","HY","N","FC"
"SYT",3,"F","SY","N","FD"
"PBWorPWB",3,"F","ASY","N","FG"
"SWB",3,"M","SY","N","NB04"
"RBT",3,"M","ASY","N","FC"
"SYR",3,"F","ASY","N","FB"
"RBP",3,"M","AHY","N","FC"
"YWD",4,"F","AHY","N","NB3"
"WBT",4,"M","AHY","N","NB03"
"PNW",5,NA,"ASY","N","FE"
"YDP",5,NA,"AHY","N","FD"
"SOT",5,"M","Nestling","N","NBEB1"
"PLS",6,"M","ASY","P","FE"
"YPS",6,"F","HY","N","FE"
"RTP",6,"M","Nestling","N","NB5"
"SOG",5,"M","Nestling","N","NBEB1"
"YBN",7,"M","SY","N","NB21"
"WOG",7,"M","HY","N","MN-FF"
"YWS",8,"M","SY","N","NB22"
"YDT",8,"M","Nestling","N","NB22"
"WSY",7,"F","AHY","N","NB8"
"YDD",9,"F","HY","N","FG"
"WWB",7,"F","ASY","N","NB50"
"YGD",7,"M","AHY","N","FH"
"YDW",7,"M","HY","N","FH"
"GBO (was GPT)",7,"M","AHY","N","FH"
"YSR",10,"M","SY","N","NB10"
"GDW (wasGYW)",11,"M","ASY.","P","FL"
"PND",11,"M","Nestling","N","NB14"
"PNG",11,"M","Nestling","N","NB14"
"PNP",11,"M","Nestling","N","NB14"
"YOP",12,"M","Nestling","N","NB13"
"ROO",12,"M","HY","N","FM"
"RLB",13,"F","ASY","N","NB15C"
"YBT",14,"M","SY","N","NB15C"
"ROY",15,"M","Nestling","N","NB15a"
"WBO",15,"M","AHY","N","NB15a"
"ROR",15,"M","Nestling","N","NB15a"
"YBY",14,"M","SY","N","NB15C"
"SWS",15,"F","SY","N","FN"
"YGY",14,"M","SY","N","NB53"
"YND",14,"M","AHY","N","FO"
"GDO",14,"M","Nestling","N","NB15B"
"PBS",14,NA,"ASY","N","NB52"
"PNL",14,"F","ASY","N","FP"
"PBP (was PBB)",14,"M","ASY","P","NB16A"
"WWD",16,"M","Nestling","N","NB16B"
"SRP",16,"F","ASY","N","FQ"
"GNT",16,"M","ASY","N","NB62"
"WDN",16,"M","Nestling","N","NB16B"
"WDW",16,"M","Nestling","N","NB16B"
"STT",17,"M","SY","N","FR"
"SGB",17,"F","HY","N","FR"
"RGT",17,"M","HY","N","FR"
"YPW",17,"F","HY","N","FR"
"RTT",18,"F","Nestling","N","NB5"
"WYD",18,"M","Nestling","N","NB17"
"CRY",18,"M","ASY","P","NB18"
"YYN (was YNO)",18,"M","Nestling","N","NB18"
"GDD (was GDR)",18,"M","HY","N","FS"
"WDG",18,"M","Nestling","N","NB17"
"GTR",18,"F","ASY","P","NB17"
