"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"CGN","RRY",1,2,FALSE,"fall_Communities"
"RRR","RRY",2,2,TRUE,"fall_Communities"
"RRD","RRY",2,2,TRUE,"fall_Communities"
"GOS","RRY",3,2,FALSE,"fall_Communities"
"PBWorPWB","RRY",3,2,FALSE,"fall_Communities"
"RBT","RRY",3,2,FALSE,"fall_Communities"
"RBP","RRY",3,2,FALSE,"fall_Communities"
"PNW","RRY",5,2,FALSE,"fall_Communities"
"PLS","RRY",6,2,FALSE,"fall_Communities"
"GBO (was GPT)","RRY",7,2,FALSE,"fall_Communities"
"GDW (wasGYW)","RRY",11,2,FALSE,"fall_Communities"
"PND","RRY",11,2,FALSE,"fall_Communities"
"PNG","RRY",11,2,FALSE,"fall_Communities"
"PNP","RRY",11,2,FALSE,"fall_Communities"
"ROO","RRY",12,2,FALSE,"fall_Communities"
"RLB","RRY",13,2,FALSE,"fall_Communities"
"ROY","RRY",15,2,FALSE,"fall_Communities"
"ROR","RRY",15,2,FALSE,"fall_Communities"
"GDO","RRY",14,2,FALSE,"fall_Communities"
"PBS","RRY",14,2,FALSE,"fall_Communities"
"PNL","RRY",14,2,FALSE,"fall_Communities"
"PBP (was PBB)","RRY",14,2,FALSE,"fall_Communities"
"GNT","RRY",16,2,FALSE,"fall_Communities"
"RGT","RRY",17,2,FALSE,"fall_Communities"
"CRY","RRY",18,2,FALSE,"fall_Communities"
"GDD (was GDR)","RRY",18,2,FALSE,"fall_Communities"
"GTR","RRY",18,2,FALSE,"fall_Communities"
"CGN","SDO",1,2,FALSE,"fall_Communities"
"RRY","SDO",2,2,TRUE,"fall_Communities"
"RRR","SDO",2,2,TRUE,"fall_Communities"
"RRD","SDO",2,2,TRUE,"fall_Communities"
"GOS","SDO",3,2,FALSE,"fall_Communities"
"RSD","SDO",3,2,FALSE,"fall_Communities"
"PBWorPWB","SDO",3,2,FALSE,"fall_Communities"
"RBT","SDO",3,2,FALSE,"fall_Communities"
"RBP","SDO",3,2,FALSE,"fall_Communities"
"PNW","SDO",5,2,FALSE,"fall_Communities"
"PLS","SDO",6,2,FALSE,"fall_Communities"
