"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"fall_Communities",1,"spring_Communities",1,"CGN","","RNG, SOG, PLS, YPS",1,5,0.2
"fall_Communities",2,"spring_Communities",2,"SDO, SWT","RRY, RRR, RRD","",2,5,0.4
"fall_Communities",3,"spring_Communities",3,"SYO, SWB, RBP","GOS, RSD, SYT, PBWorPWB, RBT, SYR","GNG, PDN, YPN",3,12,0.25
"fall_Communities",5,"spring_Communities",1,"SOG","PNW, YDP, SOT","CGN, RNG, PLS, YPS",1,8,0.125
"fall_Communities",6,"spring_Communities",1,"PLS, YPS","RTP","CGN, RNG, SOG",2,6,0.333
"fall_Communities",7,"spring_Communities",4,"YBN, WOG, WSY","WWB, YGD, YDW, GBO (was GPT)","WPG",3,8,0.375
"fall_Communities",8,"spring_Communities",5,"YWS","YDT","",1,2,0.5
"fall_Communities",10,"spring_Communities",8,"YSR","","YGP, PND, PNG",1,4,0.25
"fall_Communities",11,"spring_Communities",8,"PND, PNG","GDW (wasGYW), PNP","YGP, YSR",2,6,0.333
"fall_Communities",12,"spring_Communities",9,"ROO","YOP","ROW, YOD, YND",1,5,0.2
"fall_Communities",13,"spring_Communities",10,"RLB","","",1,1,1
"fall_Communities",14,"spring_Communities",11,"YBT, YBY, YGY, GDO, PBP (was PBB)","YND, PBS, PNL","WDB, GSD, RPP",5,11,0.455
"fall_Communities",17,"spring_Communities",12,"STT, SGB, RGT","YPW","",3,4,0.75
"fall_Communities",18,"spring_Communities",13,"RTT, WYD, CRY, YYN (was YNO)","GDD (was GDR), WDG, GTR","GDN (was GDY), YSG",4,9,0.444
