"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"fall_Communities",1,"spring_Communities",1,"CGN","","RNG, SOG, PLS, YPS",1,5,0.2
"fall_Communities",1,"spring_Communities",2,"","CGN","SWT, SDO",0,3,0
"fall_Communities",1,"spring_Communities",3,"","CGN","GNG, PDN, SYO, SWB, RBP, YPN",0,7,0
"fall_Communities",1,"spring_Communities",4,"","CGN","WSY, WPG, YBN, WOG",0,5,0
"fall_Communities",1,"spring_Communities",5,"","CGN","YWS",0,2,0
"fall_Communities",1,"spring_Communities",6,"","CGN","YDT",0,2,0
"fall_Communities",1,"spring_Communities",7,"","CGN","YGD, GBO (was GPT), YDW, WNS",0,5,0
"fall_Communities",1,"spring_Communities",8,"","CGN","YGP, YSR, PND, PNG",0,5,0
"fall_Communities",1,"spring_Communities",9,"","CGN","ROW, ROO, YOD, YND",0,5,0
"fall_Communities",1,"spring_Communities",10,"","CGN","RLB",0,2,0
"fall_Communities",1,"spring_Communities",11,"","CGN","WDB, YGY, GSD, YBY, GDO, YBT, RPP, PBP (was PBB)",0,9,0
"fall_Communities",1,"spring_Communities",12,"","CGN","STT, SGB, RGT",0,4,0
"fall_Communities",1,"spring_Communities",13,"","CGN","GDN (was GDY), YYN (was YNO), RTT, WYD, YSG, CRY",0,7,0
"fall_Communities",2,"spring_Communities",1,"","RRY, SDO, RRR, RRD, SWT","CGN, RNG, SOG, PLS, YPS",0,10,0
"fall_Communities",2,"spring_Communities",2,"SDO, SWT","RRY, RRR, RRD","",2,5,0.4
"fall_Communities",2,"spring_Communities",3,"","RRY, SDO, RRR, RRD, SWT","GNG, PDN, SYO, SWB, RBP, YPN",0,11,0
"fall_Communities",2,"spring_Communities",4,"","RRY, SDO, RRR, RRD, SWT","WSY, WPG, YBN, WOG",0,9,0
"fall_Communities",2,"spring_Communities",5,"","RRY, SDO, RRR, RRD, SWT","YWS",0,6,0
"fall_Communities",2,"spring_Communities",6,"","RRY, SDO, RRR, RRD, SWT","YDT",0,6,0
"fall_Communities",2,"spring_Communities",7,"","RRY, SDO, RRR, RRD, SWT","YGD, GBO (was GPT), YDW, WNS",0,9,0
"fall_Communities",2,"spring_Communities",8,"","RRY, SDO, RRR, RRD, SWT","YGP, YSR, PND, PNG",0,9,0
"fall_Communities",2,"spring_Communities",9,"","RRY, SDO, RRR, RRD, SWT","ROW, ROO, YOD, YND",0,9,0
"fall_Communities",2,"spring_Communities",10,"","RRY, SDO, RRR, RRD, SWT","RLB",0,6,0
"fall_Communities",2,"spring_Communities",11,"","RRY, SDO, RRR, RRD, SWT","WDB, YGY, GSD, YBY, GDO, YBT, RPP, PBP (was PBB)",0,13,0
"fall_Communities",2,"spring_Communities",12,"","RRY, SDO, RRR, RRD, SWT","STT, SGB, RGT",0,8,0
"fall_Communities",2,"spring_Communities",13,"","RRY, SDO, RRR, RRD, SWT","GDN (was GDY), YYN (was YNO), RTT, WYD, YSG, CRY",0,11,0
"fall_Communities",3,"spring_Communities",1,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","CGN, RNG, SOG, PLS, YPS",0,14,0
"fall_Communities",3,"spring_Communities",2,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","SWT, SDO",0,11,0
"fall_Communities",3,"spring_Communities",3,"SYO, SWB, RBP","GOS, RSD, SYT, PBWorPWB, RBT, SYR","GNG, PDN, YPN",3,12,0.25
