"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"fall_Communities",1,"summer_Communities",2,"CGN","","GNG, SDR, SSS, SYO, PDN, RBP, SWB, SDT",1,9,0.111
"fall_Communities",2,"summer_Communities",1,"SDO, SWT","RRY, RRR, RRD","WPW",2,6,0.333
"fall_Communities",3,"summer_Communities",2,"SYO, SWB, RBP","GOS, RSD, SYT, PBWorPWB, RBT, SYR","CGN, GNG, SDR, SSS, PDN, SDT",3,15,0.2
"fall_Communities",5,"summer_Communities",3,"SOG","PNW, YDP, SOT","GTP, YPS, SPT, PLS, NOD, WPG",1,10,0.1
"fall_Communities",6,"summer_Communities",3,"PLS, YPS","RTP","SOG, GTP, SPT, NOD, WPG",2,8,0.25
"fall_Communities",7,"summer_Communities",4,"YBN, WOG, WSY","WWB, YGD, YDW, GBO (was GPT)","",3,7,0.429
"fall_Communities",8,"summer_Communities",5,"YWS, YDT","","WPD, NRO, NSS",2,5,0.4
"fall_Communities",10,"summer_Communities",6,"YSR","","YDW, WNS, SNR (was SNO), GBO (was GPT), YGD, GPW, WDY, GSN, RDO",1,10,0.1
"fall_Communities",11,"summer_Communities",7,"PND, PNG","GDW (wasGYW), PNP","RNO, GLS",2,6,0.333
"fall_Communities",14,"summer_Communities",9,"YBT, YBY, YGY, GDO, PNL, PBP (was PBB)","YND, PBS","WPS, WTW, SGB, WDT, RGT, STT",6,14,0.429
"fall_Communities",17,"summer_Communities",9,"STT, SGB, RGT","YPW","YBY, YGY, YBT, GDO, WPS, WTW, PNL, WDT, PBP (was PBB)",3,13,0.231
"fall_Communities",18,"summer_Communities",11,"RTT, WYD, CRY, YYN (was YNO), WDG","GDD (was GDR), GTR","GDN (was GDY), GPR, WDD, YRP",5,11,0.455
