"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"fall_Communities",1,"summer_Communities",1,"","CGN","SWT, SDO, WPW",0,4,0
"fall_Communities",1,"summer_Communities",2,"CGN","","GNG, SDR, SSS, SYO, PDN, RBP, SWB, SDT",1,9,0.111
"fall_Communities",1,"summer_Communities",3,"","CGN","SOG, GTP, YPS, SPT, PLS, NOD, WPG",0,8,0
"fall_Communities",1,"summer_Communities",4,"","CGN","WSY, YBN, WOG",0,4,0
"fall_Communities",1,"summer_Communities",5,"","CGN","YWS, WPD, YDT, NRO, NSS",0,6,0
"fall_Communities",1,"summer_Communities",6,"","CGN","YDW, WNS, SNR (was SNO), GBO (was GPT), YGD, GPW, WDY, GSN, YSR, RDO",0,11,0
"fall_Communities",1,"summer_Communities",7,"","CGN","PND, RNO, PNG, GLS",0,5,0
"fall_Communities",1,"summer_Communities",8,"","CGN","WPB, WNP, SPW, ROW, YND, YOD, GPB",0,8,0
"fall_Communities",1,"summer_Communities",9,"","CGN","YBY, YGY, YBT, GDO, WPS, WTW, SGB, PNL, WDT, RGT, PBP (was PBB), STT",0,13,0
"fall_Communities",1,"summer_Communities",10,"","CGN","WDB",0,2,0
"fall_Communities",1,"summer_Communities",11,"","CGN","RTT, YYN (was YNO), GDN (was GDY), GPR, WDD, CRY, WDG, YRP, WYD",0,10,0
"fall_Communities",2,"summer_Communities",1,"SDO, SWT","RRY, RRR, RRD","WPW",2,6,0.333
"fall_Communities",2,"summer_Communities",2,"","RRY, SDO, RRR, RRD, SWT","CGN, GNG, SDR, SSS, SYO, PDN, RBP, SWB, SDT",0,14,0
"fall_Communities",2,"summer_Communities",3,"","RRY, SDO, RRR, RRD, SWT","SOG, GTP, YPS, SPT, PLS, NOD, WPG",0,12,0
"fall_Communities",2,"summer_Communities",4,"","RRY, SDO, RRR, RRD, SWT","WSY, YBN, WOG",0,8,0
"fall_Communities",2,"summer_Communities",5,"","RRY, SDO, RRR, RRD, SWT","YWS, WPD, YDT, NRO, NSS",0,10,0
"fall_Communities",2,"summer_Communities",6,"","RRY, SDO, RRR, RRD, SWT","YDW, WNS, SNR (was SNO), GBO (was GPT), YGD, GPW, WDY, GSN, YSR, RDO",0,15,0
"fall_Communities",2,"summer_Communities",7,"","RRY, SDO, RRR, RRD, SWT","PND, RNO, PNG, GLS",0,9,0
"fall_Communities",2,"summer_Communities",8,"","RRY, SDO, RRR, RRD, SWT","WPB, WNP, SPW, ROW, YND, YOD, GPB",0,12,0
"fall_Communities",2,"summer_Communities",9,"","RRY, SDO, RRR, RRD, SWT","YBY, YGY, YBT, GDO, WPS, WTW, SGB, PNL, WDT, RGT, PBP (was PBB), STT",0,17,0
"fall_Communities",2,"summer_Communities",10,"","RRY, SDO, RRR, RRD, SWT","WDB",0,6,0
"fall_Communities",2,"summer_Communities",11,"","RRY, SDO, RRR, RRD, SWT","RTT, YYN (was YNO), GDN (was GDY), GPR, WDD, CRY, WDG, YRP, WYD",0,14,0
"fall_Communities",3,"summer_Communities",1,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","SWT, SDO, WPW",0,12,0
"fall_Communities",3,"summer_Communities",2,"SYO, SWB, RBP","GOS, RSD, SYT, PBWorPWB, RBT, SYR","CGN, GNG, SDR, SSS, PDN, SDT",3,15,0.2
"fall_Communities",3,"summer_Communities",3,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","SOG, GTP, YPS, SPT, PLS, NOD, WPG",0,16,0
"fall_Communities",3,"summer_Communities",4,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","WSY, YBN, WOG",0,12,0
"fall_Communities",3,"summer_Communities",5,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","YWS, WPD, YDT, NRO, NSS",0,14,0
"fall_Communities",3,"summer_Communities",6,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","YDW, WNS, SNR (was SNO), GBO (was GPT), YGD, GPW, WDY, GSN, YSR, RDO",0,19,0
"fall_Communities",3,"summer_Communities",7,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","PND, RNO, PNG, GLS",0,13,0
"fall_Communities",3,"summer_Communities",8,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","WPB, WNP, SPW, ROW, YND, YOD, GPB",0,16,0
"fall_Communities",3,"summer_Communities",9,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","YBY, YGY, YBT, GDO, WPS, WTW, SGB, PNL, WDT, RGT, PBP (was PBB), STT",0,21,0
"fall_Communities",3,"summer_Communities",10,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","WDB",0,10,0
"fall_Communities",3,"summer_Communities",11,"","SYO, GOS, RSD, SYT, PBWorPWB, SWB, RBT, SYR, RBP","RTT, YYN (was YNO), GDN (was GDY), GPR, WDD, CRY, WDG, YRP, WYD",0,18,0
"fall_Communities",4,"summer_Communities",1,"","YWD, WBT","SWT, SDO, WPW",0,5,0
"fall_Communities",4,"summer_Communities",2,"","YWD, WBT","CGN, GNG, SDR, SSS, SYO, PDN, RBP, SWB, SDT",0,11,0
"fall_Communities",4,"summer_Communities",3,"","YWD, WBT","SOG, GTP, YPS, SPT, PLS, NOD, WPG",0,9,0
"fall_Communities",4,"summer_Communities",4,"","YWD, WBT","WSY, YBN, WOG",0,5,0
"fall_Communities",4,"summer_Communities",5,"","YWD, WBT","YWS, WPD, YDT, NRO, NSS",0,7,0
"fall_Communities",4,"summer_Communities",6,"","YWD, WBT","YDW, WNS, SNR (was SNO), GBO (was GPT), YGD, GPW, WDY, GSN, YSR, RDO",0,12,0
"fall_Communities",4,"summer_Communities",7,"","YWD, WBT","PND, RNO, PNG, GLS",0,6,0
"fall_Communities",4,"summer_Communities",8,"","YWD, WBT","WPB, WNP, SPW, ROW, YND, YOD, GPB",0,9,0
"fall_Communities",4,"summer_Communities",9,"","YWD, WBT","YBY, YGY, YBT, GDO, WPS, WTW, SGB, PNL, WDT, RGT, PBP (was PBB), STT",0,14,0
"fall_Communities",4,"summer_Communities",10,"","YWD, WBT","WDB",0,3,0
"fall_Communities",4,"summer_Communities",11,"","YWD, WBT","RTT, YYN (was YNO), GDN (was GDY), GPR, WDD, CRY, WDG, YRP, WYD",0,11,0
"fall_Communities",5,"summer_Communities",1,"","PNW, YDP, SOT, SOG","SWT, SDO, WPW",0,7,0
"fall_Communities",5,"summer_Communities",2,"","PNW, YDP, SOT, SOG","CGN, GNG, SDR, SSS, SYO, PDN, RBP, SWB, SDT",0,13,0
"fall_Communities",5,"summer_Communities",3,"SOG","PNW, YDP, SOT","GTP, YPS, SPT, PLS, NOD, WPG",1,10,0.1
"fall_Communities",5,"summer_Communities",4,"","PNW, YDP, SOT, SOG","WSY, YBN, WOG",0,7,0
