"ColorCombo","Community","Sex","Age","Status","Location"
"CGN",1,NA,"ASY","N","NB45"
"SWT",2,"F","ASY","N","FA"
"SDO",2,"M","SY","N","FA"
"GNG",3,"F","AHY","N","FB"
"PDN",3,"M","AHY","N","NB01"
"SYO",3,"M","ASY","N","FA"
"SWB",3,"M","ASY","N","NB04"
"RBP",3,"M","ASY","N","FC"
"YPN",3,"F","AHY","N","FC"
"RNG",1,"M","AHY","N","FD"
"SOG",1,"M","SY","N","NBEB1"
"PLS",1,"M","ASY","P","FE"
"YPS",1,"F","SY","N","FE"
"WSY",4,"F","ASY","N","NB8"
"WPG",4,"M","AHY","N","FF"
"YBN",4,"M","ASY","N","NB21"
"WOG",4,"M","SY","N","MN-FF"
"YWS",5,"M","ASY","N","NB22"
"YDT",6,"M","SY","N","NB22"
"YGD",7,"M","ASY","N","FH"
"GBO (was GPT)",7,"M","ASY","N","FH"
"YDW",7,"M","SY","N","FH"
"WNS",7,"F","AHY","N","NB09"
"YGP",8,"F",".","N","FI"
"YSR",8,"M","ASY","N","NB10"
"PND",8,"M","SY","N","NB14"
"PNG",8,"M","SY","N","NB14"
"ROW",9,"F","AHY","N","NB14"
"ROO",9,"M","SY","N","FM"
"YOD",9,"M","SY","N","NB13"
"YND",9,"M","ASY","N","FO"
"RLB",10,"F","ASY","N","NB15C"
"WDB",11,"F","AHY","N","NB15C"
"YGY",11,"M","ASY","N","NB53"
"GSD",11,"M","AHY","N","NB52"
"YBY",11,"M","ASY","N","NB15C"
"GDO",11,"M","SY","N","NB15B"
"YBT",11,"M","ASY","N","NB15C"
"RPP",11,"F","ASY","N","FQ"
"PBP (was PBB)",11,"M","ASY","P","NB16A"
"STT",12,"M","ASY","N","FR"
"SGB",12,"F","SY","N","FR"
"RGT",12,"M","SY","N","FR"
"GDN (was GDY)",13,"F","ASY","N","FS"
"YYN (was YNO)",13,"M","SY","N","NB18"
"RTT",13,"F","SY","N","NB5"
"WYD",13,"M","SY","N","NB17"
"YSG",13,"F","ASY","N","NB18"
"CRY",13,"M","ASY","P","NB18"
