"Season1","Community1","Season2","Community2","SharedBirds","LostBirds","GainedBirds","Shared","Union","Jaccard"
"spring_Communities",1,"summer_Communities",1,"","CGN, RNG, SOG, PLS, YPS","SWT, SDO, WPW",0,8,0
"spring_Communities",1,"summer_Communities",2,"CGN","RNG, SOG, PLS, YPS","GNG, SDR, SSS, SYO, PDN, RBP, SWB, SDT",1,13,0.077
"spring_Communities",1,"summer_Communities",3,"SOG, PLS, YPS","CGN, RNG","GTP, SPT, NOD, WPG",3,9,0.333
"spring_Communities",1,"summer_Communities",4,"","CGN, RNG, SOG, PLS, YPS","WSY, YBN, WOG",0,8,0
"spring_Communities",1,"summer_Communities",5,"","CGN, RNG, SOG, PLS, YPS","YWS, WPD, YDT, NRO, NSS",0,10,0
"spring_Communities",1,"summer_Communities",6,"","CGN, RNG, SOG, PLS, YPS","YDW, WNS, SNR (was SNO), GBO (was GPT), YGD, GPW, WDY, GSN, YSR, RDO",0,15,0
"spring_Communities",1,"summer_Communities",7,"","CGN, RNG, SOG, PLS, YPS","PND, RNO, PNG, GLS",0,9,0
"spring_Communities",1,"summer_Communities",8,"","CGN, RNG, SOG, PLS, YPS","WPB, WNP, SPW, ROW, YND, YOD, GPB",0,12,0
"spring_Communities",1,"summer_Communities",9,"","CGN, RNG, SOG, PLS, YPS","YBY, YGY, YBT, GDO, WPS, WTW, SGB, PNL, WDT, RGT, PBP (was PBB), STT",0,17,0
"spring_Communities",1,"summer_Communities",10,"","CGN, RNG, SOG, PLS, YPS","WDB",0,6,0
"spring_Communities",1,"summer_Communities",11,"","CGN, RNG, SOG, PLS, YPS","RTT, YYN (was YNO), GDN (was GDY), GPR, WDD, CRY, WDG, YRP, WYD",0,14,0
"spring_Communities",2,"summer_Communities",1,"SWT, SDO","","WPW",2,3,0.667
"spring_Communities",2,"summer_Communities",2,"","SWT, SDO","CGN, GNG, SDR, SSS, SYO, PDN, RBP, SWB, SDT",0,11,0
"spring_Communities",2,"summer_Communities",3,"","SWT, SDO","SOG, GTP, YPS, SPT, PLS, NOD, WPG",0,9,0
"spring_Communities",2,"summer_Communities",4,"","SWT, SDO","WSY, YBN, WOG",0,5,0
"spring_Communities",2,"summer_Communities",5,"","SWT, SDO","YWS, WPD, YDT, NRO, NSS",0,7,0
"spring_Communities",2,"summer_Communities",6,"","SWT, SDO","YDW, WNS, SNR (was SNO), GBO (was GPT), YGD, GPW, WDY, GSN, YSR, RDO",0,12,0
"spring_Communities",2,"summer_Communities",7,"","SWT, SDO","PND, RNO, PNG, GLS",0,6,0
"spring_Communities",2,"summer_Communities",8,"","SWT, SDO","WPB, WNP, SPW, ROW, YND, YOD, GPB",0,9,0
"spring_Communities",2,"summer_Communities",9,"","SWT, SDO","YBY, YGY, YBT, GDO, WPS, WTW, SGB, PNL, WDT, RGT, PBP (was PBB), STT",0,14,0
