"ColorCombo","Community","Sex","Age","Status","Location"
"SWT",1,"F","ASY","N","FA"
"SDO",1,"M","SY","N","FA"
"CGN",2,NA,"ASY","N","NB45"
"WPW",1,"F","Nestling","N","NB05"
"GNG",2,"F","AHY","N","FB"
"SDR",2,"M","Nestling","N","NB01"
"SSS",2,"M","Nestling","N","NB01"
"SYO",2,"M","ASY","N","FA"
"PDN",2,"M","AHY","N","NB01"
"RBP",2,"M","ASY","N","FC"
"SWB",2,"M","ASY","N","NB04"
"SDT",2,"F","HY","N","FD"
"SOG",3,"M","SY","N","NBEB1"
"GTP",3,"F","AHY","N","FE"
"YPS",3,"F","SY","N","FE"
"SPT",3,"F","HY","N","FF"
"PLS",3,"M","ASY","P","FE"
"NOD",3,"M","Nestling","N","NB06"
"WSY",4,"F","ASY","N","NB8"
"YBN",4,"M","ASY","N","NB21"
"WOG",4,"M","SY","N","MN-FF"
"YWS",5,"M","ASY","N","NB22"
"WPD",5,"M","HY","N","FG"
"YDT",5,"M","SY","N","NB22"
"WPG",3,"M","AHY","N","FF"
"NRO",5,"F","AHY","N","FG"
"NSS",5,"F","HY","N","FG"
"YDW",6,"M","SY","N","FH"
"WNS",6,"F","AHY","N","NB09"
"SNR (was SNO)",6,"M","Nestling","N","NB09"
"GBO (was GPT)",6,"M","ASY","N","FH"
"YGD",6,"M","ASY","N","FH"
"GPW",6,"M","Nestling","N","NB10"
"WDY",6,"M","Nestling","N","NB10"
"GSN",6,"F","Nestling","N","NB10"
"YSR",6,"M","ASY","N","NB10"
"RDO",6,"F","AHY","N","FJ"
"PND",7,"M","SY","N","NB14"
"RNO",7,"F","HY","N","FL"
"PNG",7,"M","SY","N","NB14"
"GLS",7,"M","ASY","P","FM"
"WPB",8,"M","Nestling","N","NB15B"
"WNP",8,"M","AHY","N","NB53"
"SPW",8,".","HY","N","FN"
"ROW",8,"F","AHY","N","NB14"
"YND",8,"M","ASY","N","FO"
"YOD",8,"M","SY","N","NB13"
"GPB",8,".","Nestling","N","NB52"
"YBY",9,"M","ASY","N","NB15C"
"YGY",9,"M","ASY","N","NB53"
"YBT",9,"M","ASY","N","NB15C"
"GDO",9,"M","SY","N","NB15B"
"WPS",9,"F","HY","N","FO"
"WDB",10,"F","AHY","N","NB15C"
"WTW",9,"M","Nestling","N","NB16A"
"SGB",9,"F","SY","N","FR"
"PNL",9,"F","ASY","N","FP"
"WDT",9,"M","Nestling","N","NB05"
"RGT",9,"M","SY","N","FR"
"RTT",11,"F","SY","N","NB5"
"PBP (was PBB)",9,"M","ASY","P","NB16A"
"STT",9,"M","ASY","N","FR"
"YYN (was YNO)",11,"M","SY","N","NB18"
"GDN (was GDY)",11,"F","ASY","N","FS"
"GPR",11,"M","Nestling","N","NB18"
"WDD",11,"M","Nestling","N","NB18"
"CRY",11,"M","ASY","P","NB18"
"WDG",11,"M","SY","N","NB17"
"YRP",11,"F","HY","N","FS"
"WYD",11,"M","SY","N","NB17"
