"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"SDO","SWT",1,1,TRUE,"summer_Communities"
"CGN","SWT",2,1,FALSE,"summer_Communities"
"GNG","SWT",2,1,FALSE,"summer_Communities"
"SDR","SWT",2,1,FALSE,"summer_Communities"
"SSS","SWT",2,1,FALSE,"summer_Communities"
"PDN","SWT",2,1,FALSE,"summer_Communities"
"RBP","SWT",2,1,FALSE,"summer_Communities"
"SWB","SWT",2,1,FALSE,"summer_Communities"
"SDT","SWT",2,1,FALSE,"summer_Communities"
"SOG","SWT",3,1,FALSE,"summer_Communities"
"GTP","SWT",3,1,FALSE,"summer_Communities"
"SPT","SWT",3,1,FALSE,"summer_Communities"
"PLS","SWT",3,1,FALSE,"summer_Communities"
"NOD","SWT",3,1,FALSE,"summer_Communities"
"NRO","SWT",5,1,FALSE,"summer_Communities"
"NSS","SWT",5,1,FALSE,"summer_Communities"
"SNR (was SNO)","SWT",6,1,FALSE,"summer_Communities"
"GBO (was GPT)","SWT",6,1,FALSE,"summer_Communities"
"GPW","SWT",6,1,FALSE,"summer_Communities"
"GSN","SWT",6,1,FALSE,"summer_Communities"
"RDO","SWT",6,1,FALSE,"summer_Communities"
"PND","SWT",7,1,FALSE,"summer_Communities"
"RNO","SWT",7,1,FALSE,"summer_Communities"
"PNG","SWT",7,1,FALSE,"summer_Communities"
"GLS","SWT",7,1,FALSE,"summer_Communities"
"SPW","SWT",8,1,FALSE,"summer_Communities"
"ROW","SWT",8,1,FALSE,"summer_Communities"
"GPB","SWT",8,1,FALSE,"summer_Communities"
"GDO","SWT",9,1,FALSE,"summer_Communities"
"SGB","SWT",9,1,FALSE,"summer_Communities"
"PNL","SWT",9,1,FALSE,"summer_Communities"
"RGT","SWT",9,1,FALSE,"summer_Communities"
"RTT","SWT",11,1,FALSE,"summer_Communities"
"PBP (was PBB)","SWT",9,1,FALSE,"summer_Communities"
"STT","SWT",9,1,FALSE,"summer_Communities"
"GDN (was GDY)","SWT",11,1,FALSE,"summer_Communities"
"GPR","SWT",11,1,FALSE,"summer_Communities"
"CRY","SWT",11,1,FALSE,"summer_Communities"
"CGN","SDO",2,1,FALSE,"summer_Communities"
"GNG","SDO",2,1,FALSE,"summer_Communities"
"PDN","SDO",2,1,FALSE,"summer_Communities"
"RBP","SDO",2,1,FALSE,"summer_Communities"
"GTP","SDO",3,1,FALSE,"summer_Communities"
"PLS","SDO",3,1,FALSE,"summer_Communities"
"NOD","SDO",3,1,FALSE,"summer_Communities"
"NRO","SDO",5,1,FALSE,"summer_Communities"
"NSS","SDO",5,1,FALSE,"summer_Communities"
"GBO (was GPT)","SDO",6,1,FALSE,"summer_Communities"
"GPW","SDO",6,1,FALSE,"summer_Communities"
"GSN","SDO",6,1,FALSE,"summer_Communities"
"RDO","SDO",6,1,FALSE,"summer_Communities"
"PND","SDO",7,1,FALSE,"summer_Communities"
"RNO","SDO",7,1,FALSE,"summer_Communities"
"PNG","SDO",7,1,FALSE,"summer_Communities"
"GLS","SDO",7,1,FALSE,"summer_Communities"
"ROW","SDO",8,1,FALSE,"summer_Communities"
"GPB","SDO",8,1,FALSE,"summer_Communities"
"GDO","SDO",9,1,FALSE,"summer_Communities"
"PNL","SDO",9,1,FALSE,"summer_Communities"
"RGT","SDO",9,1,FALSE,"summer_Communities"
"RTT","SDO",11,1,FALSE,"summer_Communities"
"PBP (was PBB)","SDO",9,1,FALSE,"summer_Communities"
"GDN (was GDY)","SDO",11,1,FALSE,"summer_Communities"
"GPR","SDO",11,1,FALSE,"summer_Communities"
"CRY","SDO",11,1,FALSE,"summer_Communities"
"SWT","WPW",1,1,TRUE,"summer_Communities"
"SDO","WPW",1,1,TRUE,"summer_Communities"
"CGN","WPW",2,1,FALSE,"summer_Communities"
"GNG","WPW",2,1,FALSE,"summer_Communities"
"SDR","WPW",2,1,FALSE,"summer_Communities"
"SSS","WPW",2,1,FALSE,"summer_Communities"
"SYO","WPW",2,1,FALSE,"summer_Communities"
"PDN","WPW",2,1,FALSE,"summer_Communities"
"RBP","WPW",2,1,FALSE,"summer_Communities"
"SWB","WPW",2,1,FALSE,"summer_Communities"
"SDT","WPW",2,1,FALSE,"summer_Communities"
"SOG","WPW",3,1,FALSE,"summer_Communities"
"GTP","WPW",3,1,FALSE,"summer_Communities"
"SPT","WPW",3,1,FALSE,"summer_Communities"
"PLS","WPW",3,1,FALSE,"summer_Communities"
"NOD","WPW",3,1,FALSE,"summer_Communities"
"WOG","WPW",4,1,FALSE,"summer_Communities"
"WPD","WPW",5,1,FALSE,"summer_Communities"
"WPG","WPW",3,1,FALSE,"summer_Communities"
"NRO","WPW",5,1,FALSE,"summer_Communities"
"NSS","WPW",5,1,FALSE,"summer_Communities"
"WNS","WPW",6,1,FALSE,"summer_Communities"
"SNR (was SNO)","WPW",6,1,FALSE,"summer_Communities"
"GBO (was GPT)","WPW",6,1,FALSE,"summer_Communities"
"GPW","WPW",6,1,FALSE,"summer_Communities"
"WDY","WPW",6,1,FALSE,"summer_Communities"
"GSN","WPW",6,1,FALSE,"summer_Communities"
"RDO","WPW",6,1,FALSE,"summer_Communities"
"PND","WPW",7,1,FALSE,"summer_Communities"
"RNO","WPW",7,1,FALSE,"summer_Communities"
"PNG","WPW",7,1,FALSE,"summer_Communities"
"GLS","WPW",7,1,FALSE,"summer_Communities"
"WPB","WPW",8,1,FALSE,"summer_Communities"
"WNP","WPW",8,1,FALSE,"summer_Communities"
"SPW","WPW",8,1,FALSE,"summer_Communities"
"ROW","WPW",8,1,FALSE,"summer_Communities"
"GPB","WPW",8,1,FALSE,"summer_Communities"
"GDO","WPW",9,1,FALSE,"summer_Communities"
"WPS","WPW",9,1,FALSE,"summer_Communities"
"WDB","WPW",10,1,FALSE,"summer_Communities"
"SGB","WPW",9,1,FALSE,"summer_Communities"
"PNL","WPW",9,1,FALSE,"summer_Communities"
"WDT","WPW",9,1,FALSE,"summer_Communities"
"RGT","WPW",9,1,FALSE,"summer_Communities"
"RTT","WPW",11,1,FALSE,"summer_Communities"
"PBP (was PBB)","WPW",9,1,FALSE,"summer_Communities"
"STT","WPW",9,1,FALSE,"summer_Communities"
"GDN (was GDY)","WPW",11,1,FALSE,"summer_Communities"
"GPR","WPW",11,1,FALSE,"summer_Communities"
"WDD","WPW",11,1,FALSE,"summer_Communities"
"CRY","WPW",11,1,FALSE,"summer_Communities"
"WDG","WPW",11,1,FALSE,"summer_Communities"
"CGN","GNG",2,2,TRUE,"summer_Communities"
"GBO (was GPT)","GNG",6,2,FALSE,"summer_Communities"
"GLS","GNG",7,2,FALSE,"summer_Communities"
"GDO","GNG",9,2,FALSE,"summer_Communities"
"GDN (was GDY)","GNG",11,2,FALSE,"summer_Communities"
"CRY","GNG",11,2,FALSE,"summer_Communities"
"SDO","SDR",1,2,FALSE,"summer_Communities"
"CGN","SDR",2,2,TRUE,"summer_Communities"
"GNG","SDR",2,2,TRUE,"summer_Communities"
"PDN","SDR",2,2,TRUE,"summer_Communities"
"RBP","SDR",2,2,TRUE,"summer_Communities"
"GTP","SDR",3,2,FALSE,"summer_Communities"
"PLS","SDR",3,2,FALSE,"summer_Communities"
"NOD","SDR",3,2,FALSE,"summer_Communities"
"NRO","SDR",5,2,FALSE,"summer_Communities"
"NSS","SDR",5,2,FALSE,"summer_Communities"
"GBO (was GPT)","SDR",6,2,FALSE,"summer_Communities"
"GPW","SDR",6,2,FALSE,"summer_Communities"
"GSN","SDR",6,2,FALSE,"summer_Communities"
"RDO","SDR",6,2,FALSE,"summer_Communities"
"PND","SDR",7,2,FALSE,"summer_Communities"
"RNO","SDR",7,2,FALSE,"summer_Communities"
"PNG","SDR",7,2,FALSE,"summer_Communities"
"GLS","SDR",7,2,FALSE,"summer_Communities"
"ROW","SDR",8,2,FALSE,"summer_Communities"
