"ColorCombo","Community","Sex","Age","Status","Location"
"CGN",1,NA,"ASY","N","NB45"
"RRY",2,"F","ASY","N","FA"
"SDO",2,"M","HY","N","FA"
"RRR",2,"M","ASY","N","FA"
"RRD",2,"F","AHY","N","NB01"
"SWT",2,"F","SY","N","FA"
"SYO",3,"M","SY","N","FA"
"GOS",3,"M","Nestling","N","NB1"
"RSD",3,"M","HY","N","FC"
"SYT",3,"F","SY","N","FD"
"PBWorPWB",3,"F","ASY","N","FG"
"SWB",3,"M","SY","N","NB04"
"RBT",3,"M","ASY","N","FC"
"SYR",3,"F","ASY","N","FB"
"RBP",3,"M","AHY","N","FC"
"YWD",4,"F","AHY","N","NB3"
"WBT",4,"M","AHY","N","NB03"
"PNW",1,NA,"ASY","N","FE"
"YDP",1,NA,"AHY","N","FD"
"SOT",1,"M","Nestling","N","NBEB1"
"PLS",5,"M","ASY","P","FE"
"YPS",5,"F","HY","N","FE"
"RTP",5,"M","Nestling","N","NB5"
"SOG",1,"M","Nestling","N","NBEB1"
"YBN",6,"M","SY","N","NB21"
"WOG",6,"M","HY","N","MN-FF"
"YWS",7,"M","SY","N","NB22"
"YDT",7,"M","Nestling","N","NB22"
"WSY",6,"F","AHY","N","NB8"
"YDD",8,"F","HY","N","FG"
"WWB",6,"F","ASY","N","NB50"
"YGD",6,"M","AHY","N","FH"
"YDW",6,"M","HY","N","FH"
"GBO (was GPT)",6,"M","AHY","N","FH"
"YSR",9,"M","SY","N","NB10"
"GDW (wasGYW)",10,"M","ASY.","P","FL"
"PND",10,"M","Nestling","N","NB14"
"PNG",10,"M","Nestling","N","NB14"
"PNP",10,"M","Nestling","N","NB14"
"YOP",11,"M","Nestling","N","NB13"
"ROO",11,"M","HY","N","FM"
"RLB",12,"F","ASY","N","NB15C"
"YBT",13,"M","SY","N","NB15C"
"ROY",13,"M","Nestling","N","NB15a"
"WBO",13,"M","AHY","N","NB15a"
"ROR",13,"M","Nestling","N","NB15a"
"YBY",13,"M","SY","N","NB15C"
"SWS",13,"F","SY","N","FN"
"YGY",13,"M","SY","N","NB53"
"YND",13,"M","AHY","N","FO"
"GDO",13,"M","Nestling","N","NB15B"
"PBS",13,NA,"ASY","N","NB52"
"PNL",14,"F","ASY","N","FP"
"PBP (was PBB)",14,"M","ASY","P","NB16A"
"WWD",15,"M","Nestling","N","NB16B"
"SRP",15,"F","ASY","N","FQ"
"GNT",15,"M","ASY","N","NB62"
"WDN",15,"M","Nestling","N","NB16B"
"WDW",15,"M","Nestling","N","NB16B"
"STT",16,"M","SY","N","FR"
"SGB",16,"F","HY","N","FR"
"RGT",16,"M","HY","N","FR"
"YPW",16,"F","HY","N","FR"
"RTT",17,"F","Nestling","N","NB5"
"WYD",17,"M","Nestling","N","NB17"
"CRY",17,"M","ASY","P","NB18"
"YYN (was YNO)",17,"M","Nestling","N","NB18"
"GDD (was GDR)",17,"M","HY","N","FS"
"WDG",17,"M","Nestling","N","NB17"
"GTR",17,"F","ASY","P","NB17"
