"ColorCombo","Fall 2025 Pre-Nesting_Communities","Spring 2026 Nesting Period_Communities","Summer 2026 Post-Fledging_Communities"
"CRY","Fall C1","Spring C1","Summer C1"
"GBO (was GPT)","Fall C2","Spring C2","Summer C2"
"GDO","Fall C3","Spring C3","Summer C3"
"RGT","Fall C11","Spring C8","Summer C9"
"SDO","Fall C13","Spring C11","Summer C11"
"SGB","Fall C11","Spring C8","Summer C9"
"STT","Fall C11","Spring C8","Summer C9"
"SWB","Fall C5","Spring C7","Summer C4"
"SYO","Fall C5","Spring C4","Summer C4"
"WOG","Fall C15","Spring C12","Summer C13"
"WSY","Fall C15","Spring C12","Summer C13"
"YBN","Fall C15","Spring C12","Summer C13"
"YDW","Fall C16","Spring C2","Summer C12"
"YGD","Fall C2","Spring C2","Summer C2"
"YPS","Fall C7","Spring C6","Summer C6"
"YYN (was YNO)","Fall C1","Spring C1","Summer C1"
"SWT","Fall C13","Spring C11","Summer C11"
