"ColorCombo","Fall 2025 Pre-Nesting_Communities","Spring 2026 Nesting Period_Communities","Summer 2026 Post-Fledging_Communities"
"CRY","Fall C1","Spring C1","Summer C1"
"GBO (was GPT)","Fall C2","Spring C2","Summer C2"
"GDO","Fall C3","Spring C3","Summer C3"
"GNT","Fall C4","Spring Not detected","Summer Not detected"
"GOS","Fall C5","Spring Not detected","Summer Not detected"
"PBP (was PBB)","Fall C6","Spring C5","Summer Not detected"
"PBS","Fall C3","Spring Not detected","Summer Not detected"
"PBWorPWB","Fall C5","Spring Not detected","Summer Not detected"
"PLS","Fall C7","Spring C6","Summer Not detected"
"PND","Fall C8","Spring Not detected","Summer C8"
"PNL","Fall C6","Spring Not detected","Summer Not detected"
"PNW","Fall C9","Spring Not detected","Summer Not detected"
"RBP","Fall C10","Spring C7","Summer Not detected"
"RBT","Fall C5","Spring Not detected","Summer Not detected"
"RGT","Fall C11","Spring C8","Summer C9"
"ROR","Fall C12","Spring Not detected","Summer Not detected"
"ROY","Fall C12","Spring Not detected","Summer Not detected"
"RRD","Fall C13","Spring Not detected","Summer Not detected"
"RRR","Fall C13","Spring Not detected","Summer Not detected"
"RRY","Fall C13","Spring Not detected","Summer Not detected"
"RSD","Fall C10","Spring Not detected","Summer Not detected"
"RTP","Fall C7","Spring Not detected","Summer Not detected"
"SDO","Fall C13","Spring C11","Summer C11"
"SGB","Fall C11","Spring C8","Summer C9"
"SOG","Fall C9","Spring Not detected","Summer C6"
"SOT","Fall C9","Spring Not detected","Summer Not detected"
"SRP","Fall C4","Spring Not detected","Summer Not detected"
"STT","Fall C11","Spring C8","Summer C9"
"SWB","Fall C5","Spring C7","Summer C4"
"SWS","Fall C12","Spring Not detected","Summer Not detected"
"SYO","Fall C5","Spring C4","Summer C4"
"SYR","Fall C5","Spring Not detected","Summer Not detected"
"SYT","Fall C10","Spring Not detected","Summer Not detected"
"WBO","Fall C12","Spring Not detected","Summer Not detected"
"WBT","Fall C14","Spring Not detected","Summer Not detected"
"WDN","Fall C4","Spring Not detected","Summer Not detected"
"WDW","Fall C4","Spring Not detected","Summer Not detected"
"WOG","Fall C15","Spring C12","Summer C13"
"WSY","Fall C15","Spring C12","Summer C13"
"WWB","Fall C16","Spring Not detected","Summer Not detected"
"WWD","Fall C4","Spring Not detected","Summer Not detected"
"YBN","Fall C15","Spring C12","Summer C13"
"YDP","Fall C9","Spring Not detected","Summer Not detected"
"YDT","Fall C17","Spring Not detected","Summer C7"
"YDW","Fall C16","Spring C2","Summer C12"
"YGD","Fall C2","Spring C2","Summer C2"
"YGY","Fall C3","Spring Not detected","Summer C3"
"YPS","Fall C7","Spring C6","Summer C6"
"YPW","Fall C11","Spring Not detected","Summer Not detected"
"YWD","Fall C14","Spring Not detected","Summer Not detected"
"YWS","Fall C17","Spring Not detected","Summer C7"
"YYN (was YNO)","Fall C1","Spring C1","Summer C1"
"GDD (was GDR)","Fall C1","Spring Not detected","Summer Not detected"
"GDW (wasGYW)","Fall C8","Spring Not detected","Summer Not detected"
"SWT","Fall C13","Spring C11","Summer C11"
"YND","Fall C3","Spring Not detected","Summer Not detected"
"GDN (was GDY)","Fall Not detected","Spring C1","Summer C1"
"GNG","Fall Not detected","Spring C4","Summer C4"
"PDN","Fall Not detected","Spring C4","Summer C4"
"ROO","Fall Not detected","Spring C9","Summer Not detected"
"RPP","Fall Not detected","Spring C5","Summer Not detected"
"RTT","Fall Not detected","Spring C10","Summer C10"
"WDB","Fall Not detected","Spring C3","Summer Not detected"
"WNS","Fall Not detected","Spring C2","Summer C12"
"WPG","Fall Not detected","Spring C12","Summer C6"
"WYD","Fall Not detected","Spring C10","Summer C10"
"YGP","Fall Not detected","Spring C13","Summer Not detected"
"YOD","Fall Not detected","Spring C9","Summer C5"
"YPN","Fall Not detected","Spring C7","Summer Not detected"
"YSR","Fall Not detected","Spring C13","Summer C14"
"GPB","Fall Not detected","Spring Not detected","Summer C5"
"GPR","Fall Not detected","Spring Not detected","Summer C1"
"GPW","Fall Not detected","Spring Not detected","Summer C2"
"GSN","Fall Not detected","Spring Not detected","Summer C2"
"GTP","Fall Not detected","Spring Not detected","Summer C6"
"NRO","Fall Not detected","Spring Not detected","Summer C7"
"NSS","Fall Not detected","Spring Not detected","Summer C7"
"RNO","Fall Not detected","Spring Not detected","Summer C8"
"ROW","Fall Not detected","Spring Not detected","Summer C5"
"SDR","Fall Not detected","Spring Not detected","Summer C4"
"SDT","Fall Not detected","Spring Not detected","Summer C4"
"SNR (was SNO)","Fall Not detected","Spring Not detected","Summer C12"
"SPT","Fall Not detected","Spring Not detected","Summer C6"
"SPW","Fall Not detected","Spring Not detected","Summer C5"
"SSS","Fall Not detected","Spring Not detected","Summer C4"
"WDD","Fall Not detected","Spring Not detected","Summer C1"
"WDY","Fall Not detected","Spring Not detected","Summer C2"
"WNP","Fall Not detected","Spring Not detected","Summer C5"
"WPB","Fall Not detected","Spring Not detected","Summer C5"
"WPD","Fall Not detected","Spring Not detected","Summer C7"
"WPS","Fall Not detected","Spring Not detected","Summer C3"
"YRP","Fall Not detected","Spring Not detected","Summer C1"
"RDO","Fall Not detected","Spring Not detected","Summer C14"
