"ColorCombo","Community","Season"
"CRY",1,"Fall 2025 Pre-Nesting_Communities"
"GBO (was GPT)",2,"Fall 2025 Pre-Nesting_Communities"
"GDO",3,"Fall 2025 Pre-Nesting_Communities"
"GNT",4,"Fall 2025 Pre-Nesting_Communities"
"GOS",5,"Fall 2025 Pre-Nesting_Communities"
"PBP (was PBB)",6,"Fall 2025 Pre-Nesting_Communities"
"PBS",3,"Fall 2025 Pre-Nesting_Communities"
"PBWorPWB",5,"Fall 2025 Pre-Nesting_Communities"
"PLS",7,"Fall 2025 Pre-Nesting_Communities"
"PND",8,"Fall 2025 Pre-Nesting_Communities"
"PNL",6,"Fall 2025 Pre-Nesting_Communities"
"PNW",9,"Fall 2025 Pre-Nesting_Communities"
"RBP",10,"Fall 2025 Pre-Nesting_Communities"
"RBT",5,"Fall 2025 Pre-Nesting_Communities"
"RGT",11,"Fall 2025 Pre-Nesting_Communities"
"ROR",12,"Fall 2025 Pre-Nesting_Communities"
"ROY",12,"Fall 2025 Pre-Nesting_Communities"
"RRD",13,"Fall 2025 Pre-Nesting_Communities"
"RRR",13,"Fall 2025 Pre-Nesting_Communities"
"RRY",13,"Fall 2025 Pre-Nesting_Communities"
"RSD",10,"Fall 2025 Pre-Nesting_Communities"
"RTP",7,"Fall 2025 Pre-Nesting_Communities"
"SDO",13,"Fall 2025 Pre-Nesting_Communities"
"SGB",11,"Fall 2025 Pre-Nesting_Communities"
"SOG",9,"Fall 2025 Pre-Nesting_Communities"
"SOT",9,"Fall 2025 Pre-Nesting_Communities"
"SRP",4,"Fall 2025 Pre-Nesting_Communities"
"STT",11,"Fall 2025 Pre-Nesting_Communities"
"SWB",5,"Fall 2025 Pre-Nesting_Communities"
"SWS",12,"Fall 2025 Pre-Nesting_Communities"
"SYO",5,"Fall 2025 Pre-Nesting_Communities"
"SYR",5,"Fall 2025 Pre-Nesting_Communities"
"SYT",10,"Fall 2025 Pre-Nesting_Communities"
"WBO",12,"Fall 2025 Pre-Nesting_Communities"
"WBT",14,"Fall 2025 Pre-Nesting_Communities"
"WDN",4,"Fall 2025 Pre-Nesting_Communities"
"WDW",4,"Fall 2025 Pre-Nesting_Communities"
"WOG",15,"Fall 2025 Pre-Nesting_Communities"
"WSY",15,"Fall 2025 Pre-Nesting_Communities"
"WWB",16,"Fall 2025 Pre-Nesting_Communities"
"WWD",4,"Fall 2025 Pre-Nesting_Communities"
"YBN",15,"Fall 2025 Pre-Nesting_Communities"
"YDP",9,"Fall 2025 Pre-Nesting_Communities"
"YDT",17,"Fall 2025 Pre-Nesting_Communities"
"YDW",16,"Fall 2025 Pre-Nesting_Communities"
"YGD",2,"Fall 2025 Pre-Nesting_Communities"
"YGY",3,"Fall 2025 Pre-Nesting_Communities"
"YPS",7,"Fall 2025 Pre-Nesting_Communities"
"YPW",11,"Fall 2025 Pre-Nesting_Communities"
"YWD",14,"Fall 2025 Pre-Nesting_Communities"
"YWS",17,"Fall 2025 Pre-Nesting_Communities"
"YYN (was YNO)",1,"Fall 2025 Pre-Nesting_Communities"
"GDD (was GDR)",1,"Fall 2025 Pre-Nesting_Communities"
"GDW (wasGYW)",8,"Fall 2025 Pre-Nesting_Communities"
"SWT",13,"Fall 2025 Pre-Nesting_Communities"
"YND",3,"Fall 2025 Pre-Nesting_Communities"
"CRY",1,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)",2,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)",1,"Spring 2026 Nesting Period_Communities"
"GDO",3,"Spring 2026 Nesting Period_Communities"
"GNG",4,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)",5,"Spring 2026 Nesting Period_Communities"
"PDN",4,"Spring 2026 Nesting Period_Communities"
"PLS",6,"Spring 2026 Nesting Period_Communities"
"RBP",7,"Spring 2026 Nesting Period_Communities"
"RGT",8,"Spring 2026 Nesting Period_Communities"
"ROO",9,"Spring 2026 Nesting Period_Communities"
"RPP",5,"Spring 2026 Nesting Period_Communities"
"RTT",10,"Spring 2026 Nesting Period_Communities"
