"Bird","Louvain","Mclust"
"CRY",1,1
"GBO (was GPT)",2,2
"GDN (was GDY)",1,1
"GDO",3,3
"GNG",4,4
"GPB",5,3
"GPR",1,1
"GPW",2,2
"GSN",2,3
"GTP",6,3
"NRO",7,5
"NSS",7,5
"PDN",4,4
"PND",8,3
"RGT",9,3
"RNO",8,3
"ROW",5,3
"RTT",10,3
"SDO",11,3
"SDR",4,4
"SDT",4,3
"SGB",9,3
"SNR (was SNO)",12,3
"SOG",6,3
"SPT",6,3
"SPW",5,3
"SSS",4,4
"STT",9,3
"SWB",4,3
"SYO",4,4
"WDD",1,1
"WDY",2,2
"WNP",5,3
"WNS",12,3
"WOG",13,6
"WPB",5,3
"WPD",7,5
"WPG",6,3
"WPS",3,3
"WSY",13,6
"WYD",10,3
"YBN",13,6
"YDT",7,5
"YDW",12,3
"YGD",2,2
"YGY",3,3
"YOD",5,3
"YPS",6,6
"YRP",1,1
"YSR",14,3
"YWS",7,5
"YYN (was YNO)",1,1
"SWT",11,3
"RDO",14,3
