Year..yyyy.,Missing.data..see.colored.cell.,Metal.Band....top..right.leg...xxxx.xxxxx.,Color.bands..RFID..top.....bottom...ABC.,Sex..M.F.,Date..mm.dd.yy.,Time..military...07.45.,Year..yyyy..1,Location..F..MN..NB....yellow.if.snap.trapped.in.NB..thus.a.breeder.,Status..New.Prev.year..Rs.not.entered.here..N.P.,IA.STATUS..If..P...was.it.even.an.IA..Note..An.IA.s.first..R..of.season.requires.all.measures...IA...,If..P...Age.when.first.caught..nestling...HY..SY..ASY..AHY.,If..P...Year.first.caught..yyyy.,If..P...Location.first.caught..F..MN..NB...,Exact.year.of.life..if.known....,Age..see.guide...Nestling.HY..SY..ASY..AHY.,Color.crest..3blk.2drk.grey.1lt.grey.,Color.base.lower.mandible..3blk.2drk.grey.1lt.grey.,Tarsus..10th.mm...xx.x.,Wing..10th.mm...xx.x.,Who.measured.tars.wing..initials.,Blood.Taken..Y.Need......na.,Tail.feather.pulled..3rd.from.bird.s.right....Y.N.,Spec..Y.N.,Crest.photo..Y.N.,Mass..10th.g...xx.x.,RFID....bottom..right.leg...xxxxxxxxxx.,BREEDING.in.current.year..LOCATION..NB..,BREEDING.in..current.year..PARTNER..metal..color......ABC.,Bred..in.PAST..YEAR..yyyy.,Bred..in.PAST..LOCATION..NB..,Bred..in.PAST..PARTNER....metal..color.......ABC.,Notes,Other.Notes,Recapture.date..mm.dd.yy.,Recapture.location..F..MN..NB..,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,X.9,X.10,X.11,X.12,X.13
2018,,258115481,T,M,05/18/18,,2018,Trial *,,,,,,,.,.,.,.,.,.,Yes,.,.,.,.,011016BD10,,,,,,*listed as tryout 1/doesn't have weight or tarsus listed,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115483,SYB,M,05/19/18,,2018,Trial *,,,,,,,AHY,.,.,21.0,.,.,Yes,.,.,.,19.5,011016C32B,,,,,,*Trial number not listed on data sheet,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115482,YBR,F,05/19/18,,2018,Trial *,,,,,,,HY,.,.,19.5,.,.,Yes,.,.,.,17.0,01103F8F6D,,,,,,"*Not a trial; **due to confusing notation on data sheet, the band combo could be either MY BR or ; no GPS point",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115483,YBY,M,05/19/18,,2018,Trial *,,,,,,,AHY,.,.,21.0,.,.,Yes,.,.,.,19.5,011016C32B,,,,,,"*Not a trial; **due to confusing notation on data sheet, the band combo could be either MY BY or MY YB-->MY BY is a duplicate combo of metal band # 250114483, unknown if they're the same bird or not",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115482,YRB,F,05/19/18,,2018,Trial *,,,,,,,HY,.,.,19.5,.,.,Yes,.,.,.,17.0,01103F8F6D,,,,,,*Trial number not listed on data sheet,"Recaptured 11/23/19, 8:44, @F10 *NOTE: There are two Y RBs.",,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115484,SWW,M,05/22/18,,2018,Trial 1,,,,,,,AHY,.,.,.,.,.,Yes,.,.,.,.,011016D01B,,,,,,Lost bird; no GPS point,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115485,YGG,M,05/24/18,,2018,Trial 3,,,,,,,AHY,.,.,20.0,.,.,Yes,.,.,.,20.0,011016AEEC,,,,,,"GPS point: N 29ª40'32"", W 98°20'11""","Recaptured 11/23/19, 10:20, @F12",,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115486,SYY,M,05/30/18,,2018,Trial 11,,,,,,,HY,.,.,19.9,.,.,Yes,.,.,.,19.5,011016F442,,,,,,"GPS point: N 29ª41'0"", W 98°20'49""; tail worn and ugly; bleeding was difficult, eventually sample taken from left wing",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115487,YRL,M,06/05/18,,2018,Trial 14,,,,,,,HY,.,.,19.8,.,.,Yes,.,.,.,18.8,01103F392D,,,,,,"GPS point: N 29°40'54"", W 98°21'9""",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,,258115488,YWG,M,06/05/18,,2018,Trial 15,,,,,,,HY,.,.,20.3,.,.,Yes,.,.,.,19.3,01103F6ECB,,,,,,"GPS point: N 29°40'54"", W 98°21'9""; identified as second year juv rather than second year adult because of blue mandibles ",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
