"ColorCombo","Community","Sex","Age","Status","Location"
"CRY",1,"M","AHY","P","NB18"
"GBO (was GPT)",2,"M","AHY","N","FH"
"GDN (was GDY)",1,"F","AHY","N","FS"
"GDO",3,"M","Nestling","N","NB15B"
"GNG",4,"F","AHY","N","FB"
"PBP (was PBB)",5,"M","AHY","P","NB16A"
"PDN",4,"M","AHY","N","NB01"
"PLS",6,"M","HY","P","FE"
"RBP",7,"M","AHY","N","FC"
"RGT",8,"M","HY","N","FR"
"ROO",9,"M","HY","N","FM"
"RPP",5,"F","HY","N","FQ"
"RTT",10,"F","Nestling","N","NB5"
"SDO",11,"M","HY","N","FA"
"SGB",8,"F","HY","N","FR"
"STT",8,"M","HY","N","FR"
"SWB",7,"M","Nestling","N","NB04"
"SWT",11,"F","HY","N","FA"
"SYO",4,"M","HY","N","FA"
"WDB",3,"F","AHY","N","NB15C"
"WNS",2,"F","AHY","N","NB09"
"WOG",12,"M","HY","N","MN-FF"
"WPG",12,"M","AHY","N","FF"
"WSY",12,"F","AHY","N","NB8"
"WYD",10,"M","Nestling","N","NB17"
"YBN",12,"M","Nestling","N","NB21"
"YDW",2,"M","HY","N","FH"
"YGD",2,"M","AHY","N","FH"
"YGP",13,"F",".","N","FI"
"YOD",9,"M","Nestling","N","NB13"
"YPN",7,"F","AHY","N","FC"
"YPS",6,"F","HY","N","FE"
"YSR",13,"M","Nestling","N","NB10"
"YYN (was YNO)",1,"M","Nestling","N","NB18"
