"ColorCombo","Community","Sex","Age","Status","Location"
"CRY",1,"M","ASY","P","NB18"
"GBO (was GPT)",2,"M","ASY","N","FH"
"GDN (was GDY)",1,"F","ASY","N","FS"
"GDO",3,"M","SY","N","NB15B"
"GNG",4,"F","AHY","N","FB"
"PBP (was PBB)",5,"M","ASY","P","NB16A"
"PDN",4,"M","AHY","N","NB01"
"PLS",6,"M","ASY","P","FE"
"RBP",7,"M","ASY","N","FC"
"RGT",8,"M","SY","N","FR"
"ROO",9,"M","SY","N","FM"
"RPP",5,"F","ASY","N","FQ"
"RTT",10,"F","SY","N","NB5"
"SDO",11,"M","SY","N","FA"
"SGB",8,"F","SY","N","FR"
"STT",8,"M","ASY","N","FR"
"SWB",7,"M","ASY","N","NB04"
"SWT",11,"F","ASY","N","FA"
"SYO",4,"M","ASY","N","FA"
"WDB",3,"F","AHY","N","NB15C"
"WNS",2,"F","AHY","N","NB09"
"WOG",12,"M","SY","N","MN-FF"
"WPG",12,"M","AHY","N","FF"
"WSY",12,"F","ASY","N","NB8"
"WYD",10,"M","SY","N","NB17"
"YBN",12,"M","ASY","N","NB21"
"YDW",2,"M","SY","N","FH"
"YGD",2,"M","ASY","N","FH"
"YGP",13,"F",".","N","FI"
"YOD",9,"M","SY","N","NB13"
"YPN",7,"F","AHY","N","FC"
"YPS",6,"F","SY","N","FE"
"YSR",13,"M","ASY","N","NB10"
"YYN (was YNO)",1,"M","SY","N","NB18"
