RFID,N,DateTime,Feeder,GapToPrevious,PreviousBird,Metal,ColorCombo,Sex,DateCaptured,Status,LocationCaptured,Age,CrestColor,LowerMandible,BloodTaken,FeathersTaken,Mass,Tarsus,Wing,CurrentBreedingLocation
3B001903BE,1,2026-04-25 18:24:08,A,2,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:24:10,A,2,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:25:08,A,58,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:25:09,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:25:10,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:25:11,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:25:12,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:25:13,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:25:14,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:27:38,A,144,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:27:39,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:27:41,A,2,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:27:42,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:27:43,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:27:44,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:27:45,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:29:46,A,121,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:29:47,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001903BE,1,2026-04-25 18:29:48,A,1,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B00182F8F,1,2026-04-26 07:42:32,A,47564,3B001903BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B001931D4,1,2026-04-26 08:28:30,A,2758,3B00182F8F,269121835,CGN,,05/15/22,N,NB45,Nestling,.,.,Y,.,17.1,20,.,
3B001931D4,1,2026-04-26 08:28:31,A,1,3B001931D4,269121835,CGN,,05/15/22,N,NB45,Nestling,.,.,Y,.,17.1,20,.,
3B001931D4,1,2026-04-26 08:28:32,A,1,3B001931D4,269121835,CGN,,05/15/22,N,NB45,Nestling,.,.,Y,.,17.1,20,.,
3B001931D4,1,2026-04-26 08:28:33,A,1,3B001931D4,269121835,CGN,,05/15/22,N,NB45,Nestling,.,.,Y,.,17.1,20,.,
3B001931D4,1,2026-04-26 08:28:34,A,1,3B001931D4,269121835,CGN,,05/15/22,N,NB45,Nestling,.,.,Y,.,17.1,20,.,
3B001931D4,1,2026-04-26 08:28:36,A,2,3B001931D4,269121835,CGN,,05/15/22,N,NB45,Nestling,.,.,Y,.,17.1,20,.,
3B001931D4,1,2026-04-26 08:28:37,A,1,3B001931D4,269121835,CGN,,05/15/22,N,NB45,Nestling,.,.,Y,.,17.1,20,.,
3B001931D4,1,2026-04-26 08:28:59,A,22,3B001931D4,269121835,CGN,,05/15/22,N,NB45,Nestling,.,.,Y,.,17.1,20,.,
3B001931D4,1,2026-04-26 08:29:00,A,1,3B001931D4,269121835,CGN,,05/15/22,N,NB45,Nestling,.,.,Y,.,17.1,20,.,
3B001931D4,1,2026-04-26 08:29:01,A,1,3B001931D4,269121835,CGN,,05/15/22,N,NB45,Nestling,.,.,Y,.,17.1,20,.,
3B001895C2,1,2026-04-26 09:17:38,A,2917,3B001931D4,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 09:19:09,A,91,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 12:11:15,A,10326,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 12:11:54,A,39,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 12:11:55,A,1,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 12:11:56,A,1,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 12:47:22,A,2126,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 12:48:24,A,62,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 13:49:42,A,3678,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 13:49:43,A,1,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 13:51:49,A,126,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 13:51:50,A,1,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 13:51:51,A,1,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 13:52:34,A,43,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 13:52:38,A,4,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 13:52:42,A,4,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 13:52:43,A,1,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 15:18:36,A,5153,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 15:19:09,A,33,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
3B001895C2,1,2026-04-26 15:19:35,A,26,3B001895C2,3011-89655,SWT,F,07/01/24,N,FA,HY,1,1,Y,.,17.5,19.5,69.5,
